Channel,Out,In,Total
Fp1,18,18,36
Fp2,18,18,36
C3,18,18,36
PZ,18,18,36
F7,18,18,36
F3,18,17,35
O1,18,17,35
T6,18,17,35
F4,17,18,35
P3,17,17,34
C4,17,17,34
FZ,17,17,34
O2,17,17,34
F8,16,18,34
T3,17,17,34
T5,18,16,34
T4,15,18,33
CZ,16,16,32
P4,16,15,31
