source,target,frequency,band
PZ,T4,163,gamma
F4,T6,163,gamma
PZ,F4,163,gamma
F8,T3,163,gamma
F7,T3,163,gamma
T5,C3,163,gamma
F7,C3,162,gamma
P3,Fp2,162,gamma
T6,F4,162,gamma
O1,T4,162,gamma
P4,CZ,162,gamma
C4,F4,162,gamma
T5,F7,162,gamma
Fp2,PZ,162,gamma
O1,C4,161,gamma
T3,T6,161,gamma
T3,P4,161,gamma
C3,CZ,161,gamma
F7,C4,161,gamma
FZ,C4,161,gamma
P3,T5,161,gamma
F8,F4,161,gamma
T6,P3,161,gamma
C3,T4,161,gamma
C4,CZ,161,gamma
PZ,T5,161,gamma
C3,Fp1,161,gamma
Fp2,C4,160,gamma
T6,CZ,160,gamma
T5,Fp2,160,gamma
Fp1,T6,160,gamma
F3,T3,160,gamma
F4,PZ,160,gamma
Fp1,T3,160,gamma
Fp2,F4,160,gamma
T5,T6,160,gamma
PZ,C4,160,gamma
C4,F3,160,gamma
T3,F8,160,gamma
F7,T5,160,gamma
F8,C3,160,gamma
CZ,F4,159,gamma
C4,F7,159,gamma
C3,F3,159,gamma
T6,P4,159,gamma
F8,T6,159,gamma
T6,T5,159,gamma
Fp2,T5,159,gamma
F8,Fp1,159,gamma
Fp2,Fp1,159,gamma
T5,C4,159,gamma
T5,F8,159,gamma
P3,F3,159,gamma
T4,CZ,158,gamma
C4,FZ,158,gamma
F8,T5,158,gamma
T3,C3,158,gamma
CZ,P3,158,gamma
F4,F3,158,gamma
C3,T3,158,gamma
C3,F7,158,gamma
T5,O2,158,gamma
P4,F3,158,gamma
T5,T3,158,gamma
T6,F3,158,gamma
C4,P3,158,gamma
C4,Fp2,158,gamma
T4,C3,157,gamma
C4,C3,157,gamma
CZ,T4,157,gamma
F4,T3,157,gamma
C4,T4,157,gamma
F3,T4,157,gamma
F3,T6,157,gamma
F4,C4,157,gamma
O2,CZ,157,gamma
O2,C3,157,gamma
C3,P4,157,gamma
Fp1,C4,156,gamma
T5,O1,156,gamma
C3,F8,156,gamma
P3,T4,156,gamma
T6,Fp1,156,gamma
F4,C3,156,gamma
T4,O1,156,gamma
F8,F7,156,gamma
O2,PZ,156,gamma
T5,CZ,156,gamma
F4,CZ,155,gamma
T4,F7,155,gamma
P4,P3,155,gamma
FZ,T4,155,gamma
Fp2,T4,154,gamma
T4,P3,154,gamma
T5,PZ,154,gamma
C3,F4,154,gamma
C4,T5,154,gamma
PZ,P3,154,gamma
Fp1,T4,154,gamma
T5,F4,153,gamma
T4,Fp1,153,gamma
F4,T5,153,gamma
F7,T4,153,gamma
P3,F4,152,gamma
O2,T4,152,gamma
T4,T6,152,gamma
T4,F3,152,gamma
P3,P4,152,gamma
T4,FZ,152,gamma
FZ,T3,152,gamma
C4,Fp1,152,gamma
T5,P3,152,gamma
T4,Fp2,151,gamma
T4,C4,151,gamma
T4,O2,150,gamma
P4,T4,150,gamma
T4,P4,150,gamma
P3,CZ,149,gamma
T4,F4,148,gamma
T6,T4,148,gamma
T3,T4,147,gamma
T4,F8,144,gamma
F4,T4,143,gamma
T4,T3,141,gamma
F8,T4,141,gamma
