source,target,frequency,band
FZ,O1,188,beta
Fp2,PZ,187,beta
O1,FZ,186,beta
O1,CZ,186,beta
FZ,PZ,185,beta
CZ,O1,185,beta
O1,F3,185,beta
F3,T6,184,beta
Fp2,O1,184,beta
FZ,F4,184,beta
F7,T6,184,beta
Fp2,FZ,184,beta
T6,F7,183,beta
T6,F3,183,beta
CZ,F3,183,beta
O2,FZ,183,beta
F3,C4,183,beta
Fp2,CZ,183,beta
FZ,CZ,182,beta
F3,P3,182,beta
PZ,FZ,182,beta
O2,Fp2,182,beta
PZ,F3,182,beta
O1,Fp1,182,beta
P4,Fp1,182,beta
F8,C4,182,beta
PZ,O1,182,beta
FZ,Fp2,182,beta
FZ,O2,182,beta
F3,CZ,182,beta
T6,FZ,182,beta
F3,P4,182,beta
Fp2,O2,182,beta
F8,O2,181,beta
F7,C3,181,beta
F7,PZ,181,beta
F7,CZ,181,beta
F4,CZ,181,beta
F4,FZ,181,beta
CZ,Fp1,181,beta
FZ,T6,181,beta
Fp1,C4,181,beta
Fp1,P4,181,beta
O1,PZ,181,beta
F7,O1,181,beta
Fp2,C4,180,beta
CZ,F7,180,beta
P4,F4,180,beta
F3,PZ,180,beta
F7,P3,180,beta
F7,P4,180,beta
F3,C3,180,beta
P4,Fp2,180,beta
T6,Fp2,180,beta
Fp1,O1,180,beta
O2,F7,179,beta
T6,F4,179,beta
Fp1,T6,179,beta
F7,F4,179,beta
CZ,FZ,179,beta
PZ,F7,179,beta
Fp1,CZ,179,beta
O1,F7,179,beta
Fp1,P3,179,beta
FZ,C3,179,beta
FZ,F8,179,beta
Fp1,F3,179,beta
Fp1,C3,179,beta
FZ,C4,178,beta
Fp2,T5,178,beta
F4,C3,178,beta
F7,C4,178,beta
F7,F3,178,beta
O2,F4,178,beta
F3,F7,178,beta
T3,C4,178,beta
F8,CZ,178,beta
P4,FZ,178,beta
F8,PZ,178,beta
PZ,Fp2,178,beta
Fp1,PZ,178,beta
Fp1,F4,177,beta
F4,F8,177,beta
T6,Fp1,177,beta
T3,FZ,177,beta
T3,F7,177,beta
FZ,P4,177,beta
F3,F4,177,beta
F8,O1,177,beta
P4,F3,177,beta
P3,F7,177,beta
P4,F7,177,beta
Fp2,C3,177,beta
Fp2,P4,177,beta
P3,F3,177,beta
T6,F8,177,beta
F4,C4,177,beta
F3,O1,177,beta
O2,F3,177,beta
F8,F3,177,beta
O2,C4,177,beta
FZ,T3,176,beta
FZ,T5,176,beta
C4,Fp2,176,beta
Fp2,F4,176,beta
Fp2,F8,176,beta
Fp2,P3,176,beta
O2,CZ,176,beta
F4,P4,176,beta
F4,Fp2,176,beta
