source,target,frequency,band
Fp1,C3,193,theta
Fp1,C4,193,theta
CZ,Fp1,193,theta
CZ,C4,193,theta
CZ,F3,193,theta
FZ,P4,193,theta
FZ,F3,193,theta
P3,Fp1,193,theta
F4,C3,193,theta
O1,Fp1,193,theta
P4,Fp2,193,theta
P3,F8,193,theta
C4,F4,193,theta
P3,F3,193,theta
C4,F8,193,theta
F3,Fp2,193,theta
PZ,F3,193,theta
F3,C3,193,theta
Fp2,P4,193,theta
F7,T4,193,theta
F8,C4,193,theta
F8,O1,193,theta
T5,Fp1,193,theta
O1,T3,193,theta
O1,CZ,193,theta
T4,C4,193,theta
T3,O2,193,theta
PZ,Fp1,193,theta
PZ,C4,193,theta
F3,P4,193,theta
Fp2,CZ,193,theta
F4,T3,192,theta
P3,C3,192,theta
P4,FZ,192,theta
P3,O2,192,theta
P3,FZ,192,theta
P3,T3,192,theta
O1,F3,192,theta
C3,CZ,192,theta
C3,PZ,192,theta
C4,Fp1,192,theta
F4,O2,192,theta
F4,O1,192,theta
F3,FZ,192,theta
C3,FZ,192,theta
C4,T6,192,theta
C4,C3,192,theta
F4,PZ,192,theta
F4,CZ,192,theta
C3,F4,192,theta
C3,P3,192,theta
C3,P4,192,theta
C3,F7,192,theta
C3,Fp2,192,theta
C3,F3,192,theta
Fp1,F7,192,theta
Fp1,Fp2,192,theta
F7,Fp1,192,theta
O2,F4,192,theta
T6,F3,192,theta
O2,T3,192,theta
T4,FZ,192,theta
T5,F3,192,theta
T6,Fp1,192,theta
T6,Fp2,192,theta
F7,Fp2,192,theta
O2,P4,192,theta
F7,C4,192,theta
F7,T3,192,theta
F8,F4,192,theta
F8,P3,192,theta
T5,O2,192,theta
T5,F7,192,theta
FZ,Fp2,192,theta
FZ,F4,192,theta
Fp2,O1,192,theta
CZ,F7,192,theta
Fp2,Fp1,192,theta
Fp2,F3,192,theta
Fp2,FZ,192,theta
F3,C4,192,theta
PZ,C3,192,theta
F3,T4,192,theta
T3,C4,192,theta
PZ,F7,192,theta
T3,T5,192,theta
T3,F4,192,theta
T4,Fp2,192,theta
T4,F8,192,theta
Fp1,FZ,192,theta
CZ,C3,192,theta
FZ,Fp1,192,theta
T6,T4,192,theta
O1,F4,191,theta
P4,F8,191,theta
P4,O1,191,theta
C3,T5,191,theta
P3,O1,191,theta
C4,T3,191,theta
C4,CZ,191,theta
C4,P4,191,theta
P4,CZ,191,theta
C3,T3,191,theta
C3,T6,191,theta
F3,T6,191,theta
C4,F3,191,theta
C4,T4,191,theta
O1,C4,191,theta
O1,C3,191,theta
P3,CZ,191,theta
P4,PZ,191,theta
FZ,F7,191,theta
FZ,T4,191,theta
C3,O1,191,theta
C3,F8,191,theta
FZ,C3,191,theta
FZ,C4,191,theta
T6,FZ,191,theta
Fp1,P3,191,theta
CZ,F4,191,theta
Fp1,O1,191,theta
Fp2,F4,191,theta
Fp2,T4,191,theta
Fp2,F8,191,theta
Fp2,F7,191,theta
CZ,T4,191,theta
CZ,T3,191,theta
Fp2,PZ,191,theta
F3,P3,191,theta
F3,F8,191,theta
PZ,T4,191,theta
PZ,F4,191,theta
T3,T4,191,theta
F8,CZ,191,theta
T3,T6,191,theta
T4,P3,191,theta
T4,F4,191,theta
PZ,CZ,191,theta
PZ,O1,191,theta
F8,PZ,191,theta
F8,T5,191,theta
T5,P3,191,theta
T5,F8,191,theta
F8,T4,191,theta
F7,O2,191,theta
T6,O2,191,theta
T5,C4,191,theta
T6,F7,191,theta
O1,PZ,191,theta
O2,O1,191,theta
O2,P3,191,theta
O2,T6,191,theta
O2,PZ,191,theta
F7,C3,191,theta
F7,P3,191,theta
F7,F3,191,theta
F7,FZ,191,theta
C4,FZ,191,theta
F4,T4,191,theta
P3,Fp2,191,theta
F3,PZ,191,theta
Fp1,T5,191,theta
Fp1,T4,191,theta
P3,P4,191,theta
P4,F4,191,theta
Fp1,P4,191,theta
C4,F7,191,theta
F7,T6,191,theta
F8,C3,191,theta
T5,Fp2,191,theta
T4,PZ,191,theta
O1,O2,191,theta
O1,F7,191,theta
CZ,P3,190,theta
Fp1,F8,190,theta
Fp1,O2,190,theta
T3,Fp1,190,theta
T6,T5,190,theta
FZ,O2,190,theta
C3,O2,190,theta
C3,C4,190,theta
C3,Fp1,190,theta
F4,FZ,190,theta
