Source,Target,F-stat,p-value
F4,FZ,1879.7596312725552,0.0
CZ,FZ,1849.1527693139926,0.0
F4,Fp2,1609.71013898966,0.0
F3,FZ,1593.7751244549304,0.0
C4,FZ,1486.4945240855047,0.0
F4,F7,1480.7129051271788,0.0
CZ,F7,1444.7589054856428,0.0
P4,O2,1421.0499008766817,0.0
C3,FZ,1397.2521813874619,0.0
Fp2,FZ,1360.5957285753498,0.0
F3,F7,1359.2853080598716,0.0
Fp1,FZ,1340.3549431889205,0.0
F4,F8,1321.4275323324428,0.0
Fp1,F7,1197.3656859365647,0.0
CZ,Fp2,1175.46944099884,0.0
F4,CZ,1133.2908130720425,0.0
F4,Fp1,1110.691270592908,0.0
PZ,P4,1068.425756618356,0.0
F8,FZ,1049.5043245538225,0.0
Fp2,F7,1047.7467967066611,0.0
PZ,FZ,1021.8120130334313,0.0
P3,FZ,975.0448329705728,0.0
CZ,Fp1,964.9053494797006,0.0
F7,FZ,958.5054608027365,0.0
P4,FZ,920.9263271333627,0.0
F4,F3,916.9313168905197,0.0
P4,O1,905.7169730653828,0.0
T4,FZ,902.4918462271739,0.0
O2,FZ,897.6047329166613,0.0
Fp2,Fp1,892.4853648235476,0.0
C3,F7,889.403942672211,0.0
O1,FZ,845.2723645365584,0.0
PZ,O2,843.2415041579555,0.0
C4,F7,832.9868250831928,0.0
Fp1,F4,823.2866784014321,0.0
C4,CZ,809.6308566533171,0.0
P3,O1,799.7671787671363,0.0
PZ,O1,791.9529090151898,0.0
T3,FZ,772.2556674466744,0.0
C3,CZ,771.331391917011,0.0
P3,T5,715.9102438465077,9.482203152071174e-309
F3,Fp2,705.2215543996175,3.4176830906739562e-304
T6,FZ,701.8251857856641,9.592717174107231e-303
F3,F4,678.721863053459,6.863742015831981e-293
C3,T3,671.0851572922278,1.2452550788309449e-289
T6,O2,654.6527442838865,1.286469041335278e-282
FZ,Fp1,649.322345278611,2.4283402524612123e-280
C4,F8,646.8494637475567,2.762215787899613e-279
P3,O2,643.8988091652848,5.0269958094715223e-278
T5,FZ,640.0009703823872,2.3227025036376857e-276
Fp2,F4,637.5542080810048,2.576559461603755e-275
C4,T4,631.0614364792111,1.5293788658078893e-272
FZ,F7,626.4004242702878,1.4990521842786102e-270
F8,F7,625.6384953662674,3.1721579109598395e-270
F3,Fp1,622.3291192561079,8.229573118924435e-269
T5,T3,621.6492657762493,1.6064918310044438e-268
P3,P4,609.191123102315,3.3895755213687394e-263
T4,CZ,587.895793031932,4.3168031926697114e-254
F3,CZ,585.7009292693764,3.748714452120778e-253
Fp1,T3,571.1174869564317,6.492673102914e-247
C4,P4,565.3684018135423,1.8725342074028927e-244
FZ,Fp2,564.6913698534681,3.6488218319604106e-244
C4,F3,561.4342200626778,9.037718567206149e-243
PZ,T5,548.7994208446212,2.3135036498444716e-237
T6,T4,536.2931013484375,5.2388152102300204e-232
C3,F3,519.5377697271879,7.8752631831602e-225
F4,T3,503.13884327556815,8.387977282119046e-218
P3,T3,482.1162118056815,8.645976443711373e-209
T6,P4,481.7060428213968,1.2963348242854555e-208
C4,T3,473.9076515649097,2.8671824659563585e-205
T6,O1,471.0844180648889,4.661334720477767e-204
C4,F4,463.2395707596003,1.0816945845785858e-200
T3,F8,462.9105233875646,1.4972263953731e-200
F3,C3,460.8142463757664,1.18783365266614e-199
PZ,F7,453.10333543728,2.4197272854997603e-196
P3,F7,451.48669674530527,1.1956512330585254e-195
T6,T3,448.31853697459087,2.7379012065156663e-194
P4,F7,444.1131978745191,1.7481322966034496e-192
