Channel,Participation_Coefficient
Fp1,0.48521337257889396
Fp2,0.4865457194839381
F3,0.475885505170349
F4,0.47388774304952896
C3,0.48086174902587775
C4,0.48005282541847905
P3,0.46473388994439935
P4,0.46311808923388187
O1,0.46237772859236426
O2,0.4622786843754738
F7,0.479920449404025
F8,0.4762350719863543
T3,0.483957927958659
T4,0.47681904009419107
T5,0.4665246019530973
T6,0.4821924629020671
FZ,0.484082343691701
CZ,0.4794768686286267
PZ,0.46619896874111144
25+,0.4929942029802681
26+,0.4768075417576263
27+,0.46174281650973814
