subject_id,session_id,status,n_segments,n_nodes,gif_path,csv_path,npy_path
sub-NORB00086,ses-2,ok,20.0,19.0,betweenness_multi_session/sub-NORB00086/ses-2/sub-NORB00086_ses-2_betweenness_change.gif,betweenness_multi_session/sub-NORB00086/ses-2/sub-NORB00086_ses-2_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00086/ses-2/sub-NORB00086_ses-2_betweenness_matrix.npy
sub-NORB00087,ses-1,ok,19.0,19.0,betweenness_multi_session/sub-NORB00087/ses-1/sub-NORB00087_ses-1_betweenness_change.gif,betweenness_multi_session/sub-NORB00087/ses-1/sub-NORB00087_ses-1_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00087/ses-1/sub-NORB00087_ses-1_betweenness_matrix.npy
sub-NORB00087,ses-2,ok,19.0,19.0,betweenness_multi_session/sub-NORB00087/ses-2/sub-NORB00087_ses-2_betweenness_change.gif,betweenness_multi_session/sub-NORB00087/ses-2/sub-NORB00087_ses-2_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00087/ses-2/sub-NORB00087_ses-2_betweenness_matrix.npy
sub-NORB00089,ses-1,ok,24.0,19.0,betweenness_multi_session/sub-NORB00089/ses-1/sub-NORB00089_ses-1_betweenness_change.gif,betweenness_multi_session/sub-NORB00089/ses-1/sub-NORB00089_ses-1_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00089/ses-1/sub-NORB00089_ses-1_betweenness_matrix.npy
sub-NORB00089,ses-2,ok,20.0,19.0,betweenness_multi_session/sub-NORB00089/ses-2/sub-NORB00089_ses-2_betweenness_change.gif,betweenness_multi_session/sub-NORB00089/ses-2/sub-NORB00089_ses-2_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00089/ses-2/sub-NORB00089_ses-2_betweenness_matrix.npy
sub-NORB00090,ses-1,ok,15.0,19.0,betweenness_multi_session/sub-NORB00090/ses-1/sub-NORB00090_ses-1_betweenness_change.gif,betweenness_multi_session/sub-NORB00090/ses-1/sub-NORB00090_ses-1_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00090/ses-1/sub-NORB00090_ses-1_betweenness_matrix.npy
sub-NORB00090,ses-2,ok,20.0,19.0,betweenness_multi_session/sub-NORB00090/ses-2/sub-NORB00090_ses-2_betweenness_change.gif,betweenness_multi_session/sub-NORB00090/ses-2/sub-NORB00090_ses-2_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00090/ses-2/sub-NORB00090_ses-2_betweenness_matrix.npy
sub-NORB00094,ses-1,ok,12.0,19.0,betweenness_multi_session/sub-NORB00094/ses-1/sub-NORB00094_ses-1_betweenness_change.gif,betweenness_multi_session/sub-NORB00094/ses-1/sub-NORB00094_ses-1_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00094/ses-1/sub-NORB00094_ses-1_betweenness_matrix.npy
sub-NORB00094,ses-2,ok,20.0,19.0,betweenness_multi_session/sub-NORB00094/ses-2/sub-NORB00094_ses-2_betweenness_change.gif,betweenness_multi_session/sub-NORB00094/ses-2/sub-NORB00094_ses-2_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00094/ses-2/sub-NORB00094_ses-2_betweenness_matrix.npy
sub-NORB00096,ses-1,ok,20.0,19.0,betweenness_multi_session/sub-NORB00096/ses-1/sub-NORB00096_ses-1_betweenness_change.gif,betweenness_multi_session/sub-NORB00096/ses-1/sub-NORB00096_ses-1_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00096/ses-1/sub-NORB00096_ses-1_betweenness_matrix.npy
sub-NORB00096,ses-2,ok,20.0,19.0,betweenness_multi_session/sub-NORB00096/ses-2/sub-NORB00096_ses-2_betweenness_change.gif,betweenness_multi_session/sub-NORB00096/ses-2/sub-NORB00096_ses-2_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00096/ses-2/sub-NORB00096_ses-2_betweenness_matrix.npy
sub-NORB00103,ses-1,ok,35.0,19.0,betweenness_multi_session/sub-NORB00103/ses-1/sub-NORB00103_ses-1_betweenness_change.gif,betweenness_multi_session/sub-NORB00103/ses-1/sub-NORB00103_ses-1_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00103/ses-1/sub-NORB00103_ses-1_betweenness_matrix.npy
sub-NORB00103,ses-2,ok,20.0,19.0,betweenness_multi_session/sub-NORB00103/ses-2/sub-NORB00103_ses-2_betweenness_change.gif,betweenness_multi_session/sub-NORB00103/ses-2/sub-NORB00103_ses-2_betweenness_by_segment.csv,betweenness_multi_session/sub-NORB00103/ses-2/sub-NORB00103_ses-2_betweenness_matrix.npy
