Channel,Participation_Coefficient
Fp1,0.49574093002571995
Fp2,0.49672233532644183
F3,0.5102106142106402
F4,0.4982496429664336
C3,0.5279589269027604
C4,0.5119971239705894
P3,0.5893536453958642
P4,0.5909104967897576
O1,0.6356455559946291
O2,0.5991956725598784
F7,0.5103872313367892
F8,0.4736204301814102
T3,0.5248002743623896
T4,0.5461848529803566
T5,0.6028886329959164
T6,0.6559368109226054
FZ,0.5166236238615098
CZ,0.5385907154809246
PZ,0.591483081659586
25+,0.5220908648353517
26+,0.617900155436723
27+,0.6609661447541729
