,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
Fp1,1.0,0.8894643637992169,0.53459338496677,0.6239817114405188,0.24041211486424063,-0.031838331848349846,-0.22206136315582622,-0.3382929661319543,-0.44748225367759586,-0.4876286284429632,0.7565522480644061,0.3572853646607811,0.30782764312410793,-0.017875518233995105,-0.1242597132755704,-0.3086967179972322,0.48305079593031963,0.29489479385719053,-0.1826978532670342
Fp2,0.8894643637992169,1.0,0.5223625450165145,0.6812594120608523,0.20204196920019743,-0.0719807668472351,-0.18375875587882218,-0.238247265804564,-0.272003613625474,-0.35449169962338994,0.7877544795191387,0.49708154336140753,0.45927263340049385,0.019381207244466733,-0.132306309373945,-0.21885391264995185,0.4761493665251776,0.29093378132139336,-0.15833747445690363
F3,0.5345933849667701,0.5223625450165145,0.9999999999999998,0.8075298286628638,0.08906949248472275,0.16273521450332845,0.04703038867253052,-0.0442903025692645,-0.09962465514644188,-0.12816436138477677,0.06856132562173534,0.5142573913124786,0.2070970850790122,0.3285139644312492,0.22951609328835876,0.11520532051892443,0.9818041615737574,0.21202631319477225,-0.07931020248306497
F4,0.6239817114405188,0.6812594120608523,0.8075298286628638,1.0,0.40187358045888366,0.17915798446592157,-0.046547960787649806,-0.06682785370510505,-0.2642134802365774,-0.23752264936753992,0.3731037580823719,0.4061870910079824,0.24567394181686011,0.2705754654004311,-0.010581407873316451,0.011158813128752358,0.8155837283508055,0.5307631044290813,0.01424680319764225
C3,0.24041211486424063,0.2020419692001974,0.08906949248472273,0.40187358045888366,1.0,0.4896924323477905,0.5279918667261083,0.2790899741578031,0.11974730356792605,0.15027952777207917,0.2183454420060979,0.100213875994658,0.19272851746910646,0.3273377773820981,0.2326106588372231,0.20858469141499777,0.12548495637753046,0.8427146319581387,0.7238798200353607
C4,-0.031838331848349846,-0.07198076684723512,0.16273521450332845,0.1791579844659216,0.4896924323477905,1.0,0.532545829941631,0.6254654429388133,0.3861101054668848,0.5312145034464478,-0.264868325293731,0.31814773692038484,0.21878731783193767,0.7633277771153943,0.468033368515983,0.6284404646320628,0.1774216930076462,0.32252394667452183,0.6656865673278686
P3,-0.22206136315582625,-0.18375875587882215,0.047030388672530524,-0.046547960787649806,0.5279918667261082,0.532545829941631,1.0,0.3613913967355255,0.6495586012202959,0.4876109365656946,-0.38914278335859365,0.20594004783436343,0.2519628488512266,0.37801418543952797,0.776578028560974,0.3564612924858357,0.056277054970050984,0.2225138614406145,0.7398940108501828
P4,-0.33829296613195425,-0.23824726580456398,-0.0442903025692645,-0.06682785370510505,0.2790899741578031,0.6254654429388135,0.3613913967355255,1.0,0.655909538847499,0.8940873407744936,-0.3296094508278107,0.14784972405574903,0.002743484748186382,0.6842478662809669,0.2946324579143614,0.9462146788337433,0.010030581869463517,0.34441987995363166,0.7499265207172677
O1,-0.44748225367759586,-0.272003613625474,-0.09962465514644188,-0.2642134802365774,0.11974730356792607,0.3861101054668848,0.6495586012202959,0.6559095388474991,1.0,0.8478445128151807,-0.41293984144494056,0.18464288733891326,0.1493486296476337,0.32711223430161723,0.5683497519431815,0.5930311732303162,-0.07207309925527795,0.022735819753553668,0.6039147008904384
O2,-0.4876286284429631,-0.35449169962338994,-0.12816436138477677,-0.23752264936753992,0.15027952777207917,0.5312145034464478,0.4876109365656946,0.8940873407744935,0.8478445128151808,1.0,-0.45871956781298345,0.1710792337437851,0.08652971972492306,0.5133847718468829,0.4061287475172011,0.7995492675807268,-0.08683787476590338,0.129526343907123,0.7206427274944656
F7,0.756552248064406,0.7877544795191388,0.06856132562173534,0.3731037580823719,0.21834544200609787,-0.264868325293731,-0.38914278335859365,-0.3296094508278107,-0.41293984144494056,-0.45871956781298345,1.0,0.1538258135537073,0.3301393895166606,-0.29200339933559305,-0.4576464119964696,-0.4244959968407557,0.026039906150065132,0.29960880354130126,-0.20132690487793076
F8,0.3572853646607811,0.4970815433614075,0.5142573913124785,0.40618709100798245,0.10021387599465799,0.31814773692038484,0.20594004783436343,0.14784972405574903,0.18464288733891326,0.17107923374378511,0.15382581355370728,1.0,0.7164960902493489,0.48606983479221305,0.30510065955385135,0.21707216336716137,0.46658970721921383,-0.009592970330976955,0.15174340724751545
T3,0.30782764312410793,0.4592726334004939,0.2070970850790122,0.24567394181686011,0.19272851746910646,0.2187873178319377,0.2519628488512266,0.002743484748186382,0.1493486296476337,0.08652971972492307,0.3301393895166606,0.7164960902493488,1.0,0.27139765444361097,0.36484769717468185,-0.0011039271798735973,0.17727853134353558,-0.014031233181292286,0.14672431291338195
T4,-0.017875518233995105,0.01938120724446673,0.32851396443124914,0.27057546540043104,0.3273377773820981,0.7633277771153943,0.37801418543952797,0.6842478662809669,0.3271122343016172,0.5133847718468829,-0.29200339933559305,0.486069834792213,0.27139765444361097,1.0,0.46255348826631615,0.8128600111042096,0.3408557433051876,0.24677165443043664,0.5377256299425535
T5,-0.1242597132755704,-0.132306309373945,0.22951609328835876,-0.010581407873316451,0.23261065883722312,0.46803336851598293,0.7765780285609741,0.29463245791436143,0.5683497519431816,0.4061287475172011,-0.4576464119964696,0.3051006595538513,0.36484769717468185,0.46255348826631615,1.0,0.37432746693363594,0.2496834886211061,0.03530988711584955,0.48893154046149545
