subject_id,session_left,session_right,node,left_value,right_value,jaccard_min_over_max
sub-NORB00064,ses-1,ses-2,Fp1,0.4707546186626933,0.49756739055475563,0.9461122806658052
sub-NORB00064,ses-1,ses-2,Fp2,0.48798146069814136,0.5007437880469966,0.9745132587692582
sub-NORB00064,ses-1,ses-2,F3,0.4820784353349522,0.5089965457784036,0.9471153376840981
sub-NORB00064,ses-1,ses-2,F4,0.48322031447318925,0.5378628658552659,0.8984080239575779
sub-NORB00064,ses-1,ses-2,C3,0.4432037866270818,0.4906996766658994,0.9032078228346665
sub-NORB00064,ses-1,ses-2,C4,0.45522280635909634,0.49350575621484793,0.9224265383460186
sub-NORB00064,ses-1,ses-2,P3,0.41226379254597034,0.4576259353272764,0.9008750613121068
sub-NORB00064,ses-1,ses-2,P4,0.39592299579302337,0.46786414435339685,0.8462349606640653
sub-NORB00064,ses-1,ses-2,O1,0.33620448831714456,0.3393779606168707,0.9906491503044044
sub-NORB00064,ses-1,ses-2,O2,0.2714790970597988,0.36139827516212,0.7511909041016196
sub-NORB00064,ses-1,ses-2,F7,0.37672177357868164,0.45242967051186167,0.8326637224134151
sub-NORB00064,ses-1,ses-2,F8,0.42612395463515335,0.4968136594632281,0.8577138460636329
sub-NORB00064,ses-1,ses-2,T3,0.29039118445446516,0.3504702634196991,0.8285758158794563
sub-NORB00064,ses-1,ses-2,T4,0.2952709734557828,0.43741525071172144,0.6750358451730828
sub-NORB00064,ses-1,ses-2,T5,0.28604521830625956,0.3450551126210641,0.8289841472958884
sub-NORB00064,ses-1,ses-2,T6,0.32594990255670303,0.3672107512563423,0.8876371441781782
sub-NORB00064,ses-1,ses-2,FZ,0.4853876587042248,0.4975025618036568,0.975648561375221
sub-NORB00064,ses-1,ses-2,CZ,0.4107108859214805,0.41546282727238654,0.9885622947735091
sub-NORB00064,ses-1,ses-2,PZ,0.4517659996748404,0.4806485991259034,0.9399091155085268
sub-NORB00064,ses-2,ses-3,Fp1,0.49756739055475563,0.4565808102747258,0.91762607225057
sub-NORB00064,ses-2,ses-3,Fp2,0.5007437880469966,0.4418104244087621,0.8823083480114917
sub-NORB00064,ses-2,ses-3,F3,0.5089965457784036,0.4812855860609664,0.9455576664571287
sub-NORB00064,ses-2,ses-3,F4,0.5378628658552659,0.48097398658052565,0.8942316287548869
sub-NORB00064,ses-2,ses-3,C3,0.4906996766658994,0.46334025797333306,0.9442440661904197
sub-NORB00064,ses-2,ses-3,C4,0.49350575621484793,0.4452358229024598,0.9021897258451149
sub-NORB00064,ses-2,ses-3,P3,0.4576259353272764,0.40138737518025286,0.8771080137606189
sub-NORB00064,ses-2,ses-3,P4,0.46786414435339685,0.40358895872494577,0.8626199797437322
sub-NORB00064,ses-2,ses-3,O1,0.3393779606168707,0.3178361010955735,0.9365254612228159
sub-NORB00064,ses-2,ses-3,O2,0.36139827516212,0.29782128306259253,0.8240805325620124
sub-NORB00064,ses-2,ses-3,F7,0.45242967051186167,0.46542295468277056,0.9720828462795416
sub-NORB00064,ses-2,ses-3,F8,0.4968136594632281,0.4504519972699624,0.9066819896953796
sub-NORB00064,ses-2,ses-3,T3,0.3504702634196991,0.3872457142285053,0.9050332916348152
sub-NORB00064,ses-2,ses-3,T4,0.43741525071172144,0.3651377251668198,0.8347622186759645
sub-NORB00064,ses-2,ses-3,T5,0.3450551126210641,0.3258141075525373,0.9442378786322837
sub-NORB00064,ses-2,ses-3,T6,0.3672107512563423,0.31875372639517136,0.8680402883211225
sub-NORB00064,ses-2,ses-3,FZ,0.4975025618036568,0.46024285166231665,0.9251064959218341
sub-NORB00064,ses-2,ses-3,CZ,0.41546282727238654,0.441931199446734,0.940107482324208
sub-NORB00064,ses-2,ses-3,PZ,0.4806485991259034,0.4460619538885991,0.9280417225802743
sub-NORB00065,ses-1,ses-2,Fp1,0.43939510993754505,0.42630859028911383,0.9702169656592416
sub-NORB00065,ses-1,ses-2,Fp2,0.4630617549069916,0.4248450555674784,0.9174695406508162
sub-NORB00065,ses-1,ses-2,F3,0.49531351382380395,0.4904248658706904,0.9901301946813982
sub-NORB00065,ses-1,ses-2,F4,0.5036240324500009,0.4867674853474118,0.9665295021355786
sub-NORB00065,ses-1,ses-2,C3,0.4838725759768018,0.48756045093891254,0.9924360662252057
sub-NORB00065,ses-1,ses-2,C4,0.5119057007547391,0.4647912964345621,0.9079627278017947
sub-NORB00065,ses-1,ses-2,P3,0.42579820904002325,0.40604591072788293,0.9536111287159414
sub-NORB00065,ses-1,ses-2,P4,0.3929580753251315,0.4060831426684904,0.9676788668027186
sub-NORB00065,ses-1,ses-2,O1,0.3173808007692679,0.2919077257868121,0.9197397104024122
sub-NORB00065,ses-1,ses-2,O2,0.32271791802183103,0.3004301057951221,0.9309371714984811
sub-NORB00065,ses-1,ses-2,F7,0.3882358274615255,0.43064976965009477,0.9015117499702118
sub-NORB00065,ses-1,ses-2,F8,0.4668311217556373,0.41285360351950456,0.8843746363071585
sub-NORB00065,ses-1,ses-2,T3,0.25495342974045865,0.3977578841496566,0.6409764329009058
sub-NORB00065,ses-1,ses-2,T4,0.4080728915289374,0.3172078488717599,0.7773313431413416
sub-NORB00065,ses-1,ses-2,T5,0.2818043072473642,0.2660871576646131,0.9442267233731286
sub-NORB00065,ses-1,ses-2,T6,0.316677331320103,0.2980144613159092,0.9410666057895725
sub-NORB00065,ses-1,ses-2,FZ,0.5025738858557156,0.49431812279340887,0.983573036135274
sub-NORB00065,ses-1,ses-2,CZ,0.4669309877037314,0.4056076616829474,0.8686672599684179
sub-NORB00065,ses-1,ses-2,PZ,0.4662289546046088,0.44482215146329596,0.9540852130055562
sub-NORB00069,ses-1,ses-2,Fp1,0.5420785180921858,0.477695422305027,0.881229206400299
sub-NORB00069,ses-1,ses-2,Fp2,0.534129951194117,0.48144774639162513,0.9013681882382482
sub-NORB00069,ses-1,ses-2,F3,0.548203607722583,0.4932905961545918,0.8998309919992723
sub-NORB00069,ses-1,ses-2,F4,0.5505257234563533,0.5019271109236179,0.9117232665757744
sub-NORB00069,ses-1,ses-2,C3,0.5481638991676187,0.4685656951267866,0.8547912327650523
sub-NORB00069,ses-1,ses-2,C4,0.5518936155552745,0.477514784451872,0.8652297671018209
sub-NORB00069,ses-1,ses-2,P3,0.48558349534585427,0.4344515565449817,0.8947000067116075
sub-NORB00069,ses-1,ses-2,P4,0.5379916066427938,0.4267791106080091,0.7932820983420554
sub-NORB00069,ses-1,ses-2,O1,0.4472549988513198,0.2903057177664567,0.6490832265979044
sub-NORB00069,ses-1,ses-2,O2,0.45652147395985165,0.41784565734703916,0.9152814953536801
