Channel,Out,In,Total
F3,18,18,36
C4,18,18,36
F4,18,18,36
FZ,18,18,36
T6,18,18,36
O1,18,18,36
P4,18,18,36
O2,18,18,36
F7,18,18,36
T4,18,18,36
T3,18,18,36
T5,18,18,36
F8,18,17,35
C3,18,17,35
P3,18,17,35
PZ,17,18,35
Fp1,16,18,34
Fp2,17,17,34
CZ,17,17,34
