,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
Fp1,1.0,0.9995267962011646,0.9994174611998732,0.9972741273001464,0.3774204980921328,0.558333834020518,0.24614702720860648,0.3509787876871723,0.19842420286594337,0.32263560429322174,0.8947675309640644,0.4342827338543816,0.12505751909019286,-0.17438393959158505,-0.3048031021370091,-0.3060341636233821,0.9993148469016414,0.4456070597942104,0.4362331578717523
Fp2,0.9995267962011646,1.0,0.9984983036414713,0.9959709035120404,0.36633701629744136,0.5465503791840939,0.23659974061015987,0.33834219994654396,0.18957626858202684,0.3104462012613417,0.8907668374386681,0.421635313696726,0.11381003688385201,-0.18950165575419362,-0.31161383672757564,-0.3153697278718398,0.998569386637942,0.4298278782468652,0.4204953134137411
F3,0.9994174611998731,0.9984983036414714,1.0,0.998446603097799,0.3925706362745974,0.5728871725529017,0.2611091468273607,0.36683696916561687,0.21309641113135958,0.33864987068676816,0.8933855499179704,0.44969437061359,0.13014728889151866,-0.16572629407095735,-0.2989541867551969,-0.29723480495875265,0.9996867069788042,0.4622074878091145,0.45274549346607784
F4,0.9972741273001464,0.9959709035120404,0.998446603097799,1.0,0.4003223725351262,0.590332561972557,0.2654944220369358,0.3855987369044977,0.21714545834718313,0.35684336150261775,0.8778573860758302,0.46805167321034585,0.11801023179647745,-0.14674667242903364,-0.30238459072448903,-0.27585739841920004,0.9991406408172747,0.4769846482898967,0.46770709060310506
C3,0.3774204980921328,0.36633701629744136,0.3925706362745974,0.4003223725351262,1.0,0.8438548494064724,0.9743983355306115,0.8522778828906351,0.9600931493261257,0.8632284249742915,0.31343645533304915,0.8548941766138747,0.47904284021181986,0.35434095379227265,0.5152365969085761,0.36612741699471424,0.39096980055221126,0.9260027941793015,0.9274183080957125
C4,0.5583338340205181,0.5465503791840939,0.5728871725529017,0.590332561972557,0.8438548494064723,1.0,0.7635470092028355,0.971594728081329,0.7320751830458073,0.9605525182512819,0.4074148655224505,0.9890712278574186,0.4065628710191477,0.47731269399230564,0.21817307397902375,0.4370641434447154,0.5739173442349808,0.9023629918317551,0.8996873646076542
P3,0.24614702720860646,0.23659974061015984,0.26110914682736064,0.26549442203693574,0.9743983355306114,0.7635470092028355,0.9999999999999998,0.8001915925292691,0.9977976514200559,0.8206394398037629,0.19959926194621677,0.7905025002875776,0.4543730025439571,0.31847029752809786,0.6022448436031054,0.3669710605623827,0.25856829441395385,0.8471602000942171,0.8495774536412493
P4,0.3509787876871723,0.3383421999465439,0.3668369691656168,0.3855987369044977,0.8522778828906351,0.9715947280813291,0.8001915925292691,0.9999999999999999,0.7787241353002549,0.9961823017142439,0.21498794257687368,0.9954660537651484,0.4286566268012135,0.5883291584684893,0.34272452234775047,0.5877025270361463,0.3678210463355207,0.8916659618294498,0.891568894769041
O1,0.19842420286594337,0.18957626858202684,0.21309641113135958,0.21714545834718313,0.9600931493261258,0.7320751830458073,0.997797651420056,0.7787241353002549,1.0,0.8024428709843286,0.15331184163577047,0.7646815097976293,0.4399310240919053,0.31103858515840926,0.6243071948639088,0.3702378727352411,0.21072174750058967,0.8154036946251576,0.818396939694971
O2,0.32263560429322174,0.31044620126134176,0.3386498706867682,0.35684336150261775,0.8632284249742915,0.960552518251282,0.8206394398037629,0.9961823017142439,0.8024428709843286,1.0,0.19242186210059284,0.9887974613975044,0.4067370860729462,0.5568161153410103,0.34106777067020033,0.570485984266337,0.339566260355323,0.8868933084731992,0.887192887947503
F7,0.8947675309640645,0.8907668374386681,0.8933855499179704,0.8778573860758301,0.31343645533304915,0.4074148655224505,0.19959926194621677,0.21498794257687368,0.1533118416357705,0.19242186210059284,1.0,0.29477472602931126,0.1653994773796951,-0.22433115978049847,-0.26453125427854207,-0.3524492682576061,0.8870672555321064,0.38027810525345324,0.3715544587432047
F8,0.4342827338543816,0.421635313696726,0.44969437061359,0.46805167321034585,0.8548941766138747,0.9890712278574187,0.7905025002875777,0.9954660537651483,0.7646815097976293,0.9887974613975044,0.29477472602931126,0.9999999999999999,0.42417346286403923,0.5518776583666344,0.29848523278104633,0.5346951657715076,0.4506862078880647,0.9047480369701008,0.9036335225316752
T3,0.1250575190901929,0.11381003688385201,0.13014728889151866,0.11801023179647745,0.47904284021181986,0.4065628710191477,0.45437300254395707,0.4286566268012135,0.43993102409190527,0.4067370860729462,0.1653994773796951,0.42417346286403923,1.0,0.4376464158904261,0.590812582719904,0.27989561691493176,0.12068458251709756,0.48714208755756344,0.48776789896693773
T4,-0.17438393959158505,-0.18950165575419362,-0.16572629407095735,-0.14674667242903364,0.3543409537922726,0.4773126939923057,0.3184702975280979,0.5883291584684893,0.31103858515840926,0.5568161153410103,-0.22433115978049853,0.5518776583666344,0.437646415890426,1.0,0.47026546960025145,0.8048640354030988,-0.16367202730818625,0.4590873167669993,0.4658523381952248
T5,-0.3048031021370091,-0.31161383672757564,-0.2989541867551969,-0.3023845907244891,0.5152365969085761,0.21817307397902375,0.6022448436031054,0.34272452234775047,0.6243071948639088,0.34106777067020033,-0.26453125427854207,0.2984852327810463,0.5908125827199041,0.4702654696002515,0.9999999999999999,0.5794900771091618,-0.30173873337570983,0.35626515124564095,0.3641355427851839
T6,-0.3060341636233821,-0.3153697278718398,-0.29723480495875265,-0.27585739841920004,0.3661274169947142,0.43706414344471534,0.36697106056238266,0.5877025270361462,0.3702378727352411,0.570485984266337,-0.35244926825760603,0.5346951657715074,0.27989561691493176,0.8048640354030988,0.5794900771091618,1.0,-0.29248823433306964,0.40111636901924896,0.4102147841328224
FZ,0.9993148469016414,0.9985693866379421,0.9996867069788041,0.9991406408172747,0.3909698005522112,0.5739173442349808,0.2585682944139539,0.3678210463355207,0.21072174750058967,0.33956626035532295,0.8870672555321065,0.4506862078880647,0.12068458251709757,-0.16367202730818625,-0.3017387333757098,-0.2924882343330697,1.0,0.461029254923924,0.4516906087003035
CZ,0.4456070597942104,0.4298278782468652,0.4622074878091145,0.47698464828989673,0.9260027941793015,0.9023629918317551,0.8471602000942171,0.8916659618294499,0.8154036946251576,0.8868933084731994,0.38027810525345324,0.9047480369701008,0.4871420875575634,0.45908731676699926,0.3562651512456409,0.40111636901924896,0.461029254923924,1.0,0.9997796470093093
PZ,0.4362331578717523,0.420495313413741,0.4527454934660779,0.46770709060310506,0.9274183080957125,0.8996873646076541,0.8495774536412493,0.8915688947690411,0.818396939694971,0.8871928879475028,0.3715544587432047,0.9036335225316752,0.4877678989669377,0.46585233819522487,0.3641355427851839,0.4102147841328224,0.4516906087003034,0.9997796470093092,1.0
