Source,Target,F-statistic,p-value
F4,Fp2,345.26266032222014,4.462770916785067e-149
O2,P4,238.5899972797768,1.402241236110402e-103
T6,P4,218.66121270578267,4.784420350863714e-95
F8,Fp2,194.75381542498982,8.515807387841198e-85
F4,Fp1,186.17846056041876,4.0797501177569324e-81
T3,CZ,182.36134773176374,1.7762570021427742e-79
T4,CZ,178.99005707607992,4.980655290298342e-78
F7,Fp2,177.58013591920204,2.0084369925480122e-77
FZ,Fp2,176.3589323406374,6.72073831300523e-77
C3,FZ,174.4036159505421,1.0267405679859943e-39
F8,T4,164.30572226740114,1.0160337022791832e-71
F7,T4,162.30590641373263,7.355974783784024e-71
F3,Fp2,158.82627609894072,2.305720167215278e-69
T3,F4,157.50900722334097,8.497438645759414e-69
T6,F4,156.9926036869385,1.4170202166176012e-68
F8,T3,153.3509782974274,5.220592181625168e-67
P4,T5,151.24453566791766,4.2063812691418847e-66
CZ,F3,148.09242011708338,5.384185631554688e-34
T6,FZ,146.89031025756083,3.143876680949841e-64
F3,Fp1,146.74105740052917,3.644984541137512e-64
T6,T4,143.00100130583132,6.904983197948884e-33
F3,T3,139.9582793917066,3.0286961095797472e-61
T5,F4,139.4512143816896,5.0068507279384804e-61
F7,T3,139.36344122203155,5.462037875465885e-61
T5,T4,136.0158689457818,2.2911679906629833e-31
T3,FZ,135.3912605369258,2.8038963448969836e-59
F4,T3,135.28473091159364,3.1162984306289917e-59
F3,CZ,134.2336580664442,8.836917949810454e-59
F4,F7,131.22286601454798,1.750294530875226e-57
F8,Fp1,131.13376266717765,1.912024601032724e-57
P4,P3,130.34852266174454,4.1663354603974913e-57
T5,P3,129.45918951546702,1.0066429925793886e-56
T4,P4,126.44939008253829,1.9936185537275525e-55
PZ,P3,125.67595644659171,4.102432977107542e-29
P4,PZ,125.38057881891234,5.7569929185177526e-55
Fp2,F4,125.19226813754554,6.939727771384173e-55
T4,F4,123.8551380118528,2.6155625020800037e-54
P3,F4,123.82023060434237,2.707751068772238e-54
T6,CZ,123.62072435344777,3.3005644334032947e-54
T6,F3,123.40411600804305,4.092034072415238e-54
P3,T3,123.29588882922806,4.5559824475566e-54
C3,T3,121.18842851345535,3.688920069484669e-53
F3,C4,120.17889071502698,1.0047383419292486e-52
T5,T3,119.74095756813685,1.5517768402024953e-52
C4,P4,116.28350422623565,4.8015978129834813e-51
FZ,Fp1,115.7750312931759,7.954677073538997e-51
F7,F8,115.63560240990661,9.135680496520415e-51
T3,T4,115.58998622064404,9.558937203898416e-51
Fp2,F3,112.74625077484238,1.6094454984892282e-49
T3,F7,111.90584239833159,3.707797221652687e-49
T4,O1,111.35611441442951,6.400373018863388e-49
F4,F8,111.2956940940881,6.796168589517778e-49
T4,FZ,109.70233232774305,3.3075400605901355e-48
T4,F7,108.90417181223086,7.307845287053794e-48
PZ,P4,108.78067905622352,8.261503894971612e-48
C4,C3,105.0809200768388,3.2596770535090425e-46
T5,FZ,103.78497760075892,1.1812578473589136e-45
O1,F4,103.03266820025875,2.4944224066975583e-45
C4,T3,101.15227171634675,1.615983390186718e-44
T6,F7,100.5766664935079,2.863206698775881e-44
F7,Fp1,100.23545226919462,4.0189797890214516e-44
F3,T4,99.53425302055739,8.067761822916277e-44
PZ,F4,98.3236673027051,2.6870286140511896e-43
C4,CZ,98.08550585728192,3.4046571397932974e-43
F4,FZ,97.52323202842415,5.9536302367932524e-43
T4,T3,95.84501134637333,3.156785890962761e-42
PZ,T3,95.63091431161573,3.9054682585377875e-42
P3,PZ,95.09794544890262,6.633868008386809e-42
C3,T4,94.60105209461966,1.0871584842773192e-41
FZ,F3,92.90844436462639,5.849245254434464e-41
F8,F7,92.59444409791205,7.992493207415163e-41
Fp2,CZ,92.14637349239983,1.2478421433030334e-40
C4,F4,92.13644831679233,1.2602172254432624e-40
F4,CZ,91.76453676397112,1.8240696386821624e-40
T5,T6,91.56910036566964,2.2153112546878337e-40
PZ,F3,88.47048941935462,4.8262946602563706e-39
F4,F3,87.01721369021838,2.0479548305684977e-38
P3,T4,86.83170975530047,1.2548555796164475e-20
F4,C3,84.95269535552482,1.5963774289505167e-37
P4,T4,84.75867475708013,1.9362125577137576e-37
F3,C3,84.40120342639997,2.7630218443672296e-37
T5,F3,83.79561871055265,5.046740438883986e-37
F4,T4,82.87843317060262,1.256826035981041e-36
O1,F3,82.40335751432713,2.0162179717306472e-36
Fp1,T3,80.05319700785117,2.0895011362087477e-35
O1,FZ,79.24977542041903,4.6476711788232424e-35
PZ,T4,79.1608512597381,5.07766902022151e-35
Fp2,T3,78.01094551029868,1.5944860226450444e-34
O1,T4,77.69235940627411,1.2636359063689607e-18
C3,CZ,76.91099470829349,4.764542610899671e-34
C3,C4,76.86210146901936,5.002115400972192e-34
P3,FZ,76.15487563032546,1.0111974386003e-33
T4,F3,75.53538107876207,1.8733089864007693e-33
C4,O1,75.18317304373119,2.659831957057631e-33
P3,F3,74.66101424641467,4.472678889512952e-33
Fp2,FZ,73.69965813821068,1.1645340431671523e-32
T5,F8,73.19288032084486,1.9285774878727743e-32
FZ,T3,72.80688947569955,2.832104456614574e-32
Fp1,Fp2,72.06458795548609,5.929710690101719e-32
C3,F4,71.58788785051759,9.530952455467262e-32
CZ,O1,71.31911568462759,1.245499320447695e-31
O2,F4,70.74387381887986,2.2083272782122623e-31
T6,Fp2,70.2218559243705,3.7134569693024674e-31
T6,F8,69.52920321187426,7.400913828872283e-31
P4,T3,69.30186660902841,9.28089363617365e-31
F4,C4,67.0961791032854,8.345283351177496e-30
Fp1,CZ,66.85136291909838,1.0649276740834718e-29
T5,F7,66.60834732870674,1.3565069009769176e-29
T6,T3,66.30080082953927,1.8426174334004242e-29
F7,CZ,66.12423705041049,2.1968467571309258e-29
PZ,CZ,66.04935489199481,2.3669379331427846e-29
F8,CZ,65.49175145036156,4.124386652150021e-29
T4,O2,65.48331777857346,4.159174447982119e-29
T3,O2,65.00587403510234,6.691385269539194e-29
Fp1,FZ,64.75047768476291,8.629491864200858e-29
P3,CZ,64.1098531999865,1.6333858685975242e-28
T3,F3,63.67115542623249,2.5284529977667504e-28
Fp2,T4,63.309305068495924,3.6256279504511497e-28
P4,F4,63.26426119869447,3.7920010697221803e-28
T3,T6,62.74065960044398,6.388128474901042e-28
Fp1,F3,62.01577388190405,1.3151178242598024e-27
FZ,CZ,62.00489195919533,1.329451117853813e-27
P4,F3,61.96906128045743,1.3777593680849795e-27
O1,P4,61.535123637324496,2.122781945708913e-27
P3,T6,60.990547744312984,3.651820167201974e-27
PZ,F7,60.27737095914788,7.431364210697423e-27
PZ,FZ,60.094692808945226,8.914711230855754e-27
T3,C3,59.31570401280549,1.9371346237990774e-26
O1,P3,59.2722187372236,2.0229049408653586e-26
Fp1,P4,57.1502821291645,1.6756352681113403e-25
T3,O1,56.84450290956746,2.272512207475707e-25
Fp1,O1,56.73650720865358,2.5307091796362475e-25
F3,T6,56.6420851509269,2.7803816231589867e-25
T3,F8,56.578015881409875,2.963679370517109e-25
T5,Fp2,56.108186377711625,4.733249662144639e-25
T6,Fp1,56.08290379286256,4.854015177096625e-25
FZ,F7,55.445960443675084,9.157167327285669e-25
CZ,PZ,55.39540012926014,1.0104259266837536e-13
T5,CZ,54.9190621003839,1.5481160887913342e-24
T4,C4,54.863491315090705,1.6362704133181885e-24
CZ,O2,54.520644239831576,2.3027369375004187e-24
FZ,F8,54.24946936859315,3.0172760084166974e-24
PZ,T6,54.1990832788394,3.1726598658199654e-24
CZ,P4,52.95261043081922,1.0988863807515188e-23
Fp1,T6,52.65122296674559,1.483928837713939e-23
F3,O2,52.612828835672055,1.541816721972515e-23
C3,Fp2,52.46138723994151,4.4868320716561376e-13
O1,CZ,51.60441731298859,4.2126786214863236e-23
O1,F7,51.13573956968804,6.721263640956373e-23
T4,PZ,50.95285832272721,8.065338755712298e-23
T4,T6,50.92517563891334,8.290999469836354e-23
C4,F3,50.71064424945233,1.09293387053746e-12
F7,F3,50.51185890204633,1.251816690336647e-22
T4,T5,50.42669709389894,1.362729691784616e-22
T3,Fp2,50.173937228537866,1.7532257528357785e-22
O2,FZ,49.57343890076895,3.1902181473492224e-22
F7,T6,49.52705549476548,3.341198159751201e-22
P4,O1,49.36357788878907,3.932609991983025e-22
F8,C4,49.286593212021884,4.246314160789282e-22
Fp2,O1,48.78991933652017,6.967157308313378e-22
C4,O2,48.64152570595118,8.078048973717515e-22
O2,T4,48.505111271961354,3.357868533206522e-12
