Channel,Out-degree,In-degree,Total_degree
Fp2,18,18,36
F3,18,18,36
F4,18,18,36
FZ,18,18,36
C3,18,18,36
F7,18,18,36
P4,18,18,36
T6,18,18,36
T5,18,18,36
T4,18,18,36
T3,18,18,36
CZ,17,18,35
O1,18,17,35
C4,18,17,35
P3,18,17,35
PZ,18,17,35
F8,17,18,35
Fp1,17,17,34
O2,16,18,34
