Channel,Participation_Coefficient
Fp1,0.2387663133869643
Fp2,0.23141616542567145
F3,0.2632283067372556
F4,0.25502497305359784
C3,0.40342027478089704
C4,0.3822256434170328
P3,0.49937492983337983
P4,0.473804969302863
O1,0.3461221752667435
O2,0.35779962021012623
F7,0.2381964905555699
F8,0.2510307174175255
T3,0.33967611166222456
T4,0.39110697071617373
T5,0.4667852974095392
T6,0.48182589163316725
FZ,0.2481547488123862
CZ,0.39039412392578
PZ,0.4670361323613862
25+,0.5694268099424786
26+,0.5560479380119103
27+,0.6478555961501378
