Channel,Out,In,Total
Fp1,18,18,36
Fp2,18,18,36
F3,18,18,36
F7,18,18,36
P4,18,18,36
PZ,18,18,36
T4,18,18,36
CZ,18,18,36
P3,17,18,35
F4,18,17,35
C3,18,17,35
FZ,18,17,35
O1,17,18,35
C4,18,17,35
F8,18,17,35
T6,18,17,35
T5,17,18,35
T3,16,18,34
O2,16,17,33
