source,target,frequency,band
Fp1,Fp2,213,delta
Fp1,F3,213,delta
Fp1,F4,213,delta
PZ,T5,213,delta
PZ,T3,213,delta
Fp1,P4,213,delta
T6,CZ,213,delta
Fp1,O2,213,delta
C3,F3,213,delta
F4,T6,213,delta
F4,O2,213,delta
F4,O1,213,delta
T6,O1,213,delta
FZ,F4,213,delta
P3,F7,213,delta
P4,Fp1,213,delta
T3,F8,213,delta
T3,O1,213,delta
C4,O1,213,delta
C3,O2,213,delta
T4,Fp1,213,delta
C4,F4,213,delta
T4,Fp2,213,delta
T5,C4,213,delta
F3,FZ,213,delta
T5,C3,213,delta
T4,O1,213,delta
F3,F8,213,delta
F4,C4,213,delta
F4,Fp2,213,delta
F4,Fp1,213,delta
F3,PZ,213,delta
PZ,O1,213,delta
CZ,P3,213,delta
F3,Fp2,213,delta
CZ,F3,213,delta
PZ,C3,213,delta
O1,T4,213,delta
O1,F4,213,delta
P4,FZ,213,delta
O2,F3,213,delta
O2,FZ,213,delta
O2,C3,213,delta
Fp2,Fp1,213,delta
Fp2,O2,213,delta
Fp2,F4,213,delta
Fp2,CZ,213,delta
F3,P4,213,delta
F8,T3,213,delta
T3,Fp1,213,delta
P4,O2,213,delta
P3,C4,213,delta
F8,F3,213,delta
P3,O1,213,delta
P3,T4,213,delta
F8,C4,213,delta
F7,O2,213,delta
F7,C4,213,delta
P4,O1,213,delta
O2,F4,213,delta
F7,C3,213,delta
F7,F4,213,delta
PZ,FZ,212,delta
PZ,T4,212,delta
F3,CZ,212,delta
F4,F7,212,delta
C3,Fp1,212,delta
C3,F4,212,delta
F4,FZ,212,delta
T6,T3,212,delta
T6,T5,212,delta
T6,C4,212,delta
FZ,C4,212,delta
T6,O2,212,delta
FZ,P4,212,delta
PZ,O2,212,delta
FZ,O2,212,delta
FZ,T3,212,delta
FZ,Fp2,212,delta
FZ,F3,212,delta
T3,T6,212,delta
T3,CZ,212,delta
C3,O1,212,delta
C3,F8,212,delta
C3,C4,212,delta
C3,T6,212,delta
C3,CZ,212,delta
C4,F3,212,delta
C4,T6,212,delta
C4,CZ,212,delta
C4,O2,212,delta
F3,T6,212,delta
C4,T3,212,delta
T4,CZ,212,delta
F3,O2,212,delta
F3,T4,212,delta
F7,T5,212,delta
F8,F4,212,delta
P3,O2,212,delta
P4,T3,212,delta
P4,F3,212,delta
P4,F4,212,delta
P4,P3,212,delta
P3,F8,212,delta
P4,T6,212,delta
T3,Fp2,212,delta
F8,CZ,212,delta
T3,C4,212,delta
F8,T6,212,delta
F8,O1,212,delta
F8,FZ,212,delta
P4,F8,212,delta
T4,F4,212,delta
T4,F3,212,delta
T3,F4,212,delta
T5,T6,212,delta
F3,T3,212,delta
F7,PZ,212,delta
O2,O1,212,delta
O1,CZ,212,delta
O2,P4,212,delta
O2,CZ,212,delta
O2,T3,212,delta
O2,T4,212,delta
F7,O1,212,delta
F7,P4,212,delta
F7,CZ,212,delta
F7,T6,212,delta
PZ,P4,212,delta
PZ,F4,212,delta
O1,Fp1,212,delta
O1,Fp2,212,delta
P4,CZ,212,delta
O1,FZ,212,delta
O2,Fp2,212,delta
O2,Fp1,212,delta
O2,F7,212,delta
FZ,PZ,212,delta
