source,target,frequency,band
PZ,CZ,210,alpha
Fp1,Fp2,209,alpha
Fp1,F3,209,alpha
Fp1,F4,209,alpha
Fp1,C4,209,alpha
Fp1,P3,209,alpha
Fp1,O1,209,alpha
Fp1,F7,209,alpha
Fp1,F8,209,alpha
Fp2,F4,209,alpha
Fp2,P3,209,alpha
F3,C3,209,alpha
F3,O2,209,alpha
F3,F7,209,alpha
F3,T5,209,alpha
F4,P4,209,alpha
F4,F8,209,alpha
F4,T3,209,alpha
C3,F8,209,alpha
C3,PZ,209,alpha
C4,F3,209,alpha
C4,P3,209,alpha
C4,T3,209,alpha
C4,T4,209,alpha
C4,CZ,209,alpha
P3,FZ,209,alpha
P4,F4,209,alpha
P4,T4,209,alpha
P4,FZ,209,alpha
O1,C4,209,alpha
O1,T5,209,alpha
O1,PZ,209,alpha
O2,C3,209,alpha
F7,FZ,209,alpha
F8,T6,209,alpha
F8,CZ,209,alpha
T3,F3,209,alpha
T3,F4,209,alpha
T3,PZ,209,alpha
T4,FZ,209,alpha
T4,PZ,209,alpha
T5,Fp2,209,alpha
T5,F3,209,alpha
T5,C3,209,alpha
T5,F8,209,alpha
T5,CZ,209,alpha
T6,F3,209,alpha
T6,T5,209,alpha
FZ,F4,209,alpha
FZ,P4,209,alpha
FZ,O1,209,alpha
FZ,T5,209,alpha
CZ,Fp1,209,alpha
CZ,Fp2,209,alpha
CZ,F8,209,alpha
PZ,C3,209,alpha
Fp1,T4,208,alpha
Fp1,PZ,208,alpha
Fp2,O1,208,alpha
Fp2,PZ,208,alpha
F4,F3,208,alpha
F4,P3,208,alpha
C3,Fp1,208,alpha
C3,C4,208,alpha
C3,T4,208,alpha
C3,T5,208,alpha
C4,FZ,208,alpha
P3,T5,208,alpha
P3,PZ,208,alpha
P4,C3,208,alpha
P4,O2,208,alpha
P4,PZ,208,alpha
O1,F3,208,alpha
O1,C3,208,alpha
O2,F3,208,alpha
O2,F4,208,alpha
O2,P4,208,alpha
O2,T4,208,alpha
F7,F3,208,alpha
F7,P3,208,alpha
F7,O2,208,alpha
F7,T5,208,alpha
F8,Fp1,208,alpha
F8,F4,208,alpha
F8,C4,208,alpha
F8,F7,208,alpha
F8,FZ,208,alpha
F8,PZ,208,alpha
T3,Fp1,208,alpha
T3,C4,208,alpha
T4,Fp2,208,alpha
T4,P4,208,alpha
T4,T5,208,alpha
T4,T6,208,alpha
T5,Fp1,208,alpha
T5,O2,208,alpha
T5,FZ,208,alpha
T6,P3,208,alpha
T6,T3,208,alpha
FZ,CZ,208,alpha
CZ,C4,208,alpha
CZ,O1,208,alpha
CZ,T4,208,alpha
PZ,P4,208,alpha
PZ,O2,208,alpha
PZ,T6,208,alpha
Fp1,O2,207,alpha
Fp1,CZ,207,alpha
Fp2,C4,207,alpha
Fp2,T4,207,alpha
Fp2,T6,207,alpha
F3,T3,207,alpha
F4,FZ,207,alpha
C3,Fp2,207,alpha
C3,O1,207,alpha
C3,T3,207,alpha
C4,C3,207,alpha
C4,O1,207,alpha
C4,F7,207,alpha
C4,T5,207,alpha
P3,F7,207,alpha
P3,T4,207,alpha
P4,F7,207,alpha
P4,T3,207,alpha
P4,T6,207,alpha
O1,F8,207,alpha
O2,Fp1,207,alpha
O2,O1,207,alpha
O2,T3,207,alpha
F7,T4,207,alpha
F8,O1,207,alpha
F8,O2,207,alpha
F8,T5,207,alpha
T3,C3,207,alpha
T3,T4,207,alpha
T3,T5,207,alpha
T4,Fp1,207,alpha
T4,F4,207,alpha
T4,P3,207,alpha
T5,F4,207,alpha
T5,P3,207,alpha
T6,Fp1,207,alpha
T6,Fp2,207,alpha
T6,O2,207,alpha
T6,FZ,207,alpha
T6,PZ,207,alpha
FZ,PZ,207,alpha
CZ,FZ,207,alpha
PZ,Fp2,207,alpha
PZ,F3,207,alpha
PZ,O1,207,alpha
PZ,F7,207,alpha
PZ,T4,207,alpha
Fp1,P4,206,alpha
Fp2,P4,206,alpha
F3,PZ,206,alpha
C3,F3,206,alpha
C3,O2,206,alpha
C3,CZ,206,alpha
C4,F8,206,alpha
P3,F8,206,alpha
P3,T6,206,alpha
P4,Fp1,206,alpha
O1,F4,206,alpha
O1,T3,206,alpha
O1,FZ,206,alpha
O1,CZ,206,alpha
O2,F8,206,alpha
F7,C3,206,alpha
F7,PZ,206,alpha
T3,O1,206,alpha
T3,T6,206,alpha
T3,CZ,206,alpha
T4,F7,206,alpha
T5,T6,206,alpha
T6,P4,206,alpha
FZ,T4,206,alpha
FZ,T6,206,alpha
CZ,T5,206,alpha
PZ,F4,206,alpha
PZ,P3,206,alpha
T6,CZ,206,alpha
Fp1,FZ,205,alpha
F4,O1,205,alpha
F4,T6,205,alpha
C3,F7,205,alpha
P3,F3,205,alpha
O1,Fp1,205,alpha
O1,Fp2,205,alpha
O1,O2,205,alpha
O1,T6,205,alpha
O2,Fp2,205,alpha
O2,T5,205,alpha
O2,FZ,205,alpha
O2,CZ,205,alpha
F8,P3,205,alpha
T4,O1,205,alpha
T5,C4,205,alpha
T6,T4,205,alpha
O1,F7,205,alpha
Fp2,O2,204,alpha
F3,O1,204,alpha
F4,O2,204,alpha
P3,Fp2,204,alpha
P3,F4,204,alpha
P3,P4,204,alpha
P3,T3,204,alpha
P4,Fp2,204,alpha
P4,T5,204,alpha
O1,T4,204,alpha
T3,P3,204,alpha
T3,O2,204,alpha
T5,P4,204,alpha
T6,F4,204,alpha
FZ,P3,204,alpha
FZ,O2,204,alpha
PZ,FZ,204,alpha
F7,O1,204,alpha
P3,Fp1,203,alpha
P3,O2,203,alpha
O2,T6,203,alpha
T5,T4,203,alpha
T6,O1,203,alpha
CZ,O2,203,alpha
PZ,F8,203,alpha
PZ,T5,203,alpha
P4,O1,202,alpha
O1,P4,202,alpha
PZ,Fp1,202,alpha
O2,C4,201,alpha
O2,P3,201,alpha
F4,T5,199,alpha
C4,O2,199,alpha
Fp2,FZ,213,beta
Fp2,F3,212,beta
T4,F4,212,beta
Fp1,F3,211,beta
Fp1,FZ,211,beta
FZ,Fp2,211,beta
Fp1,C3,210,beta
Fp1,C4,210,beta
Fp2,F4,210,beta
Fp2,C4,210,beta
T4,F8,209,beta
T6,F4,209,beta
FZ,F4,209,beta
PZ,F4,209,beta
P4,CZ,208,beta
F8,CZ,208,beta
T4,C4,208,beta
F4,Fp2,207,beta
T3,F4,207,beta
PZ,CZ,207,beta
Fp1,F4,206,beta
Fp2,C3,206,beta
P3,F4,206,beta
FZ,Fp1,206,beta
CZ,PZ,206,beta
T4,CZ,206,beta
Fp2,CZ,205,beta
F3,F4,205,beta
O2,F4,205,beta
O2,CZ,205,beta
F7,CZ,205,beta
T5,CZ,205,beta
FZ,CZ,205,beta
Fp1,CZ,204,beta
Fp2,O2,204,beta
T5,F4,204,beta
T6,CZ,204,beta
CZ,C3,204,beta
Fp1,PZ,203,beta
F4,CZ,203,beta
C4,F4,203,beta
O2,F7,203,beta
T3,CZ,203,beta
F3,Fp1,203,beta
T4,C3,203,beta
T4,FZ,203,beta
Fp1,Fp2,203,beta
Fp2,PZ,202,beta
F3,CZ,202,beta
F4,FZ,202,beta
P3,CZ,202,beta
O2,F8,202,beta
F7,F4,202,beta
T6,FZ,202,beta
FZ,C3,202,beta
F3,Fp2,202,beta
F3,C4,201,beta
C3,F4,201,beta
T3,F8,201,beta
T4,F7,201,beta
T5,F8,201,beta
T6,C4,201,beta
T6,F8,201,beta
F3,C3,200,beta
O1,CZ,200,beta
T4,F3,200,beta
Fp1,O2,199,beta
F4,Fp1,199,beta
P3,F8,199,beta
P4,F4,199,beta
O1,F4,199,beta
T6,F3,199,beta
FZ,C4,199,beta
PZ,F8,199,beta
Fp1,P3,198,beta
P3,C4,198,beta
O2,C4,198,beta
T3,C4,198,beta
T3,FZ,198,beta
PZ,F7,198,beta
F4,F8,197,beta
C3,CZ,197,beta
P4,F8,197,beta
F8,Fp2,197,beta
F8,F4,197,beta
T5,C4,197,beta
T6,C3,197,beta
Fp1,T3,196,beta
Fp2,T3,196,beta
C4,CZ,196,beta
O1,F8,196,beta
F7,Fp1,196,beta
F7,FZ,196,beta
T3,T5,196,beta
T4,T3,196,beta
T6,F7,196,beta
CZ,C4,196,beta
PZ,F3,196,beta
PZ,C4,196,beta
CZ,Fp2,196,beta
Fp2,Fp1,196,beta
Fp2,P3,195,beta
Fp2,P4,195,beta
F3,P4,195,beta
O2,FZ,195,beta
F8,Fp1,195,beta
F8,C3,195,beta
F8,C4,195,beta
F8,FZ,195,beta
T5,C3,195,beta
T5,F7,195,beta
FZ,P4,195,beta
CZ,F3,195,beta
CZ,FZ,195,beta
Fp1,P4,194,beta
F3,F8,194,beta
O2,F3,194,beta
O2,C3,194,beta
F7,C4,194,beta
T3,F3,194,beta
T3,C3,194,beta
T6,T3,194,beta
PZ,C3,194,beta
CZ,Fp1,194,beta
C4,F7,194,beta
F3,O2,193,beta
F3,F7,193,beta
P4,C4,193,beta
O1,C4,193,beta
F7,Fp2,193,beta
T5,FZ,193,beta
FZ,O2,193,beta
FZ,F8,193,beta
FZ,PZ,193,beta
F4,P4,193,beta
P3,T5,193,beta
F3,FZ,192,beta
F3,PZ,192,beta
C3,F8,192,beta
F8,P4,192,beta
T4,O1,192,beta
C3,C4,191,beta
C3,FZ,191,beta
C4,T4,191,beta
P3,C3,191,beta
P4,F7,191,beta
P4,T6,191,beta
P4,FZ,191,beta
F7,F3,191,beta
T3,F7,191,beta
T6,P4,191,beta
T3,P4,191,beta
F4,O2,190,beta
C4,F8,190,beta
P4,C3,190,beta
F7,C3,190,beta
F7,PZ,190,beta
F8,O2,190,beta
F8,PZ,190,beta
T6,O2,190,beta
T6,PZ,190,beta
FZ,F3,190,beta
CZ,P3,190,beta
F4,F3,189,beta
F4,C4,189,beta
C3,T5,189,beta
P3,F3,189,beta
F7,O2,189,beta
CZ,T5,189,beta
C3,Fp1,189,beta
T5,T6,189,beta
CZ,T6,189,beta
Fp2,T4,189,beta
Fp1,F7,188,beta
F3,P3,188,beta
P3,FZ,188,beta
O1,FZ,188,beta
T5,F3,188,beta
FZ,T3,188,beta
CZ,P4,188,beta
PZ,Fp2,188,beta
T5,P3,188,beta
F4,F7,188,beta
T6,T5,188,beta
FZ,T4,188,beta
Fp1,O1,187,beta
Fp1,T6,187,beta
Fp2,F7,187,beta
F3,T6,187,beta
P4,F3,187,beta
F8,T4,187,beta
T4,PZ,187,beta
PZ,FZ,187,beta
C3,F3,187,beta
T4,P3,187,beta
Fp2,T6,187,beta
F3,T3,186,beta
C4,Fp2,186,beta
C4,FZ,186,beta
C4,PZ,186,beta
O1,P4,186,beta
F8,F3,186,beta
T3,Fp2,186,beta
T5,P4,186,beta
T6,Fp2,186,beta
FZ,F7,186,beta
FZ,T5,186,beta
CZ,F4,186,beta
PZ,Fp1,186,beta
T5,PZ,186,beta
Fp1,F8,185,beta
F4,C3,185,beta
F7,P4,185,beta
F7,T5,185,beta
F8,P3,185,beta
T6,P3,185,beta
C4,O2,185,beta
Fp1,T5,184,beta
Fp2,F8,184,beta
P3,PZ,184,beta
O1,F7,184,beta
O1,PZ,184,beta
CZ,O1,184,beta
C3,Fp2,184,beta
Fp1,T4,184,beta
CZ,T4,184,beta
F3,T5,183,beta
F4,T4,183,beta
F4,PZ,183,beta
C3,F7,183,beta
P4,T5,183,beta
O2,Fp1,183,beta
O2,Fp2,183,beta
F8,T5,183,beta
T4,O2,183,beta
PZ,P3,183,beta
F8,F7,183,beta
T3,T6,183,beta
T6,O1,183,beta
FZ,T6,183,beta
PZ,T5,183,beta
Fp2,T5,182,beta
C4,C3,182,beta
C4,T5,182,beta
FZ,O1,182,beta
CZ,F8,182,beta
C4,P3,182,beta
C4,P4,182,beta
Fp2,O1,181,beta
C3,PZ,181,beta
C4,F3,181,beta
O1,C3,181,beta
F7,F8,181,beta
T3,PZ,181,beta
T4,T5,181,beta
T5,T4,181,beta
PZ,P4,181,beta
PZ,T6,181,beta
C3,P3,180,beta
C4,Fp1,180,beta
P4,PZ,180,beta
O1,F3,180,beta
F8,T3,180,beta
T4,T6,180,beta
T5,O2,180,beta
FZ,P3,180,beta
PZ,O1,180,beta
O2,O1,180,beta
CZ,F7,180,beta
PZ,O2,180,beta
F3,T4,180,beta
F3,O1,179,beta
P4,P3,179,beta
O1,T5,179,beta
O2,P4,179,beta
CZ,O2,179,beta
T4,Fp2,179,beta
F4,T5,178,beta
C3,O2,178,beta
F7,T4,178,beta
F8,T6,178,beta
T4,P4,178,beta
P3,F7,178,beta
C3,P4,177,beta
C4,O1,177,beta
P3,P4,177,beta
F4,T6,177,beta
T3,T4,177,beta
P3,T4,176,beta
P4,O2,176,beta
P4,T3,176,beta
O1,O2,176,beta
O1,T4,176,beta
O2,P3,176,beta
F7,T3,176,beta
O2,T3,176,beta
O2,PZ,176,beta
F4,T3,175,beta
C3,T3,175,beta
P3,Fp2,175,beta
O2,T5,175,beta
F7,P3,175,beta
T3,O2,175,beta
T4,Fp1,175,beta
F4,P3,174,beta
P3,Fp1,174,beta
P3,O2,174,beta
P4,Fp1,174,beta
P4,O1,174,beta
T3,Fp1,174,beta
T5,O1,174,beta
T6,Fp1,174,beta
C4,T3,173,beta
C4,T6,173,beta
P4,Fp2,173,beta
O2,T6,173,beta
T5,Fp2,173,beta
PZ,T3,173,beta
PZ,T4,173,beta
O1,T3,172,beta
O1,T6,172,beta
O2,T4,172,beta
P4,T4,171,beta
T5,Fp1,171,beta
T6,T4,171,beta
F7,T6,171,beta
T5,T3,171,beta
F4,O1,170,beta
F8,O1,170,beta
T3,P3,170,beta
P3,T3,170,beta
C3,O1,169,beta
T3,O1,169,beta
O1,Fp2,168,beta
O1,P3,168,beta
F7,O1,168,beta
CZ,T3,168,beta
P3,T6,168,beta
C3,T4,167,beta
C3,T6,166,beta
P3,O1,161,beta
O1,Fp1,161,beta
Fp1,Fp2,213,delta
Fp1,F3,213,delta
Fp1,F4,213,delta
Fp1,P4,213,delta
Fp1,O2,213,delta
Fp2,Fp1,213,delta
Fp2,F4,213,delta
Fp2,O2,213,delta
Fp2,CZ,213,delta
F3,Fp2,213,delta
F3,P4,213,delta
F3,F8,213,delta
F3,FZ,213,delta
F3,PZ,213,delta
F4,Fp1,213,delta
F4,Fp2,213,delta
F4,C4,213,delta
F4,O1,213,delta
F4,O2,213,delta
F4,T6,213,delta
C3,F3,213,delta
C3,O2,213,delta
C4,F4,213,delta
C4,O1,213,delta
P3,C4,213,delta
P3,O1,213,delta
P3,F7,213,delta
P3,T4,213,delta
P4,Fp1,213,delta
P4,O1,213,delta
P4,O2,213,delta
P4,FZ,213,delta
O1,F4,213,delta
O1,T4,213,delta
O2,F3,213,delta
O2,F4,213,delta
O2,C3,213,delta
O2,FZ,213,delta
F7,F4,213,delta
F7,C3,213,delta
F7,C4,213,delta
F7,O2,213,delta
F8,F3,213,delta
F8,C4,213,delta
F8,T3,213,delta
T3,Fp1,213,delta
T3,O1,213,delta
T3,F8,213,delta
T4,Fp1,213,delta
T4,Fp2,213,delta
T4,O1,213,delta
T5,C3,213,delta
T5,C4,213,delta
T6,O1,213,delta
T6,CZ,213,delta
FZ,F4,213,delta
CZ,F3,213,delta
CZ,P3,213,delta
PZ,C3,213,delta
PZ,O1,213,delta
PZ,T3,213,delta
PZ,T5,213,delta
Fp1,T3,212,delta
Fp1,T5,212,delta
Fp1,T6,212,delta
Fp1,CZ,212,delta
Fp1,PZ,212,delta
Fp2,F3,212,delta
Fp2,C4,212,delta
Fp2,P4,212,delta
Fp2,T3,212,delta
Fp2,T6,212,delta
Fp2,FZ,212,delta
Fp2,PZ,212,delta
F3,Fp1,212,delta
F3,C3,212,delta
F3,C4,212,delta
F3,O2,212,delta
F3,T3,212,delta
F3,T4,212,delta
F3,T6,212,delta
F3,CZ,212,delta
F4,F7,212,delta
F4,FZ,212,delta
C3,Fp1,212,delta
C3,F4,212,delta
C3,C4,212,delta
C3,O1,212,delta
C3,F8,212,delta
C3,T6,212,delta
C3,CZ,212,delta
C4,F3,212,delta
C4,O2,212,delta
C4,T3,212,delta
C4,T6,212,delta
C4,CZ,212,delta
P3,O2,212,delta
P3,F8,212,delta
P4,F3,212,delta
P4,F4,212,delta
P4,P3,212,delta
P4,F8,212,delta
P4,T3,212,delta
P4,T6,212,delta
P4,CZ,212,delta
O1,Fp1,212,delta
O1,Fp2,212,delta
O1,FZ,212,delta
O1,CZ,212,delta
O2,Fp1,212,delta
O2,Fp2,212,delta
O2,P4,212,delta
O2,O1,212,delta
O2,F7,212,delta
O2,T3,212,delta
O2,T4,212,delta
O2,CZ,212,delta
F7,P4,212,delta
F7,O1,212,delta
F7,T5,212,delta
F7,T6,212,delta
F7,CZ,212,delta
F7,PZ,212,delta
F8,F4,212,delta
F8,O1,212,delta
F8,T6,212,delta
F8,FZ,212,delta
F8,CZ,212,delta
T3,Fp2,212,delta
T3,F4,212,delta
T3,C4,212,delta
T3,T6,212,delta
T3,CZ,212,delta
T4,F3,212,delta
T4,F4,212,delta
T4,CZ,212,delta
T5,T6,212,delta
T6,C4,212,delta
T6,O2,212,delta
T6,T3,212,delta
T6,T5,212,delta
FZ,Fp2,212,delta
FZ,F3,212,delta
FZ,C4,212,delta
FZ,P4,212,delta
FZ,O2,212,delta
FZ,T3,212,delta
FZ,CZ,212,delta
FZ,PZ,212,delta
CZ,Fp1,212,delta
CZ,Fp2,212,delta
CZ,C4,212,delta
CZ,T4,212,delta
CZ,FZ,212,delta
CZ,PZ,212,delta
PZ,F4,212,delta
PZ,P4,212,delta
PZ,O2,212,delta
PZ,T4,212,delta
PZ,FZ,212,delta
Fp1,O1,211,delta
Fp1,T4,211,delta
Fp2,O1,211,delta
Fp2,F7,211,delta
Fp2,T4,211,delta
F3,F4,211,delta
F4,P4,211,delta
F4,F8,211,delta
F4,T3,211,delta
F4,CZ,211,delta
F4,PZ,211,delta
C3,Fp2,211,delta
C3,P4,211,delta
C3,F7,211,delta
C3,T3,211,delta
C3,T4,211,delta
C3,FZ,211,delta
C3,PZ,211,delta
C4,Fp2,211,delta
C4,C3,211,delta
C4,F7,211,delta
C4,F8,211,delta
C4,T5,211,delta
C4,FZ,211,delta
P3,Fp1,211,delta
P3,F4,211,delta
P3,C3,211,delta
P3,T3,211,delta
P3,FZ,211,delta
P3,PZ,211,delta
P4,Fp2,211,delta
P4,T4,211,delta
P4,T5,211,delta
P4,PZ,211,delta
O1,F3,211,delta
O1,C3,211,delta
O1,F7,211,delta
O1,F8,211,delta
O1,T3,211,delta
O1,T6,211,delta
O1,PZ,211,delta
O2,F8,211,delta
O2,T6,211,delta
O2,PZ,211,delta
F7,P3,211,delta
F7,T4,211,delta
F8,Fp1,211,delta
F8,Fp2,211,delta
F8,O2,211,delta
T3,P4,211,delta
T3,O2,211,delta
T3,F7,211,delta
T3,T4,211,delta
T3,FZ,211,delta
T3,PZ,211,delta
T4,C3,211,delta
T4,C4,211,delta
T4,P3,211,delta
T4,P4,211,delta
T4,F7,211,delta
T4,F8,211,delta
T4,T3,211,delta
T4,FZ,211,delta
T4,PZ,211,delta
T5,P3,211,delta
T5,P4,211,delta
T5,O1,211,delta
T5,CZ,211,delta
T5,PZ,211,delta
T6,Fp1,211,delta
T6,Fp2,211,delta
T6,F3,211,delta
T6,C3,211,delta
T6,F7,211,delta
T6,T4,211,delta
T6,FZ,211,delta
FZ,O1,211,delta
FZ,F7,211,delta
FZ,T6,211,delta
CZ,C3,211,delta
CZ,P4,211,delta
CZ,O2,211,delta
CZ,F7,211,delta
CZ,F8,211,delta
CZ,T3,211,delta
PZ,Fp2,211,delta
PZ,F3,211,delta
PZ,C4,211,delta
PZ,F7,211,delta
PZ,T6,211,delta
PZ,CZ,211,delta
Fp1,C4,211,delta
