source,target,frequency,band
Fp1,T5,211,gamma
Fp2,T5,211,gamma
F7,F3,211,gamma
Fp2,T6,210,gamma
Fp1,C4,210,gamma
Fp1,T6,210,gamma
F3,P3,210,gamma
F3,F7,210,gamma
Fp2,F3,210,gamma
Fp2,FZ,210,gamma
FZ,Fp2,209,gamma
FZ,Fp1,209,gamma
Fp1,C3,209,gamma
Fp1,P3,208,gamma
Fp2,C4,208,gamma
Fp2,T3,208,gamma
Fp2,P3,208,gamma
Fp1,T4,208,gamma
Fp1,FZ,207,gamma
F3,C4,207,gamma
F3,Fp2,207,gamma
F3,T6,207,gamma
Fp2,T4,207,gamma
Fp1,T3,207,gamma
Fp1,F7,207,gamma
F3,T4,207,gamma
Fp2,C3,206,gamma
CZ,C3,206,gamma
Fp2,F7,206,gamma
F3,T3,206,gamma
Fp1,PZ,206,gamma
Fp1,F4,205,gamma
FZ,F4,205,gamma
F8,F4,205,gamma
FZ,F8,204,gamma
P3,T5,204,gamma
Fp1,O1,204,gamma
Fp1,F3,204,gamma
F8,FZ,204,gamma
CZ,FZ,204,gamma
F3,F4,204,gamma
Fp2,F4,203,gamma
CZ,F3,203,gamma
T4,F8,203,gamma
F3,T5,203,gamma
C3,T5,203,gamma
T4,T5,203,gamma
Fp2,O1,203,gamma
Fp2,O2,202,gamma
F4,F8,202,gamma
F3,F8,202,gamma
Fp1,O2,201,gamma
FZ,F7,201,gamma
F3,C3,201,gamma
T6,C4,201,gamma
Fp2,PZ,201,gamma
F3,FZ,201,gamma
F3,PZ,201,gamma
C4,F8,200,gamma
F7,FZ,200,gamma
T6,T5,200,gamma
CZ,P3,200,gamma
T5,F7,200,gamma
FZ,O2,200,gamma
F3,O1,200,gamma
F4,FZ,199,gamma
Fp1,F8,199,gamma
F4,Fp2,199,gamma
F3,O2,199,gamma
O2,F8,199,gamma
T3,F8,199,gamma
CZ,PZ,199,gamma
T6,F8,199,gamma
F3,P4,198,gamma
P3,F7,198,gamma
Fp1,P4,198,gamma
Fp1,Fp2,198,gamma
T6,P4,198,gamma
F3,Fp1,198,gamma
CZ,Fp2,198,gamma
C3,T6,198,gamma
PZ,F7,198,gamma
Fp2,F8,198,gamma
T3,F7,198,gamma
Fp2,P4,197,gamma
C3,F7,197,gamma
C4,T5,197,gamma
T5,F8,197,gamma
F8,Fp2,197,gamma
P3,T3,197,gamma
T6,F4,197,gamma
CZ,C4,197,gamma
C3,T3,196,gamma
T4,P4,196,gamma
Fp2,Fp1,196,gamma
C3,PZ,196,gamma
P3,T4,196,gamma
FZ,T6,196,gamma
C3,F8,196,gamma
F8,F3,195,gamma
FZ,O1,195,gamma
T5,T4,195,gamma
CZ,F7,194,gamma
P3,F8,194,gamma
CZ,Fp1,194,gamma
F4,Fp1,194,gamma
FZ,P4,194,gamma
PZ,F8,194,gamma
T4,F7,194,gamma
FZ,T4,193,gamma
C3,O1,193,gamma
T3,T5,193,gamma
O2,F7,193,gamma
O1,F8,193,gamma
FZ,T5,193,gamma
F4,F3,193,gamma
CZ,F4,193,gamma
C3,T4,193,gamma
FZ,T3,192,gamma
F7,Fp2,192,gamma
FZ,F3,192,gamma
C4,F7,191,gamma
FZ,P3,191,gamma
T4,O1,191,gamma
P3,FZ,191,gamma
O2,P4,191,gamma
F8,Fp1,191,gamma
P3,T6,191,gamma
T6,F7,190,gamma
C4,T6,190,gamma
CZ,T3,190,gamma
C3,F3,190,gamma
FZ,PZ,190,gamma
T6,T4,190,gamma
T4,F4,190,gamma
CZ,F8,189,gamma
C4,P4,189,gamma
T4,O2,189,gamma
T5,T6,189,gamma
F7,F4,189,gamma
F7,T5,189,gamma
T3,T4,189,gamma
O2,C4,188,gamma
O2,T4,188,gamma
F4,F7,188,gamma
PZ,T4,188,gamma
PZ,F4,188,gamma
C4,Fp2,188,gamma
T4,T6,188,gamma
O1,T4,188,gamma
P3,F3,188,gamma
T6,T3,188,gamma
O2,F4,187,gamma
T5,P4,187,gamma
C3,FZ,187,gamma
CZ,T4,187,gamma
C3,F4,187,gamma
FZ,C4,187,gamma
F8,C4,187,gamma
T3,P4,187,gamma
T5,C4,186,gamma
C4,Fp1,186,gamma
C3,C4,186,gamma
PZ,T5,186,gamma
C4,O2,186,gamma
FZ,C3,186,gamma
F8,T4,186,gamma
F8,F7,186,gamma
PZ,CZ,185,gamma
T3,T6,185,gamma
O2,T3,185,gamma
O1,F7,185,gamma
T3,O1,185,gamma
T6,C3,185,gamma
T4,C4,185,gamma
P3,F4,185,gamma
T5,PZ,185,gamma
PZ,P4,185,gamma
P3,C4,185,gamma
F7,CZ,184,gamma
F4,T5,184,gamma
T6,FZ,184,gamma
O1,C4,184,gamma
T6,PZ,183,gamma
P3,PZ,183,gamma
O1,P4,183,gamma
T5,T3,183,gamma
F4,P4,183,gamma
F7,O1,183,gamma
O2,FZ,183,gamma
F7,C3,183,gamma
F7,F8,183,gamma
O2,T6,182,gamma
F7,P4,182,gamma
F8,C3,182,gamma
T4,T3,182,gamma
C4,F4,182,gamma
T4,PZ,182,gamma
C3,P4,182,gamma
T5,F4,182,gamma
C3,O2,182,gamma
PZ,Fp1,182,gamma
PZ,T3,181,gamma
CZ,T6,181,gamma
T6,CZ,181,gamma
P3,O2,181,gamma
T6,P3,181,gamma
F7,PZ,181,gamma
F7,Fp1,181,gamma
O1,F4,181,gamma
T5,O1,181,gamma
F8,T3,181,gamma
T3,PZ,181,gamma
T6,F3,181,gamma
F4,O2,181,gamma
PZ,Fp2,180,gamma
C4,O1,180,gamma
F4,CZ,180,gamma
F8,PZ,180,gamma
O1,T5,180,gamma
P3,O1,180,gamma
T3,FZ,180,gamma
F8,T5,180,gamma
F7,P3,180,gamma
T3,O2,180,gamma
T3,P3,180,gamma
CZ,P4,180,gamma
T3,F4,179,gamma
T6,O2,179,gamma
F8,P3,179,gamma
F7,C4,179,gamma
O2,CZ,179,gamma
Fp2,CZ,179,gamma
F8,O2,179,gamma
P4,C4,179,gamma
P3,CZ,179,gamma
P3,P4,179,gamma
C3,CZ,179,gamma
F7,T3,179,gamma
C3,P3,178,gamma
T6,Fp2,178,gamma
F4,C3,178,gamma
F8,P4,178,gamma
O2,T5,178,gamma
O2,O1,178,gamma
P4,CZ,178,gamma
PZ,C4,178,gamma
T6,O1,177,gamma
F3,CZ,177,gamma
O2,F3,177,gamma
C3,Fp1,177,gamma
O1,T3,177,gamma
T4,FZ,177,gamma
C3,Fp2,177,gamma
F8,CZ,177,gamma
C4,T3,176,gamma
C4,PZ,176,gamma
P4,F8,176,gamma
O1,PZ,176,gamma
P4,F3,176,gamma
F4,T6,176,gamma
PZ,P3,176,gamma
F8,T6,176,gamma
Fp1,CZ,176,gamma
C4,T4,176,gamma
CZ,T5,176,gamma
T4,P3,176,gamma
T3,Fp2,176,gamma
F7,T6,175,gamma
F8,O1,175,gamma
F7,O2,175,gamma
T3,F3,175,gamma
F7,T4,175,gamma
FZ,CZ,175,gamma
PZ,F3,175,gamma
P4,F4,175,gamma
P4,F7,175,gamma
T3,C4,175,gamma
O2,P3,174,gamma
O2,Fp2,174,gamma
O2,Fp1,174,gamma
P4,T4,174,gamma
O1,Fp1,173,gamma
O1,CZ,173,gamma
O1,FZ,173,gamma
O1,O2,173,gamma
C4,F3,173,gamma
T4,Fp1,173,gamma
O2,PZ,173,gamma
PZ,C3,173,gamma
T5,CZ,173,gamma
F4,P3,173,gamma
T4,Fp2,173,gamma
P4,O1,173,gamma
P3,Fp1,173,gamma
F4,C4,173,gamma
PZ,O2,172,gamma
F4,T4,172,gamma
P4,O2,172,gamma
T6,Fp1,172,gamma
C4,FZ,172,gamma
P4,PZ,172,gamma
O2,C3,172,gamma
F4,O1,172,gamma
P3,C3,172,gamma
T4,CZ,172,gamma
T5,FZ,172,gamma
O1,F3,171,gamma
PZ,T6,171,gamma
PZ,FZ,171,gamma
T5,P3,171,gamma
T5,C3,171,gamma
F4,T3,171,gamma
T5,Fp1,170,gamma
P4,T6,170,gamma
T4,F3,170,gamma
CZ,O2,170,gamma
CZ,O1,169,gamma
T5,O2,169,gamma
F4,PZ,169,gamma
PZ,O1,169,gamma
T3,CZ,169,gamma
O1,T6,169,gamma
T3,C3,168,gamma
T3,Fp1,168,gamma
P4,Fp2,168,gamma
T4,C3,168,gamma
C4,P3,168,gamma
P4,T5,167,gamma
P4,FZ,167,gamma
P4,Fp1,166,gamma
O1,Fp2,165,gamma
C4,CZ,165,gamma
T5,Fp2,165,gamma
P4,C3,165,gamma
P4,T3,165,gamma
O1,C3,164,gamma
P3,Fp2,164,gamma
P4,P3,161,gamma
T5,F3,161,gamma
C4,C3,158,gamma
O1,P3,158,gamma
