source,target,frequency,band
T5,P3,210,theta
F4,C4,210,theta
O2,Fp2,209,theta
PZ,F3,209,theta
O2,T3,209,theta
CZ,T5,209,theta
CZ,P4,209,theta
O2,P4,209,theta
P4,FZ,209,theta
O1,F3,209,theta
O1,Fp1,209,theta
FZ,P3,209,theta
T4,C4,209,theta
Fp1,C3,209,theta
O1,F8,209,theta
PZ,T4,209,theta
FZ,T5,209,theta
T6,F7,209,theta
T6,T3,209,theta
T6,PZ,209,theta
F3,F7,209,theta
T5,P4,209,theta
T5,O1,209,theta
T6,T5,209,theta
T5,FZ,209,theta
C3,O1,209,theta
C3,F7,209,theta
C3,T3,209,theta
C3,T5,209,theta
T4,F4,209,theta
T4,P3,209,theta
C3,F8,209,theta
T3,PZ,209,theta
T3,CZ,209,theta
C3,F4,209,theta
P4,O2,209,theta
F8,C4,209,theta
P4,Fp1,209,theta
F7,Fp1,209,theta
F7,T6,209,theta
F8,Fp2,209,theta
F7,T5,209,theta
F7,Fp2,209,theta
F8,T3,209,theta
F3,FZ,209,theta
T5,C4,209,theta
T5,O2,209,theta
F4,T5,209,theta
T3,F8,209,theta
T5,F4,209,theta
T4,P4,209,theta
O1,C3,208,theta
O1,P3,208,theta
CZ,O2,208,theta
O2,F4,208,theta
Fp2,F7,208,theta
Fp1,F7,208,theta
O2,T4,208,theta
O2,T5,208,theta
Fp1,P3,208,theta
T6,C4,208,theta
T5,PZ,208,theta
F4,P4,208,theta
F4,Fp1,208,theta
F3,T5,208,theta
F8,F3,208,theta
F7,FZ,208,theta
P3,FZ,208,theta
P3,Fp2,208,theta
P3,F4,208,theta
P3,P4,208,theta
F7,C3,208,theta
F4,PZ,208,theta
C4,T3,208,theta
C4,O2,208,theta
T6,C3,208,theta
PZ,T3,208,theta
T6,P3,208,theta
P4,F8,208,theta
T3,T6,208,theta
T5,T3,208,theta
T6,O1,208,theta
T5,CZ,208,theta
T3,T4,208,theta
P3,F3,208,theta
P4,F4,208,theta
F4,FZ,208,theta
F3,C4,208,theta
Fp1,T5,207,theta
O1,C4,207,theta
P4,T5,207,theta
F4,T3,207,theta
F4,Fp2,207,theta
O1,O2,207,theta
C4,O1,207,theta
F7,C4,207,theta
C4,F8,207,theta
T3,F4,207,theta
F8,P4,207,theta
O2,C4,206,theta
P4,T4,206,theta
O2,PZ,206,theta
P3,Fp1,206,theta
F7,F3,206,theta
T4,O1,206,theta
T6,O2,206,theta
C4,T6,205,theta
