source,target,frequency,band
FZ,P3,180,beta
P4,PZ,180,beta
T4,Fp2,179,beta
F3,O1,179,beta
CZ,O2,179,beta
P4,P3,179,beta
O1,T5,179,beta
O2,P4,179,beta
F7,T4,178,beta
P3,F7,178,beta
C3,O2,178,beta
T4,P4,178,beta
F8,T6,178,beta
F4,T5,178,beta
T3,T4,177,beta
C4,O1,177,beta
P3,P4,177,beta
C3,P4,177,beta
F4,T6,177,beta
O2,T3,176,beta
P3,T4,176,beta
O2,PZ,176,beta
F7,T3,176,beta
O1,T4,176,beta
O1,O2,176,beta
P4,O2,176,beta
O2,P3,176,beta
P4,T3,176,beta
T3,O2,175,beta
C3,T3,175,beta
F4,T3,175,beta
P3,Fp2,175,beta
T4,Fp1,175,beta
F7,P3,175,beta
O2,T5,175,beta
P3,O2,174,beta
T5,O1,174,beta
P3,Fp1,174,beta
P4,O1,174,beta
T3,Fp1,174,beta
T6,Fp1,174,beta
F4,P3,174,beta
P4,Fp1,174,beta
PZ,T3,173,beta
PZ,T4,173,beta
P4,Fp2,173,beta
T5,Fp2,173,beta
C4,T6,173,beta
C4,T3,173,beta
O2,T6,173,beta
O2,T4,172,beta
O1,T6,172,beta
O1,T3,172,beta
T5,Fp1,171,beta
P4,T4,171,beta
F7,T6,171,beta
T5,T3,171,beta
T6,T4,171,beta
F4,O1,170,beta
T3,P3,170,beta
P3,T3,170,beta
F8,O1,170,beta
T3,O1,169,beta
C3,O1,169,beta
F7,O1,168,beta
P3,T6,168,beta
O1,P3,168,beta
O1,Fp2,168,beta
CZ,T3,168,beta
C3,T4,167,beta
C3,T6,166,beta
O1,Fp1,161,beta
P3,O1,161,beta
