Channel,Out,In,Total
Fp1,18,18,36
F3,18,18,36
O2,18,18,36
CZ,18,18,36
Fp2,18,17,35
P4,18,17,35
F4,17,18,35
O1,17,18,35
C4,17,18,35
T4,18,17,35
C3,16,18,34
T5,18,16,34
F7,16,18,34
T3,17,17,34
F8,16,18,34
PZ,17,16,33
FZ,15,18,33
P3,17,15,32
T6,18,14,32
