Source,Target,F-stat,p-value
F3,FZ,747.5076665856218,1.18656521e-315
F3,Fp2,445.60898868104414,9.59671642135453e-191
F4,F8,367.288806329867,7.613840549155082e-158
F4,FZ,346.7376919892094,3.5391942231051663e-149
Fp1,FZ,299.0101761404703,5.41351344399607e-129
PZ,CZ,241.14704719736588,2.0411372327809213e-104
Fp2,FZ,229.132057885243,2.676733531490988e-99
F7,FZ,226.66449102334596,3.0149293179497965e-98
T4,O1,218.574155761713,8.488899581754285e-95
Fp2,F3,217.6786816430763,2.0455305677280205e-94
Fp1,Fp2,202.9423799857824,3.9850866373740347e-88
C3,FZ,198.99750472124725,1.9295117052200995e-86
P3,CZ,194.78595052077202,1.2160955048207449e-84
Fp2,O1,192.32438680527179,1.3709980047944857e-83
PZ,C4,190.23705655312048,1.0698565497368778e-82
T6,T4,190.1212933844647,1.1989919963969188e-82
C3,C4,177.05839664434075,4.639271561583233e-77
Fp1,F3,167.60242134319583,5.187649933421019e-73
P4,C4,167.33731859752075,6.737801460933671e-73
P3,C4,159.73891102800283,1.2136247410613793e-69
Fp1,O1,159.26412450075983,1.9389920694363953e-69
F3,Fp1,159.20110594124205,2.0634128626928087e-69
P4,CZ,157.49782468646376,1.1083447721896707e-68
C4,C3,155.7669890018628,6.118983447573658e-68
CZ,FZ,153.67038543451545,4.848740038776068e-67
F4,C4,153.07706921419128,8.710641058648583e-67
T4,O2,145.96418432097425,9.797367895423234e-64
F8,O1,145.11657298344537,2.2636535708608484e-63
C4,FZ,144.66159221125363,3.5485227791004526e-63
FZ,F4,138.34836264786264,1.8192168988268556e-60
F4,O1,137.356936591197,4.848013663477988e-60
F4,T6,127.7226347491638,6.66754976204512e-56
PZ,C3,127.68663605095712,6.909325101515771e-56
F3,O1,127.360159065208,9.544021957020556e-56
C4,F4,124.4333492235035,1.7283347410612087e-54
C4,F8,123.7487234883373,3.4033998250745066e-54
P3,C3,120.25283189537674,1.0836143411812976e-52
Fp2,T6,119.14770145973554,3.2365712856756347e-52
P4,T4,118.88119297329108,4.213969238134712e-52
Fp2,C3,118.44585967887726,6.4848869299570636e-52
T4,T5,113.29255856597858,1.067930690788279e-49
P3,P4,112.1145273889383,3.430787319513326e-49
P3,F7,110.7914448820103,7.484449664845012e-26
Fp2,O2,110.12063199407636,2.4739130273441584e-48
P3,F8,108.44653972196993,2.429836540619686e-25
F8,FZ,108.3442139405779,1.4385060505723544e-47
T6,O1,106.12601858554041,1.2963633176558296e-46
T3,FZ,106.07423482289396,1.3646427669001503e-46
Fp1,C3,105.01995501704735,3.880553000990339e-46
F4,Fp2,104.8384879802262,4.645370999109009e-46
Fp1,T6,103.69023209905755,1.4501228253240526e-45
FZ,C4,102.42822585173175,5.067792110470466e-45
F8,C4,101.78043946284608,9.633289303203111e-45
P3,FZ,101.27064434533122,1.597047489800935e-44
FZ,C3,98.18879195902538,3.394019744335561e-43
PZ,FZ,97.0597981314284,1.0400933123786494e-42
T3,T4,96.7184774578892,1.459211953722942e-42
Fp1,O2,96.30034014119677,2.2093467077704173e-42
Fp2,T5,96.13227064204828,2.610205908097551e-42
F7,C3,95.9732718326727,3.056177556880055e-42
P3,Fp2,94.44438683752436,2.77097959909378e-22
T4,F7,94.42856894361661,1.4149878506920494e-41
FZ,F8,94.2708228763,1.6547270275050758e-41
P4,F4,93.80752227786438,2.6204161564346425e-41
F4,C3,93.56533570214151,3.332234246735702e-41
F3,F8,93.32633204295304,4.2240710704405605e-41
P4,C3,92.53744970274484,9.24069912494799e-41
CZ,Fp2,92.34181661171692,7.983640833252724e-22
C3,F4,90.91296302395364,4.632944198914617e-40
T4,T6,90.88288009211439,4.773354315552562e-40
PZ,O1,90.87946752086094,4.789548661306871e-40
C4,Fp2,90.41358677310654,2.107619127152514e-21
F7,F8,89.86420951664473,1.3119546868768832e-39
C4,CZ,87.81343954132383,1.0046386399876706e-38
F4,O2,86.80232587343478,2.7413104938921405e-38
F7,O1,85.19991455260013,1.3456223723778086e-37
T4,C3,83.5966647723726,6.612130823285523e-37
C4,T4,83.56975692882598,6.791199828525697e-37
C3,T4,82.95024936636918,1.2564372440611356e-36
Fp2,T3,82.74714979140082,1.5372370880720623e-36
C3,F8,82.41541789392826,2.1371018729132902e-36
F7,F4,82.17199126521818,2.7215968669897708e-36
CZ,C4,81.47727697533912,5.426133068827764e-36
T4,T3,81.16092678160709,7.429413868714406e-36
Fp2,C4,79.95251598861296,2.46751678330478e-35
Fp2,CZ,79.79600710399778,2.882580829883315e-35
F8,O2,79.6840703135058,3.2216178795040366e-35
PZ,F4,79.62007028778613,3.433092895861828e-35
Fp2,F7,76.26507894316255,9.623526800126825e-34
F8,T5,76.15483385568307,1.07376898179872e-33
F8,T6,74.33554330786156,6.547776222100292e-33
T4,Fp1,74.26873584459523,6.99728146931046e-33
F3,O2,74.04635669242379,8.72798605697066e-33
P4,F8,73.99598446540726,9.176060524711098e-33
F8,F3,73.8890591541736,1.0204902800301732e-32
T3,C4,73.6961226989633,1.2361974593154738e-32
T6,F4,73.56759981117519,1.0303373182010422e-17
F7,C4,72.74833690350007,3.1710921567234905e-32
F8,C3,72.6775953127842,3.402095120697296e-32
CZ,C3,72.48961293261026,4.1010510964730437e-32
T6,F8,72.19816932454222,2.0578318968532637e-17
P4,FZ,71.93180663747721,7.139995020882799e-32
Fp1,F4,71.62093220182847,9.725366560002852e-32
F3,C3,71.44820695719265,1.1547153756135997e-31
Fp2,F4,71.09832405857958,1.6350450327068205e-31
CZ,F8,70.97304781880484,1.8518944583662711e-31
P3,Fp1,70.45118254980343,4.975108469186747e-17
F4,CZ,70.25238438497105,3.7910972870375103e-31
F3,T6,69.90342679131497,5.3633376919971935e-31
CZ,F4,69.75388966308267,6.223038123515303e-31
F8,F7,69.34991417508833,9.298983551878354e-31
P3,F4,68.1004329570076,3.2209746783491545e-30
Fp1,C4,67.9683197982482,3.673159366475283e-30
Fp1,CZ,67.80419730000212,4.3243037124008725e-30
T4,F3,67.3232386055468,6.976283074445515e-30
T5,F7,67.24727783853052,2.5138230223701506e-16
F3,F4,67.12340588414541,8.50994472359847e-30
F7,T6,67.08100472010712,8.876441637730909e-30
F7,CZ,66.93415191189143,1.0272165560502175e-29
C4,O1,66.6972131091285,1.3001494632554211e-29
C3,CZ,66.62715484719787,1.393962405097682e-29
PZ,T4,66.21754872284325,2.0948899946852772e-29
F4,T5,66.06615324119441,2.435291334106292e-29
P4,O1,65.85052311303926,3.0177678687827543e-29
T3,F7,65.53346087857084,4.1365120028726667e-29
T4,F8,64.79763846123085,8.599464310072283e-29
PZ,F8,63.90429224932145,2.0911090277953917e-28
Fp2,F8,63.84311420211459,2.2223131188286446e-28
C3,F7,63.607545642129026,2.809123272991219e-28
F4,T4,63.45201537902248,3.27914721620116e-28
Fp1,F8,61.960824067106095,1.4454715482153704e-27
F7,O2,61.86795646294486,1.5853835590840506e-27
T5,FZ,61.8659209557696,3.830775692530562e-15
P3,PZ,59.721967815100996,1.3409917960833748e-26
P3,T4,59.33632150558432,1.9682633139562352e-26
T6,Fp2,59.129152967025256,1.5331094743005836e-14
T5,Fp2,59.12455340943327,1.536688411447831e-14
CZ,Fp1,58.870576726514805,1.7478497467127397e-14
P3,O1,58.73212856027878,3.590839023611629e-26
T4,F4,58.20335420207653,6.077513441014618e-26
F4,P4,57.947547174638494,7.839462412196511e-26
Fp1,T5,57.51707378450651,1.2032146599474222e-25
P4,Fp2,57.176940965046605,4.125788353607685e-14
FZ,O1,56.38295960044393,3.7201075982735853e-25
F3,C4,55.82437999432961,6.486558196350278e-25
