Channel,Out,In,Total
Fp2,18,18,36
F3,18,18,36
C3,18,18,36
PZ,18,18,36
C4,18,18,36
F7,18,18,36
CZ,18,18,36
T6,18,18,36
T4,18,18,36
T3,18,18,36
F8,18,18,36
FZ,18,18,36
T5,17,18,35
F4,17,18,35
O1,18,17,35
P3,18,16,34
O2,18,16,34
P4,17,17,34
Fp1,15,18,33
