Channel,Out,In,Total
P4,18,18,36
Fp2,18,15,33
FZ,14,18,32
T3,16,15,31
F3,14,17,31
T4,18,13,31
Fp1,15,15,30
O1,12,18,30
C3,14,15,29
O2,12,17,29
F7,17,11,28
F8,13,15,28
PZ,17,10,27
F4,9,17,26
P3,14,12,26
CZ,13,12,25
C4,11,11,22
T5,11,11,22
T6,12,8,20
