Channel,Participation_Coefficient
Fp1,0.251796001028491
Fp2,0.2634435771226791
F3,0.3247585976369821
F4,0.31558137285949117
C3,0.44108607040819625
C4,0.44196798665386283
P3,0.4903054247412213
P4,0.48735125131001866
O1,0.45095211375373023
O2,0.42680077677148087
F7,0.288373676211774
F8,0.2760170093175194
T3,0.4316313992168648
T4,0.41673169742635485
T5,0.49858715253027275
T6,0.49914912148417734
FZ,0.29945453246711773
CZ,0.4410148577041817
PZ,0.4797762609527212
25+,0.5522366646170526
26+,0.5150573190285815
27+,0.6367742230083514
