Channel,Participation_Coefficient
Fp1,0.4834448993754866
Fp2,0.4856021336167321
F3,0.48679571757590834
F4,0.47499982940712815
C3,0.45890268229553477
C4,0.4688155145334172
P3,0.4334486274141618
P4,0.44290705249860185
O1,0.43950607129160746
O2,0.4387991424176215
F7,0.4606328270063822
F8,0.47352616610978804
T3,0.45670718078084205
T4,0.46757181823396965
T5,0.43809116512282575
T6,0.4340045512786891
FZ,0.4617913599911505
CZ,0.4713258685964611
PZ,0.4394440747604855
