Channel,Out,In,Total
Fp1,18,18,36
Fp2,18,18,36
F3,18,18,36
F4,18,18,36
F7,18,18,36
T6,18,18,36
F8,18,18,36
FZ,18,18,36
O2,17,18,35
P3,18,17,35
C3,18,17,35
PZ,18,17,35
T3,18,17,35
C4,16,18,34
P4,17,17,34
T5,16,18,34
T4,18,16,34
CZ,18,16,34
O1,15,18,33
