segment_index,node_index,betweenness,subject_id,session_id
5,14,0.0,sub-NORB00069,ses-4
5,15,0.0,sub-NORB00069,ses-4
5,16,0.0,sub-NORB00069,ses-4
5,17,0.0,sub-NORB00069,ses-4
5,18,0.0392156862745098,sub-NORB00069,ses-4
6,0,0.026143790849673203,sub-NORB00069,ses-4
6,1,0.006535947712418301,sub-NORB00069,ses-4
6,2,0.0,sub-NORB00069,ses-4
6,3,0.14379084967320263,sub-NORB00069,ses-4
6,4,0.06535947712418301,sub-NORB00069,ses-4
6,5,0.0392156862745098,sub-NORB00069,ses-4
6,6,0.032679738562091505,sub-NORB00069,ses-4
6,7,0.013071895424836602,sub-NORB00069,ses-4
6,8,0.0,sub-NORB00069,ses-4
6,9,0.026143790849673203,sub-NORB00069,ses-4
6,10,0.08496732026143791,sub-NORB00069,ses-4
6,11,0.0,sub-NORB00069,ses-4
6,12,0.0,sub-NORB00069,ses-4
6,13,0.0,sub-NORB00069,ses-4
6,14,0.026143790849673203,sub-NORB00069,ses-4
6,15,0.09803921568627451,sub-NORB00069,ses-4
6,16,0.006535947712418301,sub-NORB00069,ses-4
6,17,0.0,sub-NORB00069,ses-4
6,18,0.0,sub-NORB00069,ses-4
7,0,0.032679738562091505,sub-NORB00069,ses-4
7,1,0.006535947712418301,sub-NORB00069,ses-4
7,2,0.0,sub-NORB00069,ses-4
7,3,0.0196078431372549,sub-NORB00069,ses-4
7,4,0.058823529411764705,sub-NORB00069,ses-4
7,5,0.0784313725490196,sub-NORB00069,ses-4
7,6,0.04575163398692811,sub-NORB00069,ses-4
7,7,0.0196078431372549,sub-NORB00069,ses-4
7,8,0.0,sub-NORB00069,ses-4
7,9,0.013071895424836602,sub-NORB00069,ses-4
7,10,0.13725490196078433,sub-NORB00069,ses-4
7,11,0.026143790849673203,sub-NORB00069,ses-4
7,12,0.0,sub-NORB00069,ses-4
7,13,0.0,sub-NORB00069,ses-4
7,14,0.006535947712418301,sub-NORB00069,ses-4
7,15,0.0392156862745098,sub-NORB00069,ses-4
7,16,0.006535947712418301,sub-NORB00069,ses-4
7,17,0.006535947712418301,sub-NORB00069,ses-4
7,18,0.07189542483660132,sub-NORB00069,ses-4
8,0,0.0196078431372549,sub-NORB00069,ses-4
