Source,Target,F-stat,p-value
Fp2,F8,921.9143033047412,9.6836059395378e-199
F3,Fp2,800.552066137496,0.0
F8,Fp2,725.285353921643,2.075307694196445e-157
Fp2,F3,670.3648342526192,5.101708173700644e-284
PZ,CZ,456.5304258141001,2.3564630199775273e-100
F4,Fp2,409.58452110500343,1.2271656597021904e-175
P4,T4,357.3273523292719,4.04394607315455e-79
Fp1,F3,355.99000835483236,4.4158545133839623e-153
Fp2,F4,324.78467140022605,6.658945402716838e-140
T4,T6,321.86165683770434,1.1469353940151739e-138
T4,PZ,319.23393028489386,6.1332903601288695e-71
CZ,PZ,318.4325277349494,9.119462807232366e-71
PZ,T4,316.7650901487588,2.0817909873766927e-70
T4,F3,296.44318552800627,6.626916270079787e-128
C4,T4,287.32462271439925,4.494339274948293e-64
F3,Fp1,286.19130905271345,1.4726177814282637e-123
PZ,F8,281.5027232952111,8.061744118662428e-63
T4,O1,280.6511170719475,3.300901429110449e-121
Fp1,T6,264.38126570165326,2.6766658709747685e-114
Fp2,C3,262.8934042837157,1.1478077998364726e-113
T4,P4,256.6768025376106,1.8080330800862733e-57
T4,C4,254.50547893849165,5.315513987870893e-57
PZ,C3,253.44683162680104,1.1913354459704456e-109
F8,T3,241.71528846466182,1.169382900842468e-104
P3,CZ,235.5406154135448,6.585652810671619e-53
T4,Fp2,234.27829365115304,1.2336642097171218e-52
Fp2,F7,228.3204914550966,5.935669065529495e-99
Fp2,T6,227.3371477312156,1.558013303558773e-98
P3,T4,226.04718567094193,7.399544764056952e-51
PZ,T3,224.7111272016012,1.4384373462447819e-50
F4,F3,223.86178482886393,4.721091135966942e-97
T4,O2,220.5474978660074,1.2224834451742937e-95
Fp2,O1,219.14881087550765,4.827845520870594e-95
F8,PZ,213.83575839855283,3.225830230545726e-48
P4,CZ,210.16549019324802,2.006053033705522e-47
FZ,Fp2,208.99334218298662,1.0396689069927995e-90
T3,F8,202.6907545086327,5.103880823080821e-88
T4,T5,201.47136034849473,1.6931824153521743e-87
P3,C3,201.02788869025358,2.618927025410456e-87
C3,PZ,198.44912283251438,6.874994641071265e-45
T6,F3,195.4014513640626,6.636462114815407e-85
