Channel,Participation_Coefficient
Fp1,0.4677543819933784
Fp2,0.46907279720713846
F3,0.4652225811467494
F4,0.46409254078765805
C3,0.42670560597809826
C4,0.44064896657060404
P3,0.4103312703341788
P4,0.4269478435865306
O1,0.40642036550937777
O2,0.4207654051012254
F7,0.4650791930278806
F8,0.4459475186040478
T3,0.4396335080574949
T4,0.4347089022045869
T5,0.4007782796434318
T6,0.4017479061548831
FZ,0.4656074752792956
CZ,0.44182574460371027
PZ,0.4412395489353479
25+,0.47497521933661013
26+,0.5344843199033276
27+,0.6416651461539301
