subject_id,session_left,session_right,edge,left_value,right_value,jaccard_min_over_max
sub-NORB00064,ses-1,ses-2,Fp1-Fp2,11.274826290313218,10.179489171474643,0.9028510869582411
sub-NORB00064,ses-1,ses-2,Fp1-F3,10.972361467443118,10.051337018484265,0.9160595964969172
sub-NORB00064,ses-1,ses-2,Fp1-F4,9.417352338784985,8.460082655375276,0.8983504440555725
sub-NORB00064,ses-1,ses-2,Fp1-C3,4.85560070556243,6.395101954912734,0.7592686934150197
sub-NORB00064,ses-1,ses-2,Fp1-C4,4.830442956761851,4.892195566245694,0.9873773219717722
sub-NORB00064,ses-1,ses-2,Fp1-P3,2.6482198861659283,3.2465695169085906,0.815697884297141
sub-NORB00064,ses-1,ses-2,Fp1-P4,1.8467626500325562,3.5573027616400337,0.5191468856536512
sub-NORB00064,ses-1,ses-2,Fp1-O1,1.3910072678851009,0.885044419998259,0.6362615353864312
sub-NORB00064,ses-1,ses-2,Fp1-O2,0.650977111550441,1.3197960755134641,0.4932406783352342
sub-NORB00064,ses-1,ses-2,Fp1-F7,4.211839269158531,6.948129099015749,0.6061832198476519
sub-NORB00064,ses-1,ses-2,Fp1-F8,6.016262268269732,8.047213108372015,0.7476205970003008
sub-NORB00064,ses-1,ses-2,Fp1-T3,0.923528917593855,2.9914562314194577,0.308722189512242
sub-NORB00064,ses-1,ses-2,Fp1-T4,1.264659111909232,4.395217718421373,0.2877352597594321
sub-NORB00064,ses-1,ses-2,Fp1-T5,0.9192287949017607,0.9813197110152162,0.936727128359401
sub-NORB00064,ses-1,ses-2,Fp1-T6,1.1892696419554531,1.6953927539567626,0.7014714668208278
sub-NORB00064,ses-1,ses-2,Fp1-FZ,10.461446618709472,8.704509502854403,0.8320560071765863
sub-NORB00064,ses-1,ses-2,Fp1-CZ,3.5649024365925377,3.149777356909794,0.8835521905391792
sub-NORB00064,ses-1,ses-2,Fp1-PZ,3.2361104927326587,4.011938588382099,0.8066201467051095
sub-NORB00064,ses-1,ses-2,Fp2-F3,13.173903243461172,9.059134555846578,0.68765759004212
sub-NORB00064,ses-1,ses-2,Fp2-F4,11.110643032179617,7.993662155983129,0.7194599028005116
sub-NORB00064,ses-1,ses-2,Fp2-C3,4.75039257510238,5.338035351852973,0.8899140342810568
sub-NORB00064,ses-1,ses-2,Fp2-C4,5.2628307053456584,4.727660398637144,0.8983113201485046
sub-NORB00064,ses-1,ses-2,Fp2-P3,2.5954923388035778,2.9627377160316444,0.8760452620423103
sub-NORB00064,ses-1,ses-2,Fp2-P4,1.917928169130038,3.803381280806788,0.5042692350642268
sub-NORB00064,ses-1,ses-2,Fp2-O1,1.437829988716664,1.131334316624088,0.7868345531128205
sub-NORB00064,ses-1,ses-2,Fp2-O2,0.5684111829718839,1.388100344062156,0.40948853978990996
sub-NORB00064,ses-1,ses-2,Fp2-F7,3.5459895019043226,6.307401655991979,0.562194972716802
