Source,Target,F-stat,p-value
T4,F3,1187.323088954747,0.0
T6,F3,999.0673305623408,0.0
T4,C3,997.3581360797268,0.0
F7,F3,988.8469578665892,0.0
T3,T6,944.4371612379267,0.0
O2,F3,929.8035638779344,0.0
F8,F3,910.6990275908909,0.0
T3,P4,898.931069198077,0.0
T4,F7,895.7262091424946,0.0
T3,C4,859.922887769787,0.0
F7,T6,847.5781442087299,0.0
T3,T4,847.0725840194584,0.0
T6,C3,841.9428977080046,0.0
T3,C3,823.196328512106,0.0
F7,P4,821.0104573140179,0.0
F8,P4,813.1872203389844,0.0
O2,C3,809.1121579623829,0.0
T3,F3,807.4795367727097,0.0
F7,C4,806.0660871410362,0.0
T3,PZ,800.2828592455392,0.0
T6,F7,794.5441142265137,0.0
F8,P3,777.7280847032042,0.0
T4,P3,773.0126514858205,0.0
F7,T4,760.747304738024,0.0
F8,PZ,759.1327013524655,0.0
T5,Fp2,753.3244869385903,0.0
T4,T3,745.0236187426635,5.54e-321
O2,Fp2,741.3781979926077,1.9697e-319
O2,CZ,737.1678162433699,1.2193856e-317
F8,T6,736.5698394644411,2.190935e-317
T4,CZ,733.8396770867786,3.181205e-316
T4,Fp1,732.0534335550445,1.831753125e-315
O2,Fp1,729.5880966735856,2.0523154407e-314
Fp1,F3,729.1046525188606,3.296337401e-314
T4,PZ,727.4486117669918,1.671008353e-313
T3,P3,724.8498348900406,2.13449723928e-312
O2,F7,723.4419953744178,8.48506439399e-312
Fp2,F3,723.3095157237917,9.661774337946e-312
T4,FZ,714.6127646525807,4.875821053174308e-308
F8,C3,711.8810952671656,7.101444500471161e-307
Fp1,P4,704.8612039304667,6.9376054243939096e-304
O2,FZ,704.637191936069,8.64228589719331e-304
F8,C4,703.3146896866624,3.162037161650561e-303
F7,PZ,702.9854668095977,4.367241589323147e-303
T5,F4,702.9457790847221,4.54059978572416e-303
Fp1,T6,699.7511580584576,1.0423274773029655e-301
T6,Fp1,699.4409599010762,1.4130359250022136e-301
T6,CZ,697.7976233252381,7.083658232167262e-301
T5,CZ,691.3398464522123,3.997084300422979e-298
T4,Fp2,688.3275427148141,7.680170757585926e-297
O2,F4,687.6811165496891,1.4482549793029964e-296
T6,Fp2,686.0478632132317,7.192446945624013e-296
T5,Fp1,677.254859513466,4.024013275294181e-292
T4,P4,674.4112249354681,6.55956299327784e-291
CZ,P4,673.7080807531729,1.3080771480408142e-290
T5,FZ,671.8900471113639,7.79307136014129e-290
Fp1,P3,671.511320546634,1.1302500374575057e-289
Fp2,P3,671.2022108046215,1.5309509681399777e-289
Fp2,P4,670.477335580202,3.1189690327441424e-289
T6,FZ,668.9490377653091,1.3983607690229936e-288
T5,C4,668.3748379938958,2.457215433554303e-288
CZ,T6,667.6866640097908,4.8291195779605695e-288
F4,P4,666.0395471249303,2.4332720103330114e-287
FZ,P4,665.4945260592114,4.15520030137425e-287
F4,F3,665.1717220951908,5.704791315512503e-287
FZ,T6,663.3563537783332,3.3912432347714125e-286
T5,F8,661.4888575141488,2.1220069477822457e-285
T3,Fp2,661.0009316087303,3.426320161378476e-285
F7,P3,657.146827292948,1.508511621108361e-283
T5,F3,654.1560510391132,2.8457145371426113e-282
Fp1,PZ,652.3854883987559,1.6196855258360358e-281
CZ,P3,650.9927577456103,6.361070675847834e-281
F4,P3,649.2282973589813,3.599411974396452e-280
T4,F4,648.0357624424198,1.1613835593761072e-279
Fp2,T6,644.4279241092883,4.0198209533004543e-278
F4,T6,641.1820699268615,9.752861633136055e-277
FZ,P3,640.5823071608443,1.758123452590462e-276
CZ,F3,636.8976112441546,6.567378327031967e-275
Fp2,PZ,635.4470620866264,2.7316017909257164e-274
T6,F4,634.5048341315447,6.894909575186509e-274
T4,C4,634.166355042189,9.615737209750313e-274
T5,C3,634.1110148614044,1.0153141825779364e-273
T5,T6,629.6603135716834,8.056942306461305e-272
CZ,PZ,625.0998668399903,7.1255619647121034e-270
T6,T3,620.0436033850372,1.0265808730264617e-267
Fp1,C4,618.0079153950489,7.595121887375094e-267
T5,P4,617.6776045476781,1.0509117934910868e-266
F4,PZ,616.7535576289176,2.6068118551511472e-266
T3,O2,614.7777526145454,1.818692227018876e-265
T3,F4,609.188681754322,4.430825878349871e-263
FZ,PZ,608.3834979829342,9.780383311058173e-263
T6,P3,606.4954769541823,6.261896238973941e-262
O2,C4,602.9950542083218,1.9579534442236805e-260
T5,T4,595.2214279661569,4.098038302964541e-257
FZ,F3,591.8882405342605,1.088124422978896e-255
F7,C3,581.6031653619426,2.702647087047925e-251
CZ,C4,579.1122539428037,3.1362732359645124e-250
P4,F3,576.1557981309539,5.755829270774699e-249
FZ,C4,571.4511889776868,5.905208737601057e-247
Fp2,C3,565.4221844431355,2.233025657111857e-244
F7,O2,560.9378715716882,1.846740130507019e-242
Fp2,C4,557.0534687240454,8.46415873184774e-241
O1,Fp2,554.6450674021975,9.070545916243326e-240
T3,CZ,547.897241980048,6.981901234937819e-237
F4,C4,547.6228423084132,9.148665045043091e-237
Fp1,T4,544.632753735392,1.7399208645811808e-235
T3,F8,543.1311055509499,7.638006756799718e-235
O2,F8,539.5280144297091,2.658270398259104e-233
F8,O2,537.3086229169468,2.3673584056282203e-232
T3,FZ,535.9434563823553,9.087398543554293e-232
T5,PZ,535.4426558799471,1.4884875766182237e-231
T5,F7,529.9035824159558,3.49345898715834e-229
Fp1,C3,525.2928211520921,3.2866869023017985e-227
O1,Fp1,524.3881355305045,8.0170026071157195e-227
O1,CZ,522.7085039055811,4.1976804031352054e-226
F4,C3,516.4992097934481,1.91117097951958e-223
CZ,T4,513.0996158358049,5.456413181263081e-222
FZ,T4,511.2004961317584,3.549068087443596e-221
O1,F4,507.55809766175327,1.2879987872977127e-219
O2,T3,507.4911673825478,1.375874345759589e-219
O1,FZ,502.30187373642764,2.2966080359149154e-217
Fp1,O2,490.3800660896149,2.9392852717710505e-212
O1,F7,488.9417199922832,1.2148543485955582e-211
O1,F3,488.5887531260541,1.7209261936483828e-211
O2,P3,487.9570388154793,3.2095243781520637e-211
T6,C4,486.2408714408609,1.7450656669515353e-210
F8,T3,483.3540662032448,3.012136943975152e-209
O1,F8,481.7640611733098,1.4463404120751427e-208
CZ,C3,480.9784362409036,3.140224012082901e-208
P4,C3,478.3930034596222,4.027483320435436e-207
F3,T6,476.19392227826745,3.528457349592811e-206
F8,T4,475.04773868228637,1.0936407488728306e-205
P4,F7,472.07218715076385,2.0623404480590664e-204
CZ,O2,471.73123013106186,2.8874868105683192e-204
T6,F8,470.5243979821717,9.50318978216513e-204
T3,Fp1,469.2206796781541,3.441688488375361e-203
T6,PZ,468.18946188696725,9.525050630120041e-203
Fp2,O2,463.1933347983097,1.3211294663991125e-200
Fp2,T4,459.99207829200395,3.1162414595931278e-199
FZ,O2,458.92088929521583,8.973864035778517e-199
F4,O2,452.2762120980958,6.348315047678167e-196
FZ,C3,452.20565140296,6.80647685836294e-196
F4,T4,449.7308625281075,7.841715346792425e-195
O1,C4,425.105663876501,2.8880340140482267e-184
F7,Fp2,422.28147363930776,4.708295653585593e-183
F3,P4,422.2712614031131,4.756061028709892e-183
C3,T6,421.3841901168104,1.1429712115303864e-182
T4,F8,419.57593366942353,6.82784455846517e-182
F3,T4,418.4342368650165,2.1106250328547533e-181
P4,Fp2,417.69840985494886,4.36825360318213e-181
F8,F7,415.23533080653215,4.98626045663717e-180
O1,C3,415.18458478990425,5.2427888029414875e-180
P4,Fp1,413.3375450215904,3.2553300617710585e-179
T5,O2,410.2643168955455,6.794928677968384e-178
F7,F4,409.53617249407887,1.3958976294204897e-177
P4,CZ,408.4745071327846,3.98794287550007e-177
O2,PZ,396.795726184736,4.136890102854554e-172
F3,C4,388.1027677381517,2.2452350434006906e-168
C3,T4,387.5168332125821,4.008830013752355e-168
T5,P3,378.2223548729529,3.954360959111842e-164
O1,T4,377.6591322489933,6.904611982276231e-164
P4,FZ,377.1577912162144,1.133991507376346e-163
F7,FZ,373.1907208860971,5.750625199185885e-162
P4,F4,359.4356106763549,4.713079954123648e-156
Fp2,T3,359.1411044793337,6.308748579134601e-156
O2,T4,357.23870399728816,4.149587964673495e-155
C4,F3,353.77466462280944,1.281461788699736e-153
F7,CZ,353.00122434613246,2.75639167332392e-153
F3,P3,348.2629190980049,3.0082190723320485e-151
O1,T6,347.56858453956204,5.983682047624255e-151
O2,P4,336.9328895898227,2.2515864716984725e-146
T4,O2,334.2146753802621,3.3272893166376875e-145
F7,F8,333.41501420219686,7.34831902118164e-145
F4,T3,331.90320326168165,3.286601554587958e-144
C3,P4,330.97400299014583,8.252999953045253e-144
O1,P4,330.56835142194933,1.233615952739726e-143
C3,C4,326.71815335129236,5.599788721546235e-142
F3,PZ,325.43978727694235,1.987810068195515e-141
C4,F7,320.34917944068906,3.087042792697844e-139
P4,P3,313.6703808689027,2.316256545452922e-136
P4,T3,312.81585023799994,5.403846118016413e-136
Fp1,T3,311.0258971776975,3.1870689188794407e-135
T4,T6,309.409742159779,1.5822732333919653e-134
F8,F4,308.4336644577444,4.164660899585677e-134
CZ,T3,300.1273958258917,1.5729271611803196e-130
P3,Fp2,299.95975954613056,1.8574207653674243e-130
PZ,Fp2,294.2298817713117,5.45750856620209e-128
O1,T3,290.73103836040616,1.754994582039749e-126
F8,T5,290.1440418474376,3.141699868788949e-126
O2,T6,289.9699844299626,3.7338135111520016e-126
FZ,T3,289.2583080112562,7.564198112461294e-126
PZ,F3,286.2919964586636,1.4348230334761537e-124
C4,C3,283.35682241585965,2.639496184400581e-123
