,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,25+,26+,27+
Fp1,1.0,0.9353024454613593,0.8377473433779815,0.7611776014310624,0.5454556527076492,0.4967590960907735,0.20877372510565395,0.1810099102703227,-0.007220465578799954,-0.016145065217062268,0.8458449864462972,0.7528357783448036,0.40797261489641307,0.3064478165137618,0.054248980124630475,-0.04566038846907466,0.7551288689435012,0.4524565200967128,0.2753347537706314,-0.006358018831954845,0.0407852662255035,0.0021409437650773936
Fp2,0.9353024454613593,1.0,0.7886516444117201,0.8275271188728416,0.5206405048612487,0.5317716994132722,0.1869851569942667,0.18688950979748256,-0.030905572906693945,-0.02915387692209467,0.7672834645198936,0.8559015371565826,0.3413481564445455,0.3758846714552403,0.014134006376160486,-0.023910906424476002,0.7512862874533238,0.46140609378521047,0.27300072875330456,-0.0014578770914803994,0.03643023677101734,0.002283154183812257
F3,0.8377473433779815,0.7886516444117201,1.0,0.8467995150410028,0.7472274133963432,0.6397797613640104,0.3492931246216887,0.31454915020473323,0.09028839184612461,0.08199052046842834,0.8313831291228748,0.7049797973372887,0.4501968055301867,0.3514983447034566,0.15398183868690288,0.06112946524192278,0.8951402261411976,0.6051600530179183,0.4142577391809258,-0.005745417717405296,0.0290648264094564,0.0032400219152327304
F4,0.7611776014310624,0.8275271188728416,0.8467995150410028,1.0,0.6577994001010647,0.7315061021049751,0.2921322676932248,0.3186592292123937,0.05452719455475476,0.06224256074196449,0.6958312242338331,0.8607762505622014,0.35747252956931513,0.45301205914167525,0.078080432525668,0.08158849175610809,0.8764474549631243,0.616547630143664,0.39666786022235107,-0.000752783797532925,0.02331716611633104,0.0016748877538821513
C3,0.5454556527076492,0.5206405048612487,0.7472274133963432,0.6577994001010647,1.0,0.8072592243273129,0.7203877855739256,0.601705149692367,0.30745841044947,0.26768585042779974,0.6271303094793491,0.5267055598017287,0.6231809030490585,0.48543920179639666,0.43179182812288447,0.2826080890056704,0.6493317550612755,0.7717711464156316,0.7214877523029813,-0.004032504074432488,0.012206077247046403,0.007698617259968536
C4,0.4967590960907735,0.5317716994132722,0.6397797613640104,0.7315061021049751,0.8072592243273129,1.0,0.6011117857129381,0.6951441690561903,0.26898846739150645,0.2858826820331698,0.49033037668192775,0.596293439806222,0.4301485409276639,0.6299644365320323,0.2937095493409474,0.39045507401521573,0.6523371608512316,0.8066719514652558,0.7101373809605691,-0.0004757177781904784,0.01791298426793308,0.007246201747878927
P3,0.20877372510565395,0.1869851569942667,0.3492931246216887,0.2921322676932248,0.7203877855739256,0.6011117857129381,1.0,0.8023877557759469,0.6630804149041536,0.5238035793419241,0.2867338503802359,0.20160662110011424,0.5220224987147926,0.41558243544442797,0.7597685432222562,0.5163719986019125,0.2735725359289551,0.5100939394199762,0.8855586939575381,-0.006312024438064216,0.009523486427711782,0.005849829696859803
P4,0.1810099102703227,0.18688950979748256,0.31454915020473323,0.3186592292123937,0.601705149692367,0.6951441690561903,0.8023877557759469,1.0,0.5955951652428365,0.661967427926888,0.2287309139745022,0.23503908991130745,0.36595360260076953,0.5452494841680158,0.5449500966184978,0.7625976634501637,0.27483896740872427,0.5252133708652119,0.8408668192618374,0.002996292198491356,0.006527023732127678,0.000706779472491409
O1,-0.007220465578799954,-0.030905572906693945,0.09028839184612461,0.05452719455475476,0.30745841044947,0.26898846739150645,0.6630804149041536,0.5955951652428365,1.0,0.7863555233937964,0.03956785596274136,-0.04278636322537747,0.17678907600155233,0.11402321045513941,0.6194528056407482,0.47057374206629593,0.04747150608233245,0.19122059097581193,0.5704902986619953,-0.004300118003335739,0.010285542994395961,-0.00027677473341480716
O2,-0.016145065217062268,-0.02915387692209467,0.08199052046842834,0.06224256074196449,0.26768585042779974,0.2858826820331698,0.5238035793419241,0.661967427926888,0.7863555233937964,1.0,0.01931711930064878,-0.028721538433167618,0.10166235278432205,0.14599179139393373,0.3839865511602675,0.5815477422529949,0.04437369714319933,0.20244508206557546,0.5165758792817123,0.0005832708161869135,0.005567673164068101,-0.0013430237515158845
F7,0.8458449864462972,0.7672834645198936,0.8313831291228748,0.6958312242338331,0.6271303094793491,0.49033037668192775,0.2867338503802359,0.2287309139745022,0.03956785596274136,0.01931711930064878,1.0,0.6952900627345235,0.5743404586292499,0.3228496517522576,0.14899972364011016,0.003917140208593987,0.6539592580392677,0.42545975250546364,0.3038035577407086,-0.011355434760059341,0.04838683097980443,0.004675831754131132
F8,0.7528357783448036,0.8559015371565826,0.7049797973372887,0.8607762505622014,0.5267055598017287,0.596293439806222,0.20160662110011424,0.23503908991130745,-0.04278636322537747,-0.028721538433167618,0.6952900627345235,1.0,0.3789813512777231,0.5583712875891522,0.02607150633898386,0.05434132991782458,0.6924733768778644,0.46502360235743334,0.2803942573878367,0.0011986169605847185,0.036286934472488416,0.000549056203235877
T3,0.40797261489641307,0.3413481564445455,0.4501968055301867,0.35747252956931513,0.6231809030490585,0.4301485409276639,0.5220224987147926,0.36595360260076953,0.17678907600155233,0.10166235278432205,0.5743404586292499,0.3789813512777231,1.0,0.46087549684193657,0.5728600288682181,0.21854171587747795,0.3472130159782674,0.3077571200589869,0.4025728201172399,-0.0167381537893403,0.026423581074094267,0.007313622675319717
