Channel,Out,In,Total
Fp1,18,18,36
Fp2,18,18,36
C3,18,18,36
F7,18,18,36
C4,18,18,36
P3,18,18,36
P4,18,18,36
T4,18,18,36
F3,18,17,35
O1,18,17,35
F4,17,18,35
T6,17,18,35
F8,17,18,35
T3,17,18,35
T5,18,17,35
CZ,17,18,35
FZ,18,17,35
PZ,18,17,35
O2,17,17,34
