,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
Fp1,1.0,0.8857896083468433,0.8127400618251753,0.5844692521106487,0.30457811809761676,-0.007743897836599273,0.022276526655204132,-0.07153602312823346,-0.1315892006422724,0.060456421574357,0.7562697444224308,0.5660171834807984,0.12319797283774497,0.3164615162721815,-0.15959569576638483,-0.10895401070089314,0.7735020059572401,0.18383377067016743,0.06465205397133586
Fp2,0.8857896083468433,1.0,0.7300916698668614,0.7966095361287604,0.15383953975538264,0.17320432087573392,0.07489384799696987,-0.010984630995242524,-0.04076341645807845,0.11592653506959792,0.6769040792188473,0.7775349087614641,0.03107850832665556,0.3992429015496156,-0.009250030305855438,0.00015104258942029813,0.6880985886172046,0.2875077314607749,0.1250456696854131
F3,0.8127400618251753,0.7300916698668614,1.0,0.5855723800047629,0.5075215849289649,0.07810850580481125,0.011713837395871932,-0.0382589214549399,-0.10329560329961371,-0.012937864601488465,0.6509327651272705,0.557892739512604,0.10549428369351582,0.31662456412861884,-0.05570718047494753,-0.12951177545668957,0.984909750174566,0.26384916181580026,0.07416907831952974
F4,0.5844692521106487,0.7966095361287604,0.5855723800047627,1.0,0.32379744152202494,0.4519123430312104,0.3887687742780666,0.3464533737614192,0.2882015284785078,0.3405786827272413,0.6665554019015812,0.9885101351148209,0.17074089361648154,0.560619562059546,0.363210522577859,0.2795945681901606,0.5656900404369246,0.5608411986281903,0.43171632868929244
C3,0.3045781180976168,0.15383953975538261,0.5075215849289649,0.32379744152202494,1.0,0.26831029292160713,0.5201661359261334,0.5310688635246207,0.24205644259871661,0.30134075211048705,0.5434962192262623,0.3024053833527091,0.3862035033764998,0.2635924062312702,0.23192389246833775,0.1911462767774703,0.5442556496821838,0.5121032546713583,0.5013950342731479
C4,-0.007743897836599274,0.17320432087573395,0.07810850580481127,0.4519123430312104,0.26831029292160713,1.0,0.30062822412412676,0.5356407373168751,0.42619608128124786,0.4164867602526832,0.15427444065479598,0.4876763591949832,0.17870512519895662,0.5858809095293579,0.32656540218935926,0.5039006306080379,0.11219161421645683,0.39972776500828083,0.31849532594311863
P3,0.022276526655204132,0.07489384799696987,0.011713837395871932,0.3887687742780666,0.5201661359261334,0.3006282241241267,1.0,0.7459961578782645,0.6971248280264889,0.5226848912678527,0.357946110236333,0.37344255072619664,0.5769811738856031,0.3812204370815486,0.6413778910450286,0.4437363968949649,0.02355765368725877,0.43609593896506316,0.9014965358521656
P4,-0.07153602312823346,-0.010984630995242524,-0.0382589214549399,0.3464533737614192,0.5310688635246206,0.5356407373168751,0.7459961578782645,1.0,0.626417681232703,0.6805738019070109,0.27641660237366295,0.3686055484852204,0.4444462834650192,0.5514753946740568,0.5444730847408672,0.7706799209913985,-0.03130409655624092,0.35039033444230394,0.7308026991173602
O1,-0.1315892006422724,-0.04076341645807845,-0.10329560329961371,0.2882015284785078,0.24205644259871661,0.42619608128124786,0.6971248280264889,0.626417681232703,1.0,0.7195580555172659,0.21902282294687955,0.3132265826082643,0.34766503664263504,0.38648784846724615,0.6491430925970123,0.48720787976253926,-0.124840425537864,0.20004306205760797,0.5943476872960176
O2,0.060456421574356996,0.11592653506959792,-0.012937864601488467,0.3405786827272413,0.3013407521104871,0.4164867602526832,0.5226848912678528,0.6805738019070109,0.7195580555172659,1.0,0.3678623284490777,0.38318201201917834,0.2783468333209823,0.503873443558299,0.48390106597796584,0.6221705465885079,-0.0341825585569848,0.18183166958319,0.3900489680734634
