window,start_time,end_time,total_connections,mean_strength,max_strength
0,0.0,4.0,342,5.91799253930569,41.870902790153174
1,2.8,6.8,342,4.549924379787584,54.20676072291653
2,5.6,9.6,342,4.552689078292246,44.495997769955196
3,8.4,12.4,342,10.884214861461949,93.83307311937578
4,11.2,15.2,342,12.327920681295504,72.9723938697955
5,14.0,18.0,342,4.669591390089381,55.59210366467525
6,16.8,20.8,342,5.883825296462933,43.9560294477544
7,19.6,23.6,342,4.383427046185427,50.46063462955885
8,22.4,26.4,342,4.684220907291649,51.17829668760185
9,25.2,29.2,342,5.212496082893053,62.55381905561893
10,28.0,32.0,342,4.257754857637953,68.42204187455073
11,30.8,34.8,342,8.793540933934327,49.679836032962314
12,33.6,37.6,342,5.1213898526204815,55.956156703950974
13,36.4,40.4,342,3.3626002486424635,40.97214982595071
14,39.2,43.2,342,8.094555536716657,52.589943668023224
15,42.0,46.0,342,9.844494314524344,42.87776833710789
16,44.8,48.8,342,3.9605258464591677,40.57372777233993
17,47.6,51.6,342,5.764447504909865,46.65756067143656
18,50.4,54.4,342,3.963144134994131,41.06744242279899
19,53.2,57.2,342,7.711329939004064,54.64708188680705
20,56.0,60.0,342,6.149050226748084,48.45921440023152
21,58.8,62.8,342,4.164919731956842,40.646158675294956
22,61.6,65.6,342,5.707717659648578,46.22112571415895
23,64.4,68.4,342,6.13958012427564,38.863807399180665
24,67.2,71.2,342,4.32692153044891,44.88178404825995
25,70.0,74.0,342,6.642723311753167,41.31793493061626
26,72.8,76.8,342,8.01108884039826,51.12079513536947
27,75.6,79.6,342,3.8875844600108955,53.699721310125746
28,78.4,82.4,342,5.807617546882547,53.10317899606886
29,81.2,85.2,342,5.097357124844257,43.165328657241936
30,84.0,88.0,342,6.038062579087016,30.292056205593465
31,86.8,90.8,342,4.185778414578052,41.18598495754139
32,89.6,93.6,342,4.415314494870763,46.76082970811969
33,92.4,96.4,342,3.461001593491191,55.89160576717919
34,95.2,99.2,342,6.110516694053302,66.87276801879295
35,98.0,102.0,342,12.10120552401772,68.50475874606039
36,100.8,104.8,342,11.782005904949248,64.09851834580944
37,103.6,107.6,342,4.4828221038187,35.905290969577045
38,106.4,110.4,342,7.563212226101355,36.69142518308632
39,109.2,113.2,342,5.901820017707705,28.240815593645934
40,112.0,116.0,342,6.22391875000783,40.99285549532947
41,114.8,118.8,342,7.8482530307900245,49.28568665887764
42,117.6,121.6,342,6.5657961526269775,31.549843917793087
43,120.4,124.4,342,12.791942768961713,96.74672439576909
44,123.2,127.2,342,4.483591814205763,66.68024595231972
45,126.0,130.0,342,5.541369863030184,42.2882674577881
46,128.8,132.8,342,7.719196136055368,49.63252613414612
47,131.6,135.6,342,3.953909091349023,67.58713066509002
48,134.4,138.4,342,7.6492702528944125,73.30867465657981
49,137.2,141.2,342,6.148529596491739,47.811291730073776
50,140.0,144.0,342,4.994032260202136,48.66081066580646
51,142.8,146.8,342,5.047721410661523,45.13073392985885
52,145.6,149.6,342,6.579705291380245,36.16849555645226
53,148.4,152.4,342,6.7445840839342965,54.915745239401474
54,151.2,155.2,342,10.582143104541286,47.80826103641575
55,154.0,158.0,342,4.632476749456747,31.16961237090944
56,156.8,160.8,342,4.384800234696025,20.22496670852247
57,159.6,163.6,342,5.45674018401354,40.954363467093664
