Source,Target,F-statistic,p-value
F7,T3,60.076856174608935,9.391803781851316e-15
O2,Fp1,59.75110143409371,1.2553656080040393e-26
T3,F4,59.08459847501075,2.4386955721938248e-26
F4,O2,58.973210348099,2.724927706502599e-26
P3,P4,58.402550636074636,4.811532447904223e-26
F4,P3,58.21500868113707,5.800107540679388e-26
C3,C4,56.62072215374928,2.8402038469793036e-25
T6,T3,55.71530350801977,7.001514117763648e-25
PZ,F4,55.60006239978031,7.853568077453903e-25
F8,F4,55.44408992183592,9.17425276377723e-25
F8,C4,55.35900626733567,9.986068230576241e-25
T6,O2,55.03252662088205,1.382595952392345e-24
F7,T4,54.59659154404688,2.134877427528109e-24
T4,Fp1,54.59652047465843,2.1350286412349972e-24
PZ,F7,53.29329127395354,7.825042452758956e-24
FZ,CZ,52.873274160148966,1.1893084391246326e-23
F7,FZ,52.814049623882426,1.2616262074804646e-23
O2,F7,52.416953833535096,1.8742254470592458e-23
T4,F7,52.402759935834375,1.9009295907370414e-23
T6,F3,52.30704796618726,2.0912098224197173e-23
T5,O1,51.78373321820632,3.523167350756879e-23
O1,F7,51.6519702124454,4.0176565294431366e-23
Fp2,F7,51.60964742741613,4.190773830341932e-23
T6,C3,50.88287249632698,8.648098566120676e-23
F3,O2,50.8622064973579,8.82810129430446e-23
PZ,Fp2,50.820330941047125,9.204411210065837e-23
P3,F3,50.29035862130498,1.5611151838690376e-22
CZ,C4,50.26144159119184,1.6067714545584486e-22
F8,T3,49.71178618933661,2.779219189999298e-22
CZ,P4,49.28780811781014,2.2543500787948074e-12
P4,F3,48.56803814838822,8.692106582224162e-22
P4,F4,47.16672263746082,3.514738070544632e-21
P3,F7,46.72085844423107,5.4822992315006684e-21
FZ,F7,46.65030180023398,5.881876862705321e-21
O1,Fp2,46.31303176148001,8.23315063415944e-21
P3,FZ,46.17742132686034,9.425212552403387e-21
P4,FZ,45.869547431923294,1.2811957801556261e-20
F3,P3,45.53552741911496,1.7875791426824404e-20
F4,T5,45.463071381207236,1.921512821964297e-20
P4,F7,45.06082792196051,2.869739704245033e-20
PZ,Fp1,44.89852453053697,3.3739009585898885e-20
PZ,C4,44.09634464954618,7.508414148593944e-20
C4,T3,43.984946493525996,8.39063817410189e-20
F8,T5,43.43443762185842,1.4528689955380837e-19
O1,F8,43.301188919894386,1.6593544642400134e-19
P3,C4,42.904892436355524,2.4636898627296707e-19
F7,C4,42.899822267754004,2.476179324336317e-19
F8,T4,42.52885777363099,3.584766533137197e-19
F3,F4,41.70936943231993,8.11756008544998e-19
Fp1,F7,41.22508702411317,1.3158394117180352e-18
F7,F3,40.847471462420536,1.917695357231849e-18
P4,Fp1,40.359215624068874,3.120969791451966e-18
F7,F4,39.77647770089969,5.581322297154072e-18
T4,F8,39.65178868905163,3.0746360179067113e-10
O2,Fp2,39.51165599771596,7.268811064259918e-18
O1,F3,38.95088412707399,1.271767407711478e-17
P4,T6,38.8078358442121,1.466837966544443e-17
F3,P4,38.64046026719284,1.7333924036931645e-17
F4,T3,38.30606048195622,2.4197829928919263e-17
P4,PZ,38.282135838018334,2.4782319218633083e-17
P4,P3,36.92957495295365,9.553752468987368e-17
P3,Fp1,36.85415097494161,1.0300417599097542e-16
FZ,F8,36.69514533345414,1.396618571125632e-09
O1,CZ,36.47424538120112,1.5047641592949413e-16
F3,O1,36.309193141181275,1.7741364240716566e-16
T6,P4,36.19727447926397,1.983730919714928e-16
O2,C3,36.067152606321415,2.258741943445478e-16
P4,Fp2,35.67148322820166,3.352117181599655e-16
F7,CZ,35.54999720844137,3.784100893787942e-16
O2,T3,35.47837427488116,4.064426246362531e-16
T4,P4,33.99989504156536,1.7770646264449444e-15
Fp1,T5,33.794698959041646,2.1808726592861513e-15
F7,O2,33.53617078975596,2.822746439153327e-15
F8,P3,33.337836542201316,3.440548360454148e-15
T3,T6,33.19346805798393,3.973708343949807e-15
C4,C3,33.04535575425186,4.6066735947689045e-15
O2,F3,32.991124223097565,4.862855692932595e-15
PZ,C3,32.67760231015864,6.649259889072304e-15
Fp1,PZ,32.61391143145496,7.085615310385464e-15
FZ,C4,32.4265990036631,8.542033702022348e-15
P3,F4,31.662020654692597,1.8321017898349994e-14
FZ,T6,31.504478400612843,2.1440480295169417e-14
T4,Fp2,31.414064704971214,2.3465164782771552e-14
T6,C4,31.36325851078142,2.4685688633968644e-14
T3,O1,31.02377205946421,3.4641396658463415e-14
F8,C3,30.98683212402953,3.594240790545834e-14
O2,F8,30.823080870209736,4.2323960863359165e-14
T3,O2,30.633055482734203,5.116288870514049e-14
F3,T3,30.41204820498439,6.37902795906854e-14
Fp2,PZ,30.396401188203463,6.47943335591867e-14
P4,O2,29.702153502810717,1.2956259809517402e-13
O1,C3,29.485817658587898,1.6079021502710754e-13
P3,PZ,29.207136245563728,2.1235758928316094e-13
T5,F7,29.062805641678786,2.4526513355053215e-13
F4,CZ,28.945380597429665,2.7576590161461167e-13
T5,O2,28.88848554220095,2.918805708489494e-13
C4,O2,28.792889520970324,3.211051669713698e-13
P3,T4,28.232610708635384,1.082955213133329e-07
CZ,P3,27.968350524779343,7.313172803399509e-13
F3,CZ,27.784101730727187,8.789918923520165e-13
T5,Fp1,27.683011532567992,9.723257797490827e-13
PZ,F8,27.476914654255808,1.194440394797739e-12
F4,P4,27.466183179654024,1.2073053145465855e-12
T5,F3,26.65665157129713,2.708934253449337e-12
T3,C4,26.251036907782737,4.061288501601414e-12
FZ,T4,25.98702778577716,5.286091044225883e-12
T4,FZ,25.90196172738508,5.754644995861179e-12
P3,O1,25.5438845261895,8.2277260732539e-12
F7,P4,25.018389538639994,1.3903984812094918e-11
P4,C3,24.5839425429128,2.145483317387022e-11
F8,P4,24.117308420618283,3.418800365921282e-11
O1,T4,23.82005891686026,4.600175705357785e-11
T4,F3,23.813303294427953,4.631311450958635e-11
F7,O1,23.539835588287406,6.085467921253406e-11
PZ,T3,22.871704408001975,1.1858761508694454e-10
T6,F8,22.871501003489268,1.1861170435029687e-10
P3,Fp2,22.673170667074526,1.4459020480677407e-10
FZ,T3,22.58937974724083,1.572089968807443e-10
T5,CZ,22.52766087156136,1.672029044687033e-10
P4,F8,22.381910729741815,1.9339870873028607e-10
O2,CZ,22.31984231111473,2.0576520182391976e-10
T5,C3,22.244376889896532,2.2187100859835854e-10
PZ,T5,21.885438608971,3.175197525078073e-10
P3,F8,21.86659738011883,3.2355060349578063e-10
FZ,O1,21.802963709270397,3.4477859513154485e-10
O1,T3,21.611575969351602,4.1739409033155613e-10
T4,T3,21.515915189066707,4.592353559184156e-10
C3,T4,21.47792351427404,4.769938152073395e-10
CZ,T4,21.217248337536187,6.188304279162303e-10
O1,P4,20.985955206916692,7.796302078800672e-10
T5,F8,20.95200367254596,8.065184727508861e-10
PZ,O2,20.90509750418661,8.451986448372203e-10
P3,C3,20.862206882101994,8.821890568135335e-10
T6,F4,20.858485195866177,8.85474112972453e-10
O1,F4,20.76908060185583,9.681738218389148e-10
P4,T3,20.70216118313122,1.0350907937053642e-09
T3,T4,20.477428085422716,1.2955474563246773e-09
PZ,T6,20.326837283524448,1.5058120686933482e-09
T6,T5,20.144719661212346,1.8061903813188549e-09
O2,F4,20.05916802626578,1.967304097644684e-09
T6,CZ,19.822365993931918,2.492213662395744e-09
T6,P3,19.688056994188873,2.8499876849577455e-09
