Channel,Out,In,Total
Fp2,18,18,36
F3,18,18,36
F4,18,18,36
PZ,18,18,36
C3,18,18,36
C4,18,18,36
P4,18,18,36
O2,18,18,36
T5,18,18,36
T3,18,18,36
F8,18,18,36
T6,18,18,36
FZ,18,18,36
Fp1,18,17,35
P3,17,18,35
F7,17,18,35
O1,18,17,35
T4,18,17,35
CZ,17,18,35
