window_idx,start_time,n_connections,mean_strength,max_strength
0,0.0,194,5.029531510643846,20.737434196893233
1,7.0,268,12.950422644639826,62.28330543685228
2,14.0,199,6.81752163833634,45.02342307996083
3,21.0,221,6.919074334629097,43.64887110397429
4,28.0,231,12.971768456825227,84.90551853656066
5,35.0,276,15.662519602299186,108.60440123659919
6,42.0,183,6.9507776674209305,60.23477395962151
7,49.0,220,13.852211770204796,144.96275626797475
8,56.0,208,5.649693331740757,32.337891847938856
9,63.0,221,7.313373089008576,50.49101607025255
10,70.0,125,3.44352466429324,15.579791002348633
11,77.0,249,12.740443971417095,70.61593419790655
12,84.0,212,8.19412974530166,51.57024329668697
13,91.0,230,8.230775902509128,39.76677620774164
14,98.0,139,3.8095771801004785,27.693003712425497
15,105.0,210,5.864765066581649,38.92626378663841
16,112.0,193,5.856661445216882,35.054049117576895
17,119.0,137,4.1744088242474815,48.53686220717889
18,126.0,221,8.252367676755732,37.14764524961339
19,133.0,161,4.437356850123675,21.3662968613588
20,140.0,258,8.296919037286942,35.95050266773974
21,147.0,208,5.726108877144347,32.934675566428986
22,154.0,203,6.3731323373333,52.22982058071279
23,161.0,216,6.650421726561785,31.14586934312069
24,168.0,250,9.630357572392198,77.80117997912271
25,175.0,222,7.168990877135954,31.561801039917277
26,182.0,243,7.49088623403735,41.191786822930794
27,189.0,319,35.93298497696961,405.458672783701
28,196.0,259,8.222174491571742,54.21126936354323
29,203.0,280,13.907765820652905,86.00267604467719
30,210.0,210,5.860493070458939,24.044403527899192
31,217.0,252,11.4918044869633,69.11684263310961
32,224.0,238,8.19595779377595,77.34264303702807
33,231.0,255,7.394485205534529,35.55729290377871
34,238.0,284,10.014765651631262,56.538057590767174
35,245.0,242,8.527476189973212,76.353446377475
36,252.0,256,9.997331698698769,90.31759357934317
37,259.0,257,10.89826253878497,60.413785416616854
38,266.0,255,9.13748025323433,55.50705796422771
39,273.0,231,8.0275410986403,70.58526023139926
40,280.0,243,7.801109747743845,44.15734032043742
41,287.0,231,9.504903535264855,74.23132717070165
42,294.0,203,5.2538017152140934,25.934627300643307
43,301.0,286,22.74121804062865,118.86977017208768
44,308.0,280,16.431686515200152,105.29879065003972
45,315.0,260,12.801896083558047,67.7447985153956
46,322.0,314,57.489629763733554,390.50463512898807
47,329.0,231,7.05842644356635,33.451685841341465
48,336.0,225,6.779322686694863,41.779111899867665
49,343.0,262,11.463989301253362,55.96971512491047
50,350.0,256,10.062605987893878,52.57059221441687
51,357.0,272,10.17993660889721,44.72915103746168
52,364.0,227,9.402076985805422,50.65707652484832
53,371.0,252,9.429543145338041,50.26838375523038
54,378.0,235,8.398343111199233,55.47492712018755
55,385.0,215,7.653459852540546,48.16653245321058
56,392.0,222,6.138953495986136,37.56248578529947
57,399.0,265,13.246392062709132,85.73703346428377
58,406.0,241,10.612535860095326,52.03619579058422
59,413.0,195,6.238117256500286,33.75214705556609
60,420.0,205,6.275722705295349,47.073125018975425
61,427.0,243,7.339181627918406,39.163198857885696
62,434.0,261,12.516018656145821,117.03709048631958
63,441.0,263,14.643841471502641,113.24881104345768
64,448.0,242,10.436029936582287,45.97594153343059
65,455.0,196,7.016342651435873,56.03498967905365
66,462.0,208,9.259548570259946,93.48632462608879
67,469.0,242,11.808843672815618,46.067511401273194
68,476.0,229,8.352574858354446,57.62701689226381
69,483.0,222,8.440383372786592,39.3665657008306
70,490.0,316,53.280088097329454,706.3190233126043
71,497.0,232,9.763502455636027,142.50782421364514
72,504.0,253,7.459296759806415,29.385931362859832
73,511.0,264,9.051007191899409,48.929066566823636
74,518.0,274,8.985618264329023,46.532318990405976
75,525.0,225,8.249252260419803,52.61207981454636
76,532.0,211,10.303601552209784,69.87753112641323
77,539.0,232,7.306008644984787,48.08778700115022
78,546.0,227,6.520053509878841,36.839549893514956
79,553.0,159,4.228966909879003,40.40866863009928
80,560.0,233,6.307715531812633,36.41720185529734
81,567.0,186,5.322379617766875,28.19603721022354
82,574.0,210,5.380295570192675,23.515665221103266
83,581.0,283,11.877615280116139,52.798304964766714
84,588.0,197,5.730594501932534,49.35134640929928
85,595.0,257,9.949261955858141,55.380042077364344
86,602.0,313,38.98745871337654,601.8308820547533
