Source,Target,F-stat,p-value
F3,C3,6068.87021507453,0.0
C3,FZ,4867.208325258702,0.0
F3,CZ,4280.075057907397,0.0
CZ,FZ,4255.393569139904,0.0
O2,T3,4219.41293239744,0.0
C3,F3,3882.6030916306536,0.0
O1,T3,3694.7382408285785,0.0
FZ,CZ,3500.367577087785,0.0
T6,P4,3173.50925623473,0.0
FZ,C3,3172.402214382264,0.0
O2,Fp1,2904.9223539641243,0.0
C4,CZ,2868.4584752749884,0.0
O2,F7,2850.275678329138,0.0
C4,C3,2832.084715674752,0.0
F4,C3,2817.3388702606067,0.0
O1,PZ,2680.0298702952573,0.0
F4,T6,2657.070452268167,0.0
F4,CZ,2654.8679018654493,0.0
F3,P3,2631.826184959812,0.0
Fp2,C3,2628.208096591311,0.0
T6,PZ,2616.7219602417867,0.0
T6,P3,2558.4614955927937,0.0
FZ,P3,2529.3820476934848,0.0
O2,C3,2518.3024996446097,0.0
T6,CZ,2510.4117779524486,0.0
Fp2,CZ,2497.7435233038786,0.0
FZ,C4,2495.933464209577,0.0
F3,T3,2456.8313429790737,0.0
O2,F3,2405.248560732922,0.0
T3,F3,2393.077526525928,0.0
O1,CZ,2349.5154554778037,0.0
F3,T6,2333.915067477339,0.0
O1,F3,2295.7254447247374,0.0
O1,F8,2280.4531675192384,0.0
F4,C4,2245.8947133368342,0.0
F4,P3,2238.973738121369,0.0
F8,CZ,2190.6980154607904,0.0
C4,P3,2171.6743013424953,0.0
F8,C3,2152.441084654473,0.0
Fp2,P3,2150.5051990799902,0.0
Fp1,C3,2128.9009916155437,0.0
O2,P3,2119.8454907096443,0.0
CZ,F3,2114.793248963634,0.0
O2,T5,2086.3063942762756,0.0
Fp1,CZ,2070.595908378841,0.0
O2,Fp2,2064.664991781726,0.0
O1,C3,2058.0120021532603,0.0
FZ,T3,2057.509764252198,0.0
O1,P3,2030.8821609016497,0.0
P4,T6,2030.0429827172993,0.0
F8,P3,2027.4950624553178,0.0
FZ,T5,1970.9201991075192,0.0
O1,F4,1946.584239897263,0.0
FZ,P4,1891.5344583271099,0.0
P4,P3,1833.9873031056613,0.0
F3,PZ,1823.1003026395504,0.0
F3,C4,1822.8237952035408,0.0
P3,FZ,1811.0424374670824,0.0
FZ,T6,1791.2874103583788,0.0
C4,FZ,1783.6095278067864,0.0
T3,CZ,1740.5456520564562,0.0
P4,CZ,1710.1861029207344,0.0
F7,C3,1709.1822858720193,0.0
F4,T5,1693.4714721328755,0.0
