,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
Fp1,1.0,0.8540799923588764,0.8703308008308006,0.7836465347807021,0.6000018478234748,0.4174300773001326,0.2875673872388005,0.3726971751557881,0.17387562920306618,0.23293032705150932,0.8154710849362702,0.5312159200459642,0.6833426435812384,0.056079048278613666,0.30975434261309825,-0.06380234938675103,0.8679604585122919,0.3663829448240544,0.3851077272062622
Fp2,0.8540799923588764,1.0,0.9638997019014738,0.8641617057043945,0.6303003370353933,0.5051943595903615,0.3586535529678254,0.4230315802488802,0.15629648311295005,0.29647595450501457,0.7430091867513673,0.6737457887833045,0.6426010870390914,0.2912774724762786,0.2576673282061819,0.093375912987061,0.9824391728366628,0.43091046093545565,0.42165142935757566
F3,0.8703308008308007,0.9638997019014737,1.0,0.9014013452023205,0.6380331656442773,0.49652788032783635,0.2493460358324114,0.4329901638139216,0.1875615367531068,0.3335111973184695,0.6731711184398188,0.5868315321058235,0.6178482670515769,0.33379955959040014,0.2984314980574589,0.13917650373937113,0.9849673009172787,0.41961340479933645,0.4459208694746014
F4,0.7836465347807021,0.8641617057043945,0.9014013452023204,0.9999999999999999,0.7688695809233075,0.6300531925784036,0.23024486096451716,0.42901764337331877,0.058964491044543356,0.21450577491539746,0.6116814080344721,0.7394149021648918,0.6883099674644205,0.4492840968185739,0.3165517733334242,0.19961018597570282,0.9059215681887128,0.4415477813636596,0.4424876140428159
C3,0.6000018478234748,0.6303003370353933,0.6380331656442773,0.7688695809233076,1.0,0.6646067919301136,0.4484438445946711,0.5827013910165151,0.23843538157779973,0.3196669632243692,0.6290124043395349,0.5872362054152089,0.7801037107974307,0.41794901112320776,0.4982076045205807,0.29390071716095667,0.6578762542880273,0.6031158805060478,0.5864639496922585
C4,0.41743007730013265,0.5051943595903615,0.49652788032783635,0.6300531925784036,0.6646067919301136,1.0,0.5206169876584618,0.7276144700790392,0.32201004538229183,0.328032308143867,0.3591208853912999,0.5759295277617158,0.5135487505411245,0.6039893329565419,0.5108488998635685,0.4304721409911528,0.5387927257922652,0.7669937282811927,0.7080254188883031
P3,0.2875673872388005,0.3586535529678254,0.24934603583241144,0.23024486096451713,0.4484438445946712,0.5206169876584618,1.0,0.5410311011263408,0.740756157085848,0.6325771234605091,0.4870812616260712,0.26776508191859866,0.4981543866803814,0.07594284541157213,0.5228269320533577,0.03907679703480687,0.29251827128834773,0.5633772917977776,0.5197176994236085
P4,0.3726971751557881,0.42303158024888027,0.43299016381392164,0.4290176433733187,0.5827013910165151,0.7276144700790392,0.5410311011263409,0.9999999999999999,0.5098987234017315,0.5229472907677601,0.2635149609430388,0.28011735439311986,0.3615440346686045,0.4475847200080648,0.5838326166474561,0.45664737241031433,0.4354061782222775,0.9892008236934586,0.9924086091271584
O1,0.17387562920306618,0.15629648311295005,0.18756153675310683,0.058964491044543356,0.23843538157779973,0.3220100453822919,0.7407561570858479,0.5098987234017315,1.0,0.8410538668171342,0.21718842607837538,-0.13523621714835923,0.2650058079658483,0.04458208502718075,0.6111190034125469,0.17207774240754115,0.14468706675230322,0.46845488311985245,0.5182828544057881
O2,0.23293032705150934,0.2964759545050145,0.3335111973184695,0.21450577491539746,0.3196669632243692,0.328032308143867,0.6325771234605091,0.5229472907677601,0.8410538668171342,1.0,0.2034726445397105,-0.01640441644920986,0.22457935102857904,0.14168827026551048,0.5357171370449537,0.23862781456279758,0.2804812465973886,0.4719969477158699,0.5338752390137621
