Channel,Out,In,Total
Fp2,18,18,36
T4,18,18,36
P4,18,18,36
T6,18,18,36
F8,18,18,36
T3,18,18,36
FZ,18,18,36
F3,18,17,35
Fp1,17,18,35
O2,17,18,35
F4,18,17,35
C4,18,17,35
PZ,17,18,35
C3,16,18,34
P3,17,17,34
F7,17,17,34
O1,18,16,34
T5,17,17,34
CZ,17,17,34
