,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
Fp1,1.0,0.9109405952693954,0.8998071635052491,0.9189061071846214,0.6187110081510604,0.5787256580256849,0.44387358275784583,0.38833873924029433,0.38573606612827727,0.3786593693898386,0.7263394505126568,0.7607408513144698,0.6192173609077556,0.5324557670720962,0.4236270273918736,0.3406666109163927,0.9339837548672059,0.4839184736450668,0.41550501708061144
Fp2,0.9109405952693954,1.0,0.7618573914410133,0.8615660603379862,0.5576426180075819,0.546456420835941,0.43238024835962885,0.40983597496851504,0.40613845315545255,0.4067908443971072,0.7161215721140338,0.8497571232900499,0.5934897023138445,0.5699954029719592,0.4458447890915372,0.3627810253498047,0.7824669226516417,0.4150424968290208,0.4063733371933259
F3,0.8998071635052491,0.7618573914410133,1.0,0.8838039573463997,0.7784956478093309,0.6550009619424744,0.5106454831460754,0.4106129351355274,0.4031112077640836,0.3914391585839101,0.7288973464428965,0.6790981243198805,0.671826863930758,0.5559303177815726,0.4537480210784351,0.37400667411222704,0.9454989563858779,0.6180248689777513,0.4583886646991003
F4,0.9189061071846214,0.8615660603379862,0.8838039573463995,1.0,0.6890524673955722,0.7229630500981669,0.5208173112435767,0.45457305100181555,0.430944189052014,0.42714653587140733,0.7208019697414343,0.7895076227187546,0.6295994191300396,0.5774561129534568,0.4711797681613588,0.38982785430675404,0.927795251432075,0.5867568297166202,0.5042420310335033
C3,0.6187110081510603,0.5576426180075819,0.7784956478093309,0.6890524673955722,1.0,0.7769292105249413,0.7599629382634865,0.5851199805899225,0.5743145526944052,0.5604263554890211,0.6818791569368485,0.5774881734253362,0.7545970906429018,0.6031354090866035,0.634804843165058,0.47011648190151184,0.7177969297763315,0.829099069732011,0.6579042217462906
C4,0.5787256580256849,0.546456420835941,0.6550009619424744,0.722963050098167,0.7769292105249413,1.0,0.7126358839523675,0.6685612165933129,0.5579878217746144,0.5697249647827306,0.6545596103400615,0.5698520163092003,0.6630648193792884,0.623665888584415,0.5758935807268145,0.5548925926892747,0.6576919327351023,0.7671593586895765,0.7133305799625066
P3,0.4438735827578458,0.43238024835962885,0.5106454831460754,0.5208173112435767,0.7599629382634864,0.7126358839523675,1.0,0.8246779746833405,0.8066586742418547,0.8020901897937719,0.6755786126574869,0.4669291365669817,0.7189634097993772,0.603679377930948,0.8494459280915924,0.6320471097602502,0.4904117811311019,0.7028929405513166,0.90973861504092
P4,0.38833873924029433,0.40983597496851504,0.4106129351355274,0.45457305100181566,0.5851199805899225,0.6685612165933129,0.8246779746833405,1.0,0.8788316054505005,0.9108020051851091,0.6738031340393923,0.4401969002766604,0.601727239622238,0.6225664421577377,0.7421377012423069,0.8140399573005397,0.4046260734160602,0.5404013724122123,0.8615452646779832
O1,0.38573606612827727,0.40613845315545255,0.4031112077640836,0.430944189052014,0.5743145526944052,0.5579878217746144,0.8066586742418547,0.8788316054505004,1.0,0.9917713089407288,0.6666507834427773,0.4603700431325612,0.5801118302343907,0.612166507967565,0.7876757419086488,0.7126522757965074,0.3949752499838438,0.48190134384064853,0.7697832296960228
O2,0.3786593693898386,0.4067908443971072,0.3914391585839101,0.42714653587140733,0.5604263554890211,0.5697249647827306,0.8020901897937719,0.9108020051851091,0.9917713089407288,1.0,0.669999247058114,0.45620884021942404,0.5783510212030598,0.6108241990108244,0.7707077734339776,0.7421101208130164,0.3843265684991683,0.4768176698637125,0.7814149366320072
F7,0.7263394505126567,0.7161215721140338,0.7288973464428964,0.7208019697414343,0.6818791569368483,0.6545596103400615,0.6755786126574868,0.6738031340393924,0.6666507834427773,0.669999247058114,1.0,0.698058485101293,0.7467173083079856,0.6935494546032056,0.6843858023130053,0.6288196584797523,0.7004107216851774,0.5151662867136038,0.6255300634577478
F8,0.7607408513144698,0.8497571232900499,0.6790981243198807,0.7895076227187546,0.5774881734253362,0.5698520163092003,0.4669291365669817,0.4401969002766604,0.4603700431325612,0.45620884021942404,0.698058485101293,1.0,0.5773706587701769,0.6696633311393553,0.47760285875851666,0.41659060733628406,0.6825685979066596,0.4291042940386931,0.41959430568141093
T3,0.6192173609077556,0.5934897023138445,0.671826863930758,0.6295994191300396,0.7545970906429018,0.6630648193792884,0.7189634097993772,0.601727239622238,0.5801118302343907,0.5783510212030598,0.7467173083079856,0.5773706587701769,1.0,0.5801267945409947,0.7913656168952113,0.536301376441288,0.6161425677669522,0.585658595534893,0.6098392782293128
T4,0.5324557670720962,0.5699954029719592,0.5559303177815728,0.5774561129534568,0.6031354090866035,0.623665888584415,0.603679377930948,0.6225664421577377,0.612166507967565,0.6108241990108244,0.6935494546032056,0.6696633311393553,0.5801267945409947,1.0,0.6090806418395067,0.7197121838927393,0.5426455952940056,0.48330967607579256,0.5385422838758444
T5,0.4236270273918736,0.4458447890915371,0.4537480210784351,0.4711797681613588,0.634804843165058,0.5758935807268145,0.8494459280915925,0.7421377012423068,0.7876757419086488,0.7707077734339774,0.6843858023130052,0.47760285875851666,0.7913656168952113,0.6090806418395068,1.0,0.6540961580320626,0.42539232454688786,0.517059558608564,0.7135736155801604
T6,0.3406666109163928,0.3627810253498047,0.374006674112227,0.38982785430675404,0.47011648190151184,0.5548925926892747,0.6320471097602502,0.8140399573005397,0.7126522757965074,0.7421101208130163,0.6288196584797523,0.4165906073362841,0.5363013764412878,0.7197121838927393,0.6540961580320627,1.0,0.35088579872197423,0.3671001267740896,0.6497516067263626
FZ,0.933983754867206,0.7824669226516416,0.9454989563858779,0.9277952514320749,0.7177969297763315,0.6576919327351023,0.4904117811311019,0.40462607341606016,0.3949752499838438,0.3843265684991683,0.7004107216851773,0.6825685979066596,0.6161425677669522,0.5426455952940055,0.4253923245468879,0.35088579872197423,1.0,0.6231053138412134,0.4624372712450683
CZ,0.4839184736450668,0.4150424968290208,0.6180248689777513,0.5867568297166202,0.829099069732011,0.7671593586895765,0.7028929405513166,0.5404013724122123,0.48190134384064853,0.4768176698637126,0.5151662867136038,0.4291042940386931,0.585658595534893,0.48330967607579256,0.517059558608564,0.3671001267740896,0.6231053138412134,1.0,0.6832358076349131
PZ,0.41550501708061144,0.4063733371933259,0.4583886646991003,0.5042420310335033,0.6579042217462906,0.7133305799625067,0.90973861504092,0.8615452646779832,0.7697832296960226,0.7814149366320073,0.6255300634577478,0.41959430568141093,0.6098392782293128,0.5385422838758445,0.7135736155801604,0.6497516067263626,0.46243727124506834,0.683235807634913,1.0
