,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
Fp1,1.0,0.9351897150145325,0.9165671742873018,0.7913332431569244,0.48996159579770887,0.28673135042279996,0.14118660485019202,0.07649326812324923,0.02179123268758015,0.06525580292233617,0.8770404452742471,0.7948189196998954,0.24384383245267985,0.2009463796940893,-0.07808550571534648,-0.18355621399397562,0.7757057563628845,0.4704277461314034,0.2448421706835696
Fp2,0.9351897150145326,1.0,0.8872526708985354,0.8001148678909077,0.4235869569370916,0.2888153081108621,0.11204691840959509,0.05923170820546673,0.001563974348568059,0.05497425022017126,0.7710432501125921,0.8589377348687643,0.1669910797281191,0.23537891396878377,-0.11492464801050757,-0.18195065322171813,0.7320143413545821,0.42814207034529606,0.21970865455394203
F3,0.9165671742873018,0.8872526708985354,1.0,0.8902243498779578,0.5608750482084115,0.3753611882432388,0.14633688625320304,0.08530901337643684,0.00496621153585283,0.06421724104627069,0.8059844988944054,0.8040630716728483,0.24776026572558454,0.2374412094979755,-0.056635400103820066,-0.15567338272928027,0.9183979416261303,0.5644736079660579,0.25325944512531123
F4,0.7913332431569244,0.8001148678909077,0.8902243498779578,1.0,0.5583307899274845,0.42809486107101186,0.1579350049951369,0.11579227520978472,0.04496032854904799,0.10588241717007374,0.7457854581745285,0.8808279845280941,0.21597828008039216,0.3228340100949715,-0.05564352040994196,-0.08744938538775986,0.9055475860134068,0.5867050732171173,0.25945539181000027
C3,0.48996159579770876,0.4235869569370916,0.5608750482084115,0.5583307899274846,1.0,0.5690713964356303,0.5539781888673654,0.36236508834123504,0.14780619957569094,0.14077155863340002,0.5586996492927951,0.4502910214627701,0.5128570441416487,0.301756880881252,0.3056706692945185,0.07419808795736779,0.6369662852470637,0.8153815428140151,0.5632632997215757
C4,0.28673135042279996,0.2888153081108621,0.3753611882432388,0.42809486107101186,0.5690713964356303,1.0,0.3824013266039055,0.5074912840709623,0.02780072005470826,0.07085736558682526,0.2930606151030663,0.3782532517091657,0.28475720270370836,0.5479560222217549,0.11726593461745671,0.3688928361737517,0.42583812425414125,0.6608506490251915,0.4908895785345811
P3,0.14118660485019202,0.11204691840959509,0.14633688625320304,0.15793500499513688,0.5539781888673655,0.3824013266039055,1.0,0.6729484290942395,0.5550660491864952,0.3736253704591263,0.14672573271727615,0.09466744983063342,0.26647566256093674,0.13346381711901617,0.6551778817190053,0.24333897819200065,0.16813095430302213,0.4673803542277509,0.8401590196451323
P4,0.07649326812324923,0.05923170820546673,0.08530901337643684,0.11579227520978472,0.36236508834123504,0.5074912840709623,0.6729484290942395,1.0,0.48368853916823895,0.5464687813396018,0.05946850109848965,0.07237219327044776,0.04283663756698923,0.21736906656841412,0.2635455298051966,0.5697128043851241,0.10951253495385302,0.42932498584173456,0.7988432213824864
O1,0.021791232687580153,0.0015639743485680619,0.0049662115358528325,0.04496032854904799,0.14780619957569094,0.02780072005470826,0.5550660491864952,0.48368853916823895,1.0,0.7009484531439707,0.0028305595605677735,-0.027822656044822536,-0.06068379829505212,-0.04403284484980099,0.39863656013371795,0.1815807312410194,0.043187315406855886,0.11824252529510478,0.48123679893026317
O2,0.06525580292233617,0.05497425022017126,0.06421724104627069,0.10588241717007377,0.14077155863340002,0.07085736558682526,0.3736253704591263,0.5464687813396018,0.7009484531439707,1.0,0.05539763638209046,0.06296228708537877,-0.12674529083683808,0.007972843929967607,0.10169589129726335,0.35882018260400217,0.09664932446967459,0.17129246578276688,0.4542535505020501
F7,0.8770404452742471,0.7710432501125921,0.8059844988944054,0.7457854581745285,0.5586996492927951,0.2930606151030663,0.14672573271727615,0.05946850109848965,0.002830559560567758,0.05539763638209044,1.0,0.7479386549921744,0.42347981335206686,0.22692809021602164,0.0054505115768143046,-0.14756832623709493,0.7299378891736692,0.47397468753257693,0.2232213699893098
F8,0.7948189196998954,0.8589377348687643,0.8040630716728483,0.8808279845280941,0.4502910214627701,0.3782532517091657,0.09466744983063342,0.07237219327044776,-0.02782265604482253,0.06296228708537879,0.7479386549921744,1.0,0.19541461872406493,0.4261630046999631,-0.13392848506080704,-0.065697001975655,0.7295647407845653,0.4689193014747829,0.20754372268914983
T3,0.24384383245267985,0.1669910797281191,0.24776026572558457,0.21597828008039216,0.5128570441416487,0.2847572027037083,0.26647566256093674,0.04283663756698922,-0.06068379829505212,-0.12674529083683808,0.42347981335206686,0.19541461872406493,1.0,0.2953155792042122,0.44124256623839353,-0.06286183600396042,0.26394241023804405,0.32131248562251213,0.17763854369364035
T4,0.2009463796940893,0.23537891396878377,0.2374412094979755,0.3228340100949715,0.301756880881252,0.5479560222217549,0.13346381711901617,0.21736906656841412,-0.04403284484980099,0.007972843929967605,0.22692809021602162,0.4261630046999631,0.29531557920421225,1.0,-0.007061543898517704,0.3694605703683156,0.26342805856730017,0.32180578405847465,0.20232538765324656
T5,-0.07808550571534649,-0.11492464801050757,-0.05663540010382005,-0.05564352040994195,0.3056706692945185,0.11726593461745671,0.6551778817190053,0.2635455298051965,0.39863656013371795,0.10169589129726335,0.0054505115768143046,-0.13392848506080707,0.44124256623839353,-0.007061543898517708,1.0,0.0980759808021522,-0.02270851549850954,0.1660055851985007,0.3518626957226531
T6,-0.18355621399397562,-0.18195065322171813,-0.15567338272928027,-0.08744938538775986,0.0741980879573678,0.3688928361737517,0.24333897819200065,0.5697128043851241,0.1815807312410194,0.35882018260400217,-0.14756832623709493,-0.065697001975655,-0.06286183600396043,0.3694605703683156,0.09807598080215217,1.0,-0.10169244036901252,0.12914323877737882,0.25917821980981726
FZ,0.7757057563628845,0.7320143413545821,0.9183979416261303,0.9055475860134068,0.6369662852470637,0.42583812425414125,0.16813095430302216,0.10951253495385302,0.043187315406855886,0.0966493244696746,0.7299378891736692,0.7295647407845653,0.263942410238044,0.26342805856730017,-0.02270851549850954,-0.10169244036901251,1.0,0.6657698486014396,0.26735746371763447
CZ,0.4704277461314034,0.42814207034529606,0.5644736079660579,0.5867050732171173,0.8153815428140151,0.6608506490251915,0.4673803542277509,0.42932498584173456,0.11824252529510475,0.17129246578276688,0.47397468753257693,0.4689193014747829,0.32131248562251213,0.32180578405847465,0.1660055851985007,0.12914323877737882,0.6657698486014395,1.0,0.6171143061118246
