,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
Fp1,1.0,0.960154994580817,0.9609562738685706,0.8706021117102904,0.5205082968428366,0.35070082382784057,0.24123712049933244,0.26333676446090604,0.188992406814304,0.18920515508773111,0.8811822980738,0.8037703390359017,0.43785262822891297,0.21856167413241862,0.17145266853425442,0.13965708264698323,0.9486601422780863,0.3516992751226181,0.2694485604828173
Fp2,0.9601549945808172,1.0,0.9885414783522368,0.9534190304542879,0.5135369860888401,0.4087927096513672,0.2549598905457723,0.2914563161353866,0.20688782615207796,0.21036211562829393,0.7855837660155347,0.8827291324105403,0.36722751836018885,0.24409931993217762,0.1784302883230972,0.13633918947747548,0.981924378280915,0.3851760653072843,0.299751580456311
F3,0.9609562738685706,0.9885414783522366,1.0,0.9400573468319182,0.5512860208988962,0.4178643825451143,0.2689497540985355,0.30323366151254927,0.2159027943308426,0.21392352700243533,0.7909144463020427,0.8415881964583102,0.3814223277481152,0.2295857070369273,0.18459297578457162,0.13859755296145518,0.9944934390249719,0.40710247342044037,0.31141019201526354
F4,0.8706021117102904,0.9534190304542879,0.9400573468319182,1.0,0.5344550436851292,0.5214369144311595,0.2791259921021098,0.32730990910311253,0.21597529063642837,0.2170089773197756,0.6967223563900519,0.9263230742671867,0.33283962997832106,0.3231324700595833,0.1897487032898701,0.1346011720207157,0.9393845939531305,0.4364560767351674,0.3374816749500168
C3,0.5205082968428367,0.5135369860888401,0.5512860208988963,0.5344550436851291,1.0,0.6232318058969029,0.7663616931670905,0.6726749043644474,0.40063685223762546,0.29896510932465437,0.5732858827438465,0.43385276930505706,0.5870295559601224,0.28277893283212113,0.4045171417480774,0.19799601239956327,0.5798129304702858,0.7817042117902898,0.6902891261395161
C4,0.35070082382784057,0.4087927096513672,0.4178643825451143,0.5214369144311595,0.6232318058969029,1.0,0.5278673971874086,0.6369242182790019,0.3760403624556631,0.36775288725572586,0.3118838100610229,0.4574953027110724,0.2839391491922954,0.5298436319852534,0.24019294880503822,0.38837678381868634,0.440453386745042,0.7300084127524498,0.651181426766676
P3,0.24123712049933244,0.2549598905457723,0.26894975409853555,0.2791259921021098,0.7663616931670905,0.5278673971874086,1.0,0.8342063812708865,0.6939269909047192,0.5044503158144111,0.27983063551419296,0.23052162492667166,0.47941105642317006,0.2680045419858902,0.6188927492022103,0.28701567504462966,0.28750297161664207,0.8235528449725722,0.8567191060476033
P4,0.26333676446090604,0.2914563161353866,0.30323366151254927,0.32730990910311253,0.6726749043644475,0.6369242182790019,0.8342063812708865,1.0,0.7863469572995665,0.7353658508116607,0.2529859722639147,0.2857205347998396,0.281448643655245,0.33180934475278034,0.40542933457255925,0.39103827456145,0.32458983929347796,0.9454593632118182,0.9849529274304445
O1,0.188992406814304,0.20688782615207796,0.2159027943308426,0.21597529063642837,0.40063685223762535,0.3760403624556631,0.6939269909047193,0.7863469572995665,1.0,0.906118479328083,0.15180285918514622,0.18984080861392919,0.24732327240873891,0.2681958846748803,0.4922866689547436,0.3550971057984206,0.23147752167347807,0.6526262807452272,0.7758222287338165
O2,0.18920515508773111,0.21036211562829393,0.21392352700243533,0.2170089773197756,0.29896510932465437,0.36775288725572586,0.5044503158144111,0.7353658508116607,0.906118479328083,1.0,0.13293624853215114,0.194835013621698,0.1751554943497748,0.2562748422919611,0.3191032658782003,0.45495324574630186,0.2248430423717505,0.5927545754025351,0.7114429302842441
