Source,Target,F-stat,p-value
P3,C3,2922.125856950273,0.0
PZ,T6,2812.0749770171437,0.0
CZ,T6,2398.109042446515,0.0
O2,P4,2222.7313142342796,0.0
P4,O2,2128.4562645898236,0.0
Fp2,F7,2006.7739362057046,0.0
F4,FZ,1981.2580450772086,0.0
O2,T6,1960.3715581300612,0.0
P3,F3,1745.6933736618266,0.0
CZ,P4,1651.063795926965,0.0
Fp1,F7,1615.1536424777319,0.0
F3,F7,1527.5771125147855,0.0
PZ,P4,1527.385030410267,0.0
PZ,O2,1395.5891283034505,0.0
PZ,C4,1283.5736985870385,0.0
C3,F7,1233.7481442735182,0.0
P3,T3,1216.8025954891648,0.0
PZ,T4,1209.2294512324313,0.0
FZ,F7,1194.0884667064104,0.0
F3,FZ,1155.637471367612,0.0
T3,O2,1147.6973946920318,0.0
CZ,O2,1127.8479771104867,0.0
F4,Fp1,1124.1623692964129,0.0
O2,T5,1119.4349196451662,0.0
O2,F8,1085.69106589514,0.0
CZ,C4,1083.028742292086,0.0
CZ,T4,1026.121787025195,0.0
T3,F7,1010.2289002798553,0.0
F4,F7,1002.2289705102763,0.0
O1,F8,975.7354692544998,0.0
P3,FZ,945.2897798921798,0.0
T5,T3,940.5694063988344,0.0
CZ,C3,891.811328653192,0.0
P3,C4,863.1395996899223,0.0
P3,Fp1,855.2089469983082,0.0
O1,T4,853.0950702515111,0.0
CZ,Fp1,843.1838422809351,0.0
P3,F7,831.6750245031608,0.0
Fp1,F8,816.4940488927751,0.0
O2,T4,813.4884643759092,0.0
T6,P4,795.6254538111281,0.0
CZ,Fp2,782.8820807641442,0.0
T5,F7,774.1456050632605,0.0
F4,F8,751.3885602981856,0.0
P3,P4,749.4992408516204,1e-323
Fp2,F8,744.850834526227,1e-321
O1,T6,720.5776017223325,2.415457005234e-311
CZ,O1,719.4407462219073,7.4034178679866e-311
F8,F7,716.0291427010097,2.13423865208425e-309
CZ,FZ,715.6785108115905,3.01496779351352e-309
C4,T4,713.5600465706143,2.4312104108052494e-308
P4,F7,706.8309585714684,1.8433871185379774e-305
PZ,FZ,697.1073192200115,2.677119243154444e-301
Fp1,T3,693.2102867420035,1.247281807709721e-299
T6,O2,688.0079997785617,2.104948163366978e-297
Fp2,T3,683.5902952946226,1.6398288664039635e-295
PZ,C3,682.0271801570605,7.658236380271968e-295
O1,F7,679.4471477379559,9.748837381070753e-294
PZ,Fp1,677.8451663678027,4.7313421722612244e-293
T5,O2,677.684713550145,5.542399399236957e-293
CZ,F3,676.8359047482716,1.279975142048068e-292
F3,Fp1,673.9596688038479,2.1827363406038666e-291
T6,CZ,664.7162459370818,1.9868094307269586e-287
O1,T3,661.6840075597056,3.9545068195615027e-286
P3,T4,657.3510621996662,2.8402705577655565e-284
PZ,O1,653.8830366852208,8.693763863337429e-283
F8,Fp1,653.5187847922668,1.2453024189892676e-282
CZ,T3,643.0203988564026,3.9255881101633037e-278
T4,T3,634.2891901290376,2.1678378373797056e-274
P3,O2,632.3018402566931,1.5412815199143902e-273
T3,P4,628.9254473288635,4.3173241568993285e-272
P4,T6,626.5173921166938,4.6507048315890986e-271
C3,T3,617.8635509772473,2.3863698687872933e-267
T5,T6,615.8238150038391,1.7879012785235802e-266
T4,PZ,613.4701826584092,1.8263693175889982e-265
C3,F4,605.9712765264637,3.0024059270027167e-262
CZ,F8,605.0911916003032,7.160171388965429e-262
F4,F3,600.0115300716321,1.0805394468006603e-259
O2,Fp1,599.0449848850903,2.8069018807881866e-259
F3,F8,598.5351112780138,4.6444469319786734e-259
F3,T3,586.6229049385263,5.987507694111426e-254
T6,T3,585.4417653130361,1.923184005902969e-253
P3,F4,582.8476323123386,2.4951219685902664e-252
F4,T3,570.081475335717,7.508684515325695e-247
Fp2,FZ,556.0686263019762,7.774989798802434e-241
FZ,F8,556.0548815741134,7.881351966769076e-241
T6,T4,545.7234029892959,2.150750100163378e-236
F4,Fp2,542.0961528153796,7.76663758106656e-235
F7,O1,540.3588810920453,4.328202105280227e-234
O2,FZ,536.9509656062814,1.2586952467518688e-232
PZ,CZ,536.3225718499717,2.3432086228516262e-232
O2,Fp2,533.8447690915903,2.7167054504473216e-231
C3,F8,526.2809041995845,4.820647840831713e-228
PZ,F3,525.2914830844747,1.282771545827593e-227
T6,O1,520.2253423733125,1.925931394644815e-225
FZ,PZ,519.7350872985744,3.128051883009525e-225
FZ,T3,516.9517720770779,4.910633601635461e-224
P3,T6,510.3537061498212,3.3596930229940526e-221
T3,T6,502.9316768618216,5.199676163663143e-218
Fp1,PZ,499.8926978534063,1.0523077936578137e-216
CZ,F4,499.5066960697755,1.5418918141606316e-216
PZ,T3,493.9604792114519,3.7331220813845814e-214
T5,P4,489.11057544965394,4.539485940495462e-212
CZ,F7,488.9659045287293,5.238449238087847e-212
T4,F8,480.6104560993437,2.04947437603364e-208
T3,P3,480.6058205976178,2.879910676386124e-106
C4,T3,477.4195353063654,4.82778465826353e-207
Fp2,PZ,477.08221611085594,6.742196763356604e-207
PZ,Fp2,473.2439949165459,3.0156370274549522e-205
P3,O1,459.21844111908854,3.2508707672108672e-199
O2,T3,454.99099895796195,2.1410872311569297e-197
T5,F3,454.0367416748675,5.510300989824298e-197
P4,T5,452.9300544616513,1.6493198134930864e-196
C4,F7,451.0039977824392,1.1116737018108032e-195
P3,Fp2,445.6592351188291,2.2166481553096697e-193
Fp2,Fp1,443.04522071153525,2.9548472108266107e-192
F7,T3,437.03940376326403,1.1353559678150889e-189
O2,C4,436.714468625022,1.566666948977231e-189
C3,Fp1,435.3403679474221,6.114606095884542e-189
T5,F8,432.55764070847897,9.639686253276349e-188
F7,F3,428.8097071987801,4.767331027938369e-95
T4,CZ,423.80239939089404,5.659717957720272e-184
P4,F8,423.4561886621669,7.976947184470868e-184
C3,F3,422.9966047146229,1.2580180548640943e-183
Fp1,P3,419.7972761990211,2.9994715458308833e-182
Fp2,O2,419.2865226357899,4.9766841061720546e-182
C3,P3,416.39745665274575,8.726030011790651e-181
P3,T5,412.6366941725485,3.6317021740127945e-179
Fp2,O1,410.9533023001096,1.9274311797418122e-178
F3,Fp2,409.12811647952594,1.1774229606119663e-177
FZ,O2,406.01219394230213,2.586819137034248e-176
CZ,P3,404.1883452029618,1.5784254778217463e-175
Fp1,O1,398.74939566779017,3.473248135370416e-173
C3,T4,397.4886313236633,1.2127588114565245e-172
PZ,F8,397.1389025849502,1.7155868961080774e-172
P4,T4,395.7490774249777,6.80865563085868e-172
Fp2,T4,393.9558679195582,4.0316966387432563e-171
T6,PZ,392.20962183993294,2.278831948264961e-170
F3,P3,389.6450947712479,2.9005079817312014e-169
T4,F7,387.52681852691563,2.371600229260626e-168
PZ,F7,386.31193020992805,7.914827157584905e-168
CZ,T5,380.7587326360109,1.9545439340343286e-165
F3,F4,373.74433406708357,2.0587461215321848e-162
T6,F8,372.1868991595305,9.655454710503905e-162
O2,F7,371.33335505338755,2.2522318415671896e-161
T3,T4,370.5520067956693,4.8904168533270736e-161
C3,FZ,361.43785370903026,4.1458868387292326e-157
F8,FZ,361.33933672144013,4.5717564249953646e-157
Fp2,P4,357.54726462414226,1.9711395868777843e-155
T5,C4,357.16029043649667,2.8942503873951786e-155
T3,F8,355.57876814940903,1.3909781830541555e-154
T5,O1,355.0329544861976,2.391235225831623e-154
T4,C4,346.03667468222466,4.227752380278638e-77
FZ,O1,344.84139084313574,5.925503373665876e-150
FZ,F4,342.15677173991014,8.518353096268029e-149
Fp1,O2,339.1151942708829,1.7457705739181374e-147
C4,F8,331.9924782342811,2.0600002450919745e-144
PZ,F4,329.665146610695,2.0782385574477145e-143
P3,F8,328.30856781559083,7.995383086101324e-143
FZ,P4,323.2615639513537,1.202119616131677e-140
F4,PZ,323.11506284640546,1.390422379911615e-140
F8,Fp2,321.7382997862087,5.458552523325271e-140
Fp2,CZ,319.7941171909419,3.765475736982259e-139
F7,T4,317.9598317215716,2.329068669205152e-138
F7,C3,314.47936091105396,2.990671243128913e-70
O1,T5,310.2258825393882,5.060067776267143e-135
F4,O2,309.73171470658934,8.267867989004851e-135
T5,F4,306.81034444210275,1.5067170961158779e-133
Fp2,P3,306.12995928712616,2.962405059208503e-133
Fp1,P4,300.9116987029195,5.292548745321859e-131
C3,P4,300.3290180696265,9.44375553441086e-131
FZ,P3,296.2358234125104,5.518452424224816e-129
F7,F8,294.8151092236381,2.2649041212558916e-128
O2,F4,294.61365640638957,2.766978157777643e-128
CZ,PZ,293.46042202541526,8.705615178909926e-128
FZ,Fp1,291.12208204083606,8.895710544402485e-127
