Channel,Participation_Coefficient
Fp1,0.36780702029395484
Fp2,0.3505704321608243
F3,0.4063153752646188
F4,0.38550099464186427
C3,0.4796397463023364
C4,0.4919564969149146
P3,0.48125233668296097
P4,0.5025026120936584
O1,0.4119056740475119
O2,0.34620657305326996
F7,0.409885094154529
F8,0.38435747886434235
T3,0.4820480757828247
T4,0.4915045885161169
T5,0.32361682220007226
T6,0.4599805292937583
FZ,0.37260013262191627
CZ,0.49202551199148536
PZ,0.5010214124290805
25+,0.5265952004499357
26+,0.5720915591203083
27+,0.49783083767674674
