Channel,Out,In,Total
Fp1,18,18,36
Fp2,18,18,36
F4,18,18,36
T6,18,18,36
C3,18,18,36
C4,18,18,36
P3,18,18,36
P4,18,18,36
T4,18,18,36
T3,18,18,36
F8,18,18,36
PZ,18,18,36
CZ,18,18,36
T5,18,18,36
F7,17,18,35
FZ,18,17,35
F3,17,17,34
O2,17,17,34
O1,17,17,34
