Channel,Out,In,Total
F3,18,18,36
C3,18,18,36
F4,18,18,36
T6,18,18,36
FZ,18,18,36
P3,18,18,36
P4,18,18,36
O2,18,18,36
T4,18,18,36
T3,18,18,36
F8,18,18,36
PZ,18,18,36
T5,18,18,36
Fp2,18,17,35
Fp1,18,17,35
C4,17,18,35
F7,18,17,35
CZ,18,17,35
O1,15,18,33
