Channel,Participation_Coefficient
Fp1,0.47516808990645243
Fp2,0.4763669018097765
F3,0.4978590605737323
F4,0.49413486753130087
C3,0.49094099451748696
C4,0.49458346638220574
P3,0.3516215945718004
P4,0.34036542388772706
O1,0.38509511014017717
O2,0.3223609069727835
F7,0.4969083619366712
F8,0.49553226401414585
T3,0.48046466890564077
T4,0.49261102290420045
T5,0.21553944154529336
T6,0.26206508158179886
FZ,0.4958975394915467
CZ,0.49586403973506477
PZ,0.3610934151950058
25+,0.43768373331555344
26+,0.31808097696644855
27+,0.49923661439997735
