,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
Fp1,1.0,0.9377185487927068,0.9887999809257898,0.9058215565921764,0.37604124804315214,0.5920746355661105,0.3538761063450915,0.4719834626583532,0.34294403073193747,0.23120949746082062,0.765997562190483,0.5778319126876494,0.2688800632323006,0.4672280558516517,0.05721951966116854,0.34170161138468047,0.9864118052888236,0.4985249415075003,0.47281865949017726
Fp2,0.9377185487927068,1.0,0.9647906271820734,0.9859692610003121,0.3920732906937245,0.5731107381387233,0.3217537029223268,0.4503270855024911,0.362666588785301,0.263287862423942,0.7167850596155154,0.7741639284522892,0.2836638864996353,0.5171097391813899,0.040218780867465394,0.4023499888463098,0.9632660561276049,0.48957501544573684,0.45321628026456745
F3,0.98879998092579,0.9647906271820734,0.9999999999999999,0.9403778428246617,0.37785373243729614,0.5780990479479317,0.3360225761091713,0.4506531027180271,0.3443079124841049,0.24165437273651985,0.7549230784784577,0.6343365154328562,0.28251930582555973,0.48198171377251664,0.039597014392959214,0.3688869219830053,0.9953617828425851,0.502029672341014,0.4510641237014112
F4,0.9058215565921766,0.9859692610003121,0.9403778428246617,1.0,0.37140248530944325,0.5758205001829891,0.30650313190119116,0.4403617610735504,0.39370723084127823,0.2938400502029658,0.6729850441733876,0.8136755066858026,0.2595404626058915,0.5474407373575366,0.024750856963931672,0.4526382992426175,0.9405672633606754,0.4524628192398266,0.442411446626067
C3,0.3760412480431521,0.39207329069372454,0.37785373243729614,0.37140248530944325,1.0,0.6378317167772682,0.8691300599794219,0.7972700074896493,0.6139036416354173,0.4079807625017521,0.38353228612405627,0.4211861750506129,0.8223673737275365,0.5073207272150572,0.5452124990082886,0.44083456271224536,0.3839145482091789,0.8671502285241035,0.7963480550022554
C4,0.5920746355661105,0.5731107381387233,0.5780990479479317,0.5758205001829891,0.6378317167772682,1.0,0.5877704375208049,0.7836296069653298,0.48972444230604495,0.6055362296242349,0.44078702182104257,0.5284251777562803,0.3910171816228053,0.6908212465636056,0.15246566523057048,0.6973648181124988,0.5831338467750142,0.584953191688492,0.7811076197042243
P3,0.3538761063450915,0.3217537029223268,0.33602257610917124,0.30650313190119116,0.8691300599794219,0.5877704375208049,1.0,0.886603283900602,0.7080842480834033,0.5211676136329821,0.31520703823977597,0.2878598697150515,0.7640061053791308,0.47188030885886906,0.6855204112229103,0.46179146725658105,0.3501481415986379,0.745888303107885,0.8861975307726262
P4,0.4719834626583532,0.4503270855024911,0.4506531027180271,0.44036176107355035,0.7972700074896492,0.7836296069653298,0.886603283900602,1.0,0.6448860347645589,0.6514574778425872,0.42154929553830034,0.4329768131358542,0.5913954872942889,0.6215779746446944,0.4475071594812811,0.6396141469744946,0.4668265244349625,0.7016039967644105,0.9991840474309317
O1,0.3429440307319374,0.362666588785301,0.3443079124841049,0.3937072308412782,0.6139036416354173,0.48972444230604495,0.7080842480834033,0.6448860347645589,1.0,0.7454765309349718,0.43527837350422566,0.4494630450207477,0.6457393793056441,0.6371500009690206,0.6133688309306401,0.6475213695241945,0.3737554779500937,0.4560791929428015,0.6483982249352449
O2,0.2312094974608206,0.263287862423942,0.24165437273651982,0.2938400502029658,0.40798076250175214,0.6055362296242349,0.5211676136329821,0.6514574778425872,0.7454765309349717,1.0,0.35392052989305967,0.3928272099877065,0.2981057737971671,0.6887694772823464,0.20466543651626742,0.8393758086231579,0.26329584988915394,0.26298634731281323,0.6525644866851061
F7,0.765997562190483,0.7167850596155154,0.7549230784784576,0.6729850441733876,0.3835322861240562,0.4407870218210426,0.3152070382397759,0.42154929553830034,0.4352783735042256,0.3539205298930596,0.9999999999999998,0.47455425085061603,0.29041343932211755,0.3226260305563425,0.11498733181542681,0.31727574048627744,0.7428769481644706,0.4753340530521333,0.4222310920442572
F8,0.5778319126876494,0.7741639284522892,0.6343365154328563,0.8136755066858026,0.42118617505061295,0.5284251777562803,0.2878598697150515,0.4329768131358542,0.44946304502074774,0.3928272099877064,0.474554250850616,0.9999999999999999,0.2498595060327083,0.674369520739366,0.027591015606359473,0.5888236589507924,0.6355513585264664,0.4513668154599098,0.4358812320047629
T3,0.26888006323230057,0.28366388649963525,0.28251930582555973,0.2595404626058915,0.8223673737275365,0.3910171816228053,0.7640061053791309,0.5913954872942889,0.6457393793056441,0.2981057737971671,0.29041343932211755,0.2498595060327083,1.0,0.374031362540165,0.6642700020485028,0.31900340263289856,0.29761829404267476,0.6915575137481853,0.594914405935137
T4,0.4672280558516517,0.51710973918139,0.48198171377251664,0.5474407373575366,0.5073207272150573,0.6908212465636056,0.471880308858869,0.6215779746446944,0.6371500009690205,0.6887694772823464,0.32262603055634254,0.6743695207393658,0.37403136254016506,1.0,0.10868329112918455,0.9179696436282173,0.518702059315734,0.4137817133023357,0.6278320696651715
T5,0.05721951966116853,0.040218780867465394,0.039597014392959214,0.024750856963931672,0.5452124990082886,0.15246566523057048,0.6855204112229103,0.4475071594812811,0.6133688309306401,0.20466543651626742,0.11498733181542682,0.027591015606359473,0.6642700020485028,0.10868329112918455,1.0,0.0831281327642129,0.046358235356312436,0.47682077432037445,0.4502840524130532
T6,0.34170161138468047,0.40234998884630974,0.3688869219830053,0.4526382992426175,0.44083456271224536,0.6973648181124988,0.4617914672565811,0.6396141469744946,0.6475213695241945,0.8393758086231579,0.31727574048627744,0.5888236589507924,0.31900340263289856,0.9179696436282173,0.08312813276421288,1.0,0.3970518424804038,0.3154187319562192,0.6416778153108377
FZ,0.9864118052888234,0.963266056127605,0.995361782842585,0.9405672633606754,0.3839145482091789,0.5831338467750142,0.3501481415986379,0.4668265244349625,0.3737554779500937,0.26329584988915394,0.7428769481644705,0.6355513585264664,0.29761829404267476,0.518702059315734,0.04635823535631244,0.39705184248040387,1.0,0.48249389223527017,0.46911328304915356
CZ,0.4985249415075003,0.4895750154457368,0.502029672341014,0.4524628192398266,0.8671502285241035,0.584953191688492,0.745888303107885,0.7016039967644105,0.45607919294280147,0.26298634731281323,0.47533405305213333,0.45136681545990986,0.6915575137481853,0.4137817133023357,0.47682077432037445,0.31541873195621917,0.4824938922352701,1.0,0.6958218614692637
