Source,Target,F-statistic,p-value
C3,FZ,688.9099436316047,3.017748683550626e-150
F3,FZ,673.4746034346143,5.839257172852698e-147
F8,C4,419.58970513822203,1.3286669836244314e-180
O1,P3,373.4071612696574,1.0054722886149293e-82
C4,F4,353.889198836988,9.622056440564107e-153
Fp2,C3,327.00018653933324,2.6161832604144585e-141
PZ,P3,306.9672871396074,2.08776838185766e-68
F7,FZ,305.1016764525884,5.543836075392464e-132
Fp1,C4,296.03158993766795,4.076152600546682e-128
P3,O1,295.3593133109523,6.68429247078589e-66
Fp1,T6,259.48857506664297,1.6211342108089914e-112
Fp1,C3,259.37115741771174,1.8196966372555502e-112
C3,F3,259.2351621408768,4.2638405410257976e-58
F7,F4,257.26034742404363,1.4525933352923198e-111
O2,P3,254.8876526150988,3.714853563855241e-57
Fp2,F3,249.838947870102,2.1623567494126195e-108
FZ,F3,245.3475144270261,4.301721053198684e-55
T3,FZ,241.4739659993481,8.181768374014727e-105
CZ,FZ,239.58031640352738,5.2852569854757185e-104
F7,T6,239.37920981948625,6.443433286871635e-104
CZ,F4,237.41828293540402,4.448684331932529e-103
F7,C4,236.71018586145436,8.93847407486529e-103
Fp2,FZ,236.22028269173302,1.448526101797685e-102
F7,Fp2,234.90090361496246,5.31630615641247e-102
C4,T4,231.63427117823196,1.3301480613535053e-100
T6,C3,223.70482207739937,3.305911876322459e-97
T6,F3,215.86225423862948,7.570299857028153e-94
Fp1,F4,215.23400824266577,1.4071138666656077e-93
O2,FZ,210.92298200285637,9.907702469465268e-92
Fp1,FZ,204.45112418336092,5.897131872132128e-89
C4,FZ,199.40101773451408,8.64040001192015e-87
O2,C3,199.33248130468024,9.245543432058498e-87
Fp1,F3,199.1899008996188,1.0643696520258701e-86
O1,F8,197.066735603059,1.2374628580980527e-44
T6,FZ,196.40857751018933,1.6605512274714024e-85
O1,T6,192.5263175031772,1.195323642090795e-43
Fp1,Fp2,192.4599355636372,8.213571898220803e-84
F8,T6,192.38276462816353,8.864385132855882e-84
O2,F4,192.0799363896168,1.195648627150524e-83
P3,FZ,191.7587917719454,1.6421825142253857e-83
C3,Fp2,190.60756930110927,5.1225492730058755e-83
PZ,FZ,189.11591771730124,2.2371931748411479e-82
O2,F3,188.14614480167822,5.833940342043317e-82
Fp2,P3,183.9736133177531,3.607734648890901e-80
Fp1,P3,183.20938174695178,7.68015768278292e-80
Fp1,PZ,178.68398993936947,6.741245350628725e-78
C3,F4,177.83826270551796,1.5559185942702875e-77
Fp1,CZ,176.49552614529352,5.871406928820446e-77
Fp2,C4,176.21611767231747,7.740420144607514e-77
C4,Fp2,175.97286698835714,9.845928597150269e-77
C4,F8,171.40592310704088,9.022998330311679e-75
PZ,F4,171.36167917840382,9.426752138759554e-75
P3,PZ,170.07175479912885,8.96286093353373e-39
F4,C4,165.94262265624366,2.010363438927526e-72
T3,T6,163.06112641479862,3.483007339703834e-71
F7,F3,161.66629176356918,1.3855960484704031e-70
T6,T3,160.66061179926683,3.7500879353462875e-70
F3,F4,160.64654369929698,3.802685422868923e-70
T3,F4,160.38540132315728,4.9246612885396315e-70
O1,O2,156.08349187507284,9.83733185259317e-36
O2,T3,154.046555318128,2.6212557863570898e-67
Fp1,O2,153.67779840427306,3.776876444215848e-67
P3,F4,152.22388018624505,1.5943409477809897e-66
F7,C3,151.4563778589632,3.410115234926355e-66
F3,Fp2,150.43065462939404,9.420432778775227e-66
O1,PZ,149.6340114638252,2.487189479249646e-34
T3,C4,148.04627492359563,1.0000512311518983e-64
PZ,C3,147.96991038141672,1.0786558518714126e-64
Fp2,CZ,147.93167241873226,1.120307529115578e-64
F4,C3,147.84161666241454,1.2248691844765663e-64
F4,P3,145.3337274266686,1.4701512005793593e-63
T6,F4,144.57149524674963,3.1291220698880347e-63
F4,CZ,142.81178096310538,1.7899996454529717e-62
PZ,F3,141.1318165606312,9.463109282559477e-62
T3,CZ,140.31898807176302,2.6486487451183876e-32
CZ,Fp2,138.54922650401355,1.2243862245548103e-60
O2,Fp2,138.375945515621,1.453876809820973e-60
F7,P3,137.5212367853247,3.392729200454056e-60
O1,T3,137.45889489751403,3.6090525857924816e-60
F8,PZ,136.8330922625043,6.712209765550318e-60
