Channel,Out-degree,In-degree,Total_degree
Fp1,18,18,36
Fp2,18,18,36
F3,18,18,36
F4,18,18,36
C3,18,18,36
C4,18,18,36
F7,18,18,36
O2,18,18,36
T5,18,18,36
T4,18,18,36
T3,18,18,36
PZ,18,18,36
T6,18,18,36
O1,18,17,35
F8,18,17,35
FZ,17,18,35
CZ,17,18,35
P4,16,18,34
P3,18,16,34
