source,target,consistency
FZ,C4,0.7324561403508771
C4,T4,0.7192982456140351
FZ,Fp2,0.7105263157894737
F4,C4,0.7105263157894737
FZ,F3,0.7105263157894737
T4,C4,0.706140350877193
F4,F3,0.7017543859649122
F3,C4,0.7017543859649122
CZ,C4,0.7017543859649122
T6,F7,0.6973684210526315
C4,Fp2,0.6973684210526315
F8,FZ,0.6929824561403509
C3,C4,0.6929824561403509
T6,Fp1,0.6929824561403509
F8,C4,0.6885964912280702
Fp2,C4,0.6842105263157895
F3,Fp1,0.6842105263157895
F4,F8,0.6842105263157895
F3,F4,0.6842105263157895
C4,F4,0.6842105263157895
F4,FZ,0.6842105263157895
P4,F8,0.6798245614035088
C3,FZ,0.6798245614035088
F4,Fp2,0.6754385964912281
Fp2,FZ,0.6754385964912281
FZ,F8,0.6754385964912281
T6,T4,0.6754385964912281
C4,F3,0.6754385964912281
F3,FZ,0.6710526315789473
Fp2,F3,0.6710526315789473
C4,C3,0.6666666666666666
C4,F8,0.6666666666666666
Fp2,F8,0.6666666666666666
C4,FZ,0.6666666666666666
CZ,Fp2,0.6666666666666666
P4,F4,0.6666666666666666
P3,Fp2,0.6666666666666666
F3,F8,0.6666666666666666
O2,F8,0.6666666666666666
CZ,FZ,0.6666666666666666
CZ,F8,0.6622807017543859
T6,F8,0.6622807017543859
T6,F4,0.6622807017543859
O1,F4,0.6622807017543859
F8,T6,0.6535087719298246
PZ,F8,0.6535087719298246
P4,T4,0.6535087719298246
O2,Fp2,0.6535087719298246
C3,F4,0.6491228070175439
C3,F8,0.6491228070175439
O2,T4,0.6491228070175439
T4,T6,0.6491228070175439
T6,Fp2,0.6491228070175439
FZ,F4,0.6491228070175439
PZ,F4,0.6447368421052632
FZ,C3,0.6447368421052632
T4,F7,0.6447368421052632
PZ,T4,0.6447368421052632
F8,CZ,0.6447368421052632
PZ,Fp2,0.6403508771929824
F4,CZ,0.6403508771929824
O1,Fp2,0.6403508771929824
F8,F3,0.6403508771929824
F8,F4,0.6403508771929824
CZ,F4,0.6403508771929824
P3,F4,0.6403508771929824
PZ,FZ,0.6359649122807017
C3,Fp2,0.6359649122807017
F7,Fp1,0.6359649122807017
P4,Fp2,0.6359649122807017
Fp2,C3,0.6359649122807017
F3,Fp2,0.6359649122807017
T6,FZ,0.6359649122807017
F8,F7,0.631578947368421
P3,F8,0.631578947368421
F8,T4,0.631578947368421
C4,Fp1,0.631578947368421
Fp1,F7,0.631578947368421
FZ,CZ,0.6271929824561403
CZ,C3,0.6271929824561403
P3,T4,0.6271929824561403
P4,Fp1,0.6271929824561403
O2,F4,0.6271929824561403
P3,FZ,0.6271929824561403
F7,T6,0.6271929824561403
O2,FZ,0.6271929824561403
CZ,T4,0.6271929824561403
F7,FZ,0.6271929824561403
T6,F3,0.6271929824561403
Fp1,F3,0.6271929824561403
O1,F8,0.6228070175438597
P4,FZ,0.6228070175438597
Fp2,F7,0.6228070175438597
F3,C3,0.6228070175438597
F8,Fp2,0.6228070175438597
