Source,Target,F-stat,p-value
F3,FZ,6705.215915039015,0.0
FZ,F3,5232.484063014807,0.0
FZ,Fp1,870.20377094427,2.1124299447612203e-187
Fp1,FZ,611.0183271113892,1.3909484841175636e-258
F7,FZ,541.7568134445014,4.397967383561332e-230
F7,F4,472.2070537174,2.779543600425013e-201
F7,CZ,434.86628714676493,9.616212814363747e-186
F7,T3,424.57113328129594,1.8908759505766973e-181
F7,Fp2,359.3094056503241,3.889288762466225e-154
C4,CZ,330.0052372527016,3.5293032768663776e-73
Fp1,Fp2,312.65287087758526,1.8614482452877407e-69
F3,CZ,310.72844002925166,1.0707657593380492e-133
F7,F3,302.9609788060688,2.0246601608480892e-130
CZ,F7,298.31272637888566,2.231907463469714e-66
CZ,Fp1,295.9428975071243,7.206512238992363e-66
Fp1,F4,295.92639971900894,1.887561549065452e-127
F3,Fp2,294.50594934960895,1.4669723050778197e-65
Fp1,CZ,292.9674132321768,3.3541275419792485e-126
F7,Fp1,286.3157513179349,2.1680088157168966e-123
F7,T4,262.67568315746064,2.1813189388572908e-113
F8,F4,262.395059930954,2.868075078664683e-113
O1,O2,258.3971745337402,8.556723130607145e-58
CZ,F3,257.53043051157584,1.3150056233738585e-57
F3,F4,248.22665683406612,2.9064616444008946e-107
C4,T4,232.03409842138635,2.172421327847491e-100
F8,FZ,222.9986532642247,1.5029818247334598e-96
F8,T4,222.85423191169627,1.7312447019725684e-96
Fp2,CZ,216.83318627418583,6.296740788153417e-94
F7,F8,214.38977612229178,6.897874147960532e-93
C4,T3,206.64609753712293,1.3646018501138856e-89
F8,CZ,206.40612770362003,1.7266073157790063e-89
T4,C4,204.11948376829324,1.625710716120246e-88
FZ,CZ,202.59564669729087,7.246709068615973e-88
F8,Fp2,196.7545547560746,2.234045989653572e-85
C3,T3,194.53725549573187,1.9690930712964083e-84
C3,CZ,189.872311733243,1.920660752377824e-82
C4,F4,186.3173828704463,6.308133104732396e-81
O1,P4,183.22677993859824,1.3142995623091955e-79
Fp2,F4,182.72985312711802,2.141777390878056e-79
CZ,Fp2,182.25380134291584,2.3315414435802435e-41
FZ,F7,179.75331341469507,3.993188074444508e-78
T3,C4,176.4144988353292,1.0639689547714063e-76
T3,O1,170.30797636866617,4.319772459406744e-74
Fp2,Fp1,169.02528014577413,1.7067364094818554e-38
T4,O1,163.28132167582015,4.354245603955245e-71
T4,O2,163.21960745126967,4.627012964405746e-71
T3,O2,162.46041339754606,9.770793844175154e-71
F4,F3,161.91155635104656,5.940891326261722e-37
F4,CZ,156.79466479727927,2.5901477314824255e-68
F7,C3,155.75760445027382,7.195223673853163e-68
CZ,O2,152.41102124276736,1.946350031423911e-66
T4,C3,149.590239196646,3.138577888101032e-65
CZ,O1,149.28150053723803,4.2551653834215855e-65
CZ,C3,145.80542035620394,1.8529661443743775e-33
T3,C3,142.5271219979365,3.3243632813785914e-62
P4,O1,141.60988715925777,8.216529569795827e-62
F4,F7,135.24016715668668,3.6532912617330474e-31
C4,FZ,134.9219439242971,6.040934279470924e-59
T6,O2,134.55981144185841,8.637022433856469e-59
CZ,T5,133.19414290694223,3.3260288022732616e-58
