Source,Target,F-stat,p-value
C3,F3,1522.5392540360851,0.0
C3,F7,1423.127957962099,0.0
C4,F4,1410.3357985730574,0.0
CZ,F3,1405.176877848282,0.0
CZ,FZ,1399.054705019474,0.0
F3,Fp1,1346.7953133174055,0.0
FZ,Fp1,1261.161108752591,0.0
F3,F7,1215.962729669422,0.0
C4,F8,1212.3277729967988,0.0
CZ,F4,1133.9919655285603,0.0
C3,FZ,1108.3793289471764,0.0
FZ,Fp2,1080.7763680832113,0.0
FZ,F7,1039.3006875906658,0.0
F4,Fp2,985.2332709950655,0.0
CZ,F7,984.1679247112544,0.0
C3,F4,896.2706732980279,0.0
C4,FZ,894.1858836380208,0.0
C4,F7,834.1059885091945,0.0
T3,F7,810.6531671438921,0.0
C4,F3,804.2634639232936,0.0
T4,O2,773.6205822852281,0.0
CZ,Fp1,773.3772976895805,0.0
Fp2,FZ,723.4168928814415,5.04728865216e-313
F3,Fp2,694.5611142305455,1.2263140666933833e-300
F4,F7,692.1942884838114,1.2727918672017564e-299
F4,F8,673.7162812077376,1.0947949318103625e-291
C4,Fp2,657.9126487386967,6.720968941092734e-285
C3,Fp1,646.2950084847768,6.586567610231428e-280
T3,Fp1,615.5516281280694,1.5277268556931904e-135
CZ,Fp2,609.3416367051647,5.024666126292685e-264
CZ,F8,594.8421181529069,8.621883978159388e-258
T4,O1,593.7628973970983,2.5101783042422477e-257
F7,F3,589.5089503537281,1.6948451192156507e-255
Fp1,F3,581.9579547012055,2.997641087383971e-252
Fp1,FZ,564.6290599455778,8.538683083630117e-245
P3,P4,562.8484640526151,4.9830517687714124e-244
C3,Fp2,521.8329084038193,2.2425818724890846e-226
C4,Fp1,520.9180665266889,5.5543873370126846e-226
T3,Fp2,519.296401331169,1.0564610745845541e-114
Fp2,F4,514.9319695798439,2.099494435557366e-223
T3,F3,509.0454227647277,7.194123888250485e-221
C3,F8,499.43394471111156,9.917451636111207e-217
F3,F4,498.5004907569621,2.502939197778438e-216
FZ,F3,494.3115429651599,1.5949920264426185e-214
FZ,F8,476.9450373637179,4.834792299164623e-207
F4,Fp1,453.6087218426331,5.510861858726476e-197
