Source,Target,F-statistic,p-value
Fp2,T5,537.6248016984683,2.2407310870893593e-230
FZ,Fp2,515.1763642092218,6.152114364610591e-221
Fp1,T5,470.3741151296827,4.623065447596273e-202
Fp1,T6,455.841558959376,6.291605325110301e-196
Fp2,T6,425.737586766732,3.327792249392954e-183
T4,T5,402.24211754859925,2.9423471789133592e-173
FZ,Fp1,361.3399421729115,6.579737441572835e-156
F8,T5,329.67106039421026,1.9100817740114695e-142
CZ,FZ,325.2312595767098,1.480998161996506e-140
F4,Fp2,318.1064996220671,1.5988355303670405e-137
F4,T5,316.15866496021977,1.0796746714288208e-136
F7,Fp1,311.8151094192765,7.644711699061462e-135
F3,T5,303.91107835941665,1.783288372938967e-131
F3,T6,285.503083923256,1.2620975038372541e-123
F8,Fp2,280.7876760745522,1.2982270284335613e-121
F4,T6,259.90218515476926,1.0790957641851624e-112
T6,T5,257.42669805501237,1.2332261576077459e-111
Fp2,F4,254.60354156682672,1.9852278897686934e-110
Fp1,T4,249.26235929795243,3.814961163457115e-108
FZ,F3,240.74470350666908,1.678259127243727e-104
Fp2,P3,236.31809548705036,1.3154218797723645e-102
F8,T6,235.95688566754924,1.877822209827042e-102
T4,O2,233.08911326138355,3.170417922204864e-101
Fp2,FZ,232.90554512660478,3.7992214763609327e-101
Fp1,FZ,232.86696305132918,3.9464822264282986e-101
FZ,F8,231.66887045665862,3.9283211351012966e-52
T4,O1,230.8184530659009,2.9727394659989585e-100
Fp2,T4,229.72604350786725,8.72673417413906e-100
Fp2,T3,225.0643138097647,8.65045259039131e-98
FZ,F7,219.89357765825483,1.3944802938002849e-49
CZ,F4,216.60446993147121,3.6397540293919865e-94
F7,T6,215.4336307666518,1.1555421957993253e-93
FZ,T5,214.93451627173533,1.8909119367627768e-93
Fp2,C3,211.4262169629767,6.029320508580776e-92
FZ,F4,202.99642533762213,2.48006926648929e-88
Fp1,P3,202.18901840193755,5.504663555834793e-88
T4,PZ,196.47967478993962,1.5479242600578475e-85
F8,O2,194.05071485077536,1.705737492730172e-84
F7,T5,182.89668868238147,1.0462478498687457e-79
C3,F8,181.58390593788425,2.833280816323494e-41
Fp2,O2,181.55926027825993,3.925817701123031e-79
Fp1,O2,179.03793268813848,4.750337617444395e-78
FZ,T6,178.7416115627223,6.367835975274836e-78
Fp1,C3,174.5709451178555,3.9400782523603255e-76
F8,O1,174.38454262037027,4.737889960429742e-76
C4,F4,174.09702406743315,6.296616353762779e-76
T6,F7,173.08132940102448,1.7198176857468859e-75
F8,T3,172.51870148173876,3.0006635523788686e-75
Fp1,F4,169.42595877241763,6.3999173051040484e-74
F7,Fp2,169.24611494018777,7.646477233921205e-74
C4,F8,169.03359605892862,9.43607737901926e-74
Fp1,C4,167.03460953902425,6.822062600046674e-73
T4,T3,166.50193411295777,1.1557577517012998e-72
Fp2,C4,163.31881997145248,2.6987936633840053e-71
Fp2,O1,162.32543470790677,7.215133872061633e-71
T3,T6,161.96054281967008,1.0354395835881297e-70
T4,P3,161.41425869362573,1.7782749623524756e-70
CZ,F3,161.39787370565963,1.8073561478622947e-70
T6,Fp1,160.67062896010688,3.713080064212426e-70
Fp2,PZ,159.33979314016102,1.386708001789217e-69
Fp1,T3,158.05168464648207,4.964873106370101e-69
T3,O2,157.1287944127954,1.2382383465788228e-68
T4,T6,150.37553573606206,9.949143917567465e-66
CZ,C3,150.07529196846767,1.3395741765824853e-65
F3,T4,148.64051856823184,5.550304311483518e-65
T6,T3,148.3976350932605,7.060401582786325e-65
T4,F7,145.47715944652282,1.2753558801457808e-63
T3,T4,143.7595229186404,6.996936528321219e-63
C3,T6,143.27793606622595,1.127713186436456e-62
Fp1,PZ,142.3588596828778,2.8042475243121864e-62
F7,O2,140.4854935010262,1.795887588213525e-61
F3,C4,140.0044664585942,2.8931497817364734e-61
CZ,Fp2,137.87245352829586,2.3950769929520993e-60
Fp1,O1,137.6189018080543,3.079608280196628e-60
FZ,C4,136.90453800549943,6.253170368359498e-60
F3,F7,134.59325186214375,4.676429911495434e-31
C3,T5,133.76972265288933,1.3999470511884767e-58
F4,T4,133.10709932178895,2.700875693673914e-58
F4,C4,132.82678675399646,3.56647530504911e-58
F8,F7,132.68034564305106,4.123958941480435e-58
F4,T3,132.37946299450886,5.5579200663386e-58
F4,O2,127.51206617682061,6.946441242353213e-56
F4,FZ,126.85337949745029,2.2718844005648026e-29
