Channel,Out,In,Total
O2,18,18,36
C4,18,18,36
F4,18,18,36
T5,18,18,36
PZ,18,18,36
F8,18,18,36
F7,18,18,36
CZ,17,18,35
P4,17,18,35
Fp1,18,17,35
P3,18,17,35
T6,18,17,35
T3,17,18,35
C3,17,18,35
F3,18,16,34
T4,16,18,34
O1,16,18,34
FZ,17,17,34
Fp2,18,15,33
