Channel,Participation_Coefficient
Fp1,0.4682066465915996
Fp2,0.46753483822956665
F3,0.49658765443372654
F4,0.4807988422396322
C3,0.503814403563118
C4,0.5034126127445346
P3,0.483123246296596
P4,0.4863691814248533
O1,0.41615706173963707
O2,0.42086248481262634
F7,0.48755300534201484
F8,0.4724877941156429
T3,0.504714753536573
T4,0.5078602046263019
T5,0.4405069512787064
T6,0.44072693258357365
FZ,0.4721786204079962
CZ,0.5046344342869422
PZ,0.4945850305969651
25+,0.6207682327395825
26+,0.3519977403391875
27+,0.6552447809966334
