Source,Target,F-stat,p-value
F3,Fp2,4543.421577894735,0.0
F3,FZ,3340.2833955870606,0.0
F3,Fp1,2761.752574699667,0.0
FZ,F3,2715.649138053894,0.0
Fp2,F3,2403.2495658915896,0.0
F8,Fp2,1784.1418174281985,0.0
F3,F4,1779.9580794738558,0.0
FZ,Fp2,1756.183939824507,0.0
F3,CZ,1609.5003713200006,0.0
Fp1,F3,1582.6435841951732,0.0
F4,F3,1350.2596726298607,0.0
Fp1,Fp2,1234.7550059392192,0.0
Fp2,FZ,1185.3464018367345,0.0
Fp2,F8,1174.7104815091268,0.0
F8,FZ,1150.159435217645,7.855683238904905e-250
F3,T4,1057.029086326333,0.0
Fp2,Fp1,1031.773333126808,0.0
C3,CZ,1010.4998773864997,0.0
CZ,F3,972.683313371124,0.0
F4,Fp2,947.0164490654554,0.0
CZ,C3,899.0747131859762,0.0
F7,T3,894.3975485840483,3.905039011143697e-195
P3,CZ,892.0941318689044,1.217019027594101e-194
FZ,F8,885.0443301448456,3.947687620675522e-193
FZ,Fp1,862.9820888648841,0.0
Fp2,C3,859.4541860566167,0.0
F7,Fp2,854.4861642990376,0.0
F8,T4,832.4703446668369,0.0
CZ,FZ,794.3715902877748,0.0
PZ,CZ,784.245151386913,1.6654572363790326e-171
F7,FZ,769.9668557036883,1.9400673546094542e-168
F3,T6,761.2424047127515,0.0
Fp1,CZ,753.466562162203,6.795668776866523e-165
Fp2,F4,731.8894502085036,6.541643274e-315
P3,F3,709.7291529811878,1.6689174764744468e-305
Fp2,F7,696.7715884357314,5.3183157619039875e-300
F8,Fp1,696.0195081962204,1.1098554786147112e-299
F8,CZ,693.5614694740415,1.2289155077255486e-298
PZ,F3,684.1961166428629,1.1721123766422491e-294
T4,F3,681.7656543736214,1.2644217646281813e-293
F3,P4,658.3931345877083,1.0939724767998764e-283
T3,F7,642.4182243214393,5.1698061268333035e-141
CZ,F8,634.8625474858941,1.1238102656048525e-273
F3,C4,630.8878912379524,5.527670818752045e-272
P3,C3,628.554388424941,5.44399419844337e-271
Fp1,FZ,624.676808710265,2.436519921463833e-269
FZ,CZ,598.9276423184698,2.261530860660173e-258
FZ,F7,592.5645119835641,2.820330265628753e-130
F3,T3,587.8714890480885,2.894224646545573e-129
F8,T3,585.6268231107126,8.815248870627853e-129
C4,F3,581.6909946154642,5.025347196300614e-251
P4,F3,580.6350007141857,1.4170693515719182e-250
Fp1,C3,580.2150050582711,2.1402338098536486e-250
F4,FZ,580.1199350446246,1.3551847061428789e-127
Fp2,CZ,579.8469540093654,1.5517814875431622e-127
T4,F8,574.4152413714669,6.360644102789904e-248
CZ,P3,568.7712834183092,3.785142744404183e-125
Fp1,F8,561.5548741262509,1.944546014421469e-242
C3,Fp2,548.877166333093,4.99344689511271e-237
F8,T6,534.273001445632,8.564083518766843e-231
FZ,T4,532.0252968653123,7.806281458829532e-230
O1,T4,530.9634145756685,5.3825899032063974e-117
F3,P3,523.0187998570144,5.481183951146787e-226
C4,C3,522.1734697152245,1.2587746169957461e-225
CZ,F7,514.7505463372368,1.8663044095127325e-222
F3,PZ,507.64520418352316,2.0278849923180558e-219
C3,T4,506.48201321855197,6.369878400365031e-219
P3,FZ,500.9588007945291,1.4612219138973696e-216
F7,T4,497.51889003423224,4.316378451501441e-215
T4,FZ,491.53577125353297,1.5595788004983982e-212
F8,F4,489.92670231437575,7.603171984347716e-212
C3,FZ,485.9681519367264,2.764456669696262e-107
P4,CZ,459.38795651477534,1.5209036751218898e-101
C3,T6,457.2003953502628,7.60895972755742e-198
F3,O2,449.82657301583146,1.0910590792048276e-194
F7,F3,448.258188347199,5.1206354216633577e-194
F7,CZ,444.6041425427579,1.8787401433527966e-192
T6,F3,443.4879965376899,5.646767934522279e-192
CZ,T3,443.2448202872135,7.176788361149542e-192
Fp2,T3,443.1154446649123,8.153240247980427e-192
F3,C3,440.3818822116927,1.9442103732853578e-97
P4,F8,437.84085004344143,1.4796671764785197e-189
T4,C3,437.0233778668599,3.313434955422406e-189
C3,P3,429.8939932978784,3.750590317074306e-186
PZ,FZ,425.444648012103,3.0219963325497326e-184
F8,P4,418.038837243861,4.505011025761838e-181
P4,FZ,417.68069236567624,6.414759269376789e-181
P3,F8,417.50766394027085,7.60909577619753e-181
F8,C4,415.7474217420693,4.322367661520899e-180
F7,T6,410.4399517385671,8.139606658387882e-178
T3,T4,401.0562576726959,8.581565355585914e-174
F4,F8,398.1444135873402,1.5211456042034485e-172
P4,C3,395.01173781505673,3.3542591147459446e-171
T5,CZ,390.94576034892003,9.510076063359199e-87
PZ,F8,390.6269251565041,2.5480985055556442e-169
F8,C3,390.3333513284009,1.2902567050948945e-86
CZ,Fp1,388.4719553647745,3.2613134131008134e-86
F7,Fp1,385.07380586229164,6.141722091565757e-167
C4,FZ,383.746317139137,2.2792588121484038e-166
O2,F3,380.30127698277835,6.852603937703227e-165
C4,F8,379.2371026647856,1.960930431041773e-164
PZ,C3,371.9576507846344,2.607822866407323e-161
T5,T6,354.0427104317809,1.2798163205781614e-153
FZ,T6,353.98603056314664,1.3535901825206426e-153
T4,F7,351.5477160412074,1.5086662316985817e-152
C3,P4,351.2805039781318,1.9649396690768406e-152
T6,F8,348.3658708540331,3.508500202028629e-151
F4,CZ,343.934825901396,2.8079002351209735e-149
T3,T6,340.30667095217683,1.0161944041389742e-147
F3,O1,336.26440687249664,5.5421403682913115e-146
Fp1,F7,334.4378702370204,3.376725748436777e-145
C3,C4,332.13990922926104,3.2804860851960413e-144
