subject_id,session_left,session_right,node,left_value,right_value,jaccard_min_over_max
sub-NORB00064,ses-1,ses-2,Fp1,0.27724513348760077,0.2992196198201206,0.9265606769177435
sub-NORB00064,ses-1,ses-2,Fp2,0.293029684888897,0.28907582404805465,0.9865069614283567
sub-NORB00064,ses-1,ses-2,F3,0.3259972705330694,0.28317759079571464,0.868650189410064
sub-NORB00064,ses-1,ses-2,F4,0.31385856005087764,0.26685040433889207,0.8502250322426593
sub-NORB00064,ses-1,ses-2,C3,0.2697861660465514,0.2659064875313492,0.9856194312256442
sub-NORB00064,ses-1,ses-2,C4,0.2617933188559293,0.27743757361560345,0.9436116220460116
sub-NORB00064,ses-1,ses-2,P3,0.29018652826649727,0.2818324365891095,0.9712113042349242
sub-NORB00064,ses-1,ses-2,P4,0.2686752944694625,0.27756867101401295,0.9679597250220595
sub-NORB00064,ses-1,ses-2,O1,0.33678590412913006,0.2983963980080474,0.8860121351564542
sub-NORB00064,ses-1,ses-2,O2,0.3088095299709233,0.2824251949533368,0.9145611373454997
sub-NORB00064,ses-1,ses-2,F7,0.29075348357320435,0.29509076479067003,0.9853018740842586
sub-NORB00064,ses-1,ses-2,F8,0.29148124792106844,0.30213041563383586,0.9647530762818876
sub-NORB00064,ses-1,ses-2,T3,0.32124135107373736,0.31352355426219136,0.9759750829532078
sub-NORB00064,ses-1,ses-2,T4,0.2957903066251639,0.30739118683940925,0.9622602055266276
sub-NORB00064,ses-1,ses-2,T5,0.3468194214926745,0.3047697223802411,0.878756215752117
sub-NORB00064,ses-1,ses-2,T6,0.26456275230858456,0.28949019860263514,0.9138919161533793
sub-NORB00064,ses-1,ses-2,FZ,0.3384869080677839,0.28812948972991415,0.8512278698596359
sub-NORB00064,ses-1,ses-2,CZ,0.2470951892831122,0.24854779044855402,0.9941556464339502
sub-NORB00064,ses-1,ses-2,PZ,0.2706948393300524,0.3027835300276619,0.8940210166164655
sub-NORB00064,ses-2,ses-3,Fp1,0.2992196198201206,0.30088461952312534,0.9944663183327761
sub-NORB00064,ses-2,ses-3,Fp2,0.28907582404805465,0.30696098483222084,0.9417347426288006
sub-NORB00064,ses-2,ses-3,F3,0.28317759079571464,0.3124480255747449,0.9063190278601134
sub-NORB00064,ses-2,ses-3,F4,0.26685040433889207,0.2806102563867694,0.9509645434024624
