subject_id,session_id,n_segments,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ
sub-NORB00064,ses-1,13,0.27724513348760077,0.293029684888897,0.3259972705330694,0.31385856005087764,0.2697861660465514,0.2617933188559293,0.29018652826649727,0.2686752944694625,0.33678590412913006,0.3088095299709233,0.29075348357320435,0.29148124792106844,0.32124135107373736,0.2957903066251639,0.3468194214926745,0.26456275230858456,0.3384869080677839,0.2470951892831122,0.2706948393300524
sub-NORB00064,ses-2,20,0.2992196198201206,0.28907582404805465,0.28317759079571464,0.26685040433889207,0.2659064875313492,0.27743757361560345,0.2818324365891095,0.27756867101401295,0.2983963980080474,0.2824251949533368,0.29509076479067003,0.30213041563383586,0.31352355426219136,0.30739118683940925,0.3047697223802411,0.28949019860263514,0.28812948972991415,0.24854779044855402,0.3027835300276619
sub-NORB00064,ses-3,17,0.30088461952312534,0.30696098483222084,0.3124480255747449,0.2806102563867694,0.3024117672138962,0.27218494645507824,0.3139196292075941,0.2654549541635999,0.28655284940029735,0.275907388644478,0.30938863835636504,0.2910948777643405,0.34191977202973156,0.2867252231315828,0.31173377964169346,0.2713830177693075,0.29687983986356964,0.2707948942993896,0.31439053509249704
sub-NORB00065,ses-1,20,0.30064621639794276,0.30284519927248643,0.2971049185819817,0.3053170889720761,0.2991707245622034,0.3116286969751694,0.32787510212918036,0.37044362469809905,0.29628535421680696,0.29880323465561887,0.28256575346613616,0.2812751499134512,0.28473400053763964,0.30436702070401755,0.2399482249817663,0.2993897520467203,0.30462387802813606,0.31843735400789586,0.3255586490762918
sub-NORB00065,ses-2,20,0.277704264501652,0.28719452490059,0.27298628048355283,0.266576814571333,0.277247510665456,0.28588305271807457,0.2816510317406479,0.2867663829916428,0.29872972891230204,0.31289251017021824,0.2759176522325344,0.26142103200885247,0.2782469536335123,0.2654881170299029,0.2910322310246566,0.2614664951943061,0.2744166583934146,0.27146263377844415,0.2915385624461825
sub-NORB00069,ses-1,15,0.2813813036889098,0.28736653365348847,0.294993869406094,0.2866146908571357,0.3004537499622422,0.298682295684644,0.2830106148457474,0.2992078477277081,0.277341800148083,0.2723782855832414,0.3182074952597595,0.2764523128714966,0.3383811767145906,0.2869432482387972,0.30435281286489757,0.3415346667168713,0.3091180243390961,0.31544743726361824,0.298816547251368
sub-NORB00069,ses-2,20,0.28789523032754033,0.29589707498744466,0.3135163790341919,0.32403050480365125,0.31508809434591434,0.31840990788768203,0.3467284440874751,0.3347766273852749,0.3381399141800209,0.3311864062148907,0.2997137274823173,0.3237904927387756,0.27344011771413,0.3077078789244672,0.3378556507106457,0.32824490904324566,0.33857259661906247,0.2890517767668749,0.3490025644663958
sub-NORB00069,ses-3,20,0.2835940675470994,0.3034351857338955,0.324536140324952,0.3192760748646878,0.30937911581787475,0.3092073981337806,0.2926969188596723,0.3061088249103027,0.30392267194138545,0.3133528661575496,0.3192592402190043,0.31639981129840855,0.2995082516392755,0.26777029586234785,0.28585058543460773,0.287091613562984,0.3118983641640738,0.27339483374007517,0.2956527313496558
sub-NORB00069,ses-4,15,0.3081025602796194,0.30945664536339196,0.29426438648360337,0.2835674816637756,0.3104069043281669,0.269476257165987,0.2744342472870233,0.31943561007362914,0.3139518440321087,0.3338104383107717,0.27099127234284154,0.2960743128968521,0.2787016558533594,0.288708592690264,0.30099148198072506,0.3330829600806494,0.31003842837583545,0.30461566423568764,0.3052398645231322
sub-NORB00070,ses-1,15,0.3390178288055493,0.36306113427584313,0.360305043282278,0.3762704405454447,0.3659915174091721,0.3648998099959171,0.34000724520374026,0.37121967374043396,0.417257063895271,0.3945365997851358,0.3661233517183931,0.3318638573421673,0.3530697288571056,0.33796596823615993,0.3699197365185856,0.3567676205890849,0.36303471452017533,0.34737628814004345,0.37070479746554097
sub-NORB00070,ses-2,20,0.30366507646546814,0.2986807204988511,0.30684381454674664,0.28674478017198207,0.28651498701520584,0.28303389427105274,0.2796290248896877,0.32003108555517945,0.33734821085827604,0.3146419124263312,0.32044591913332987,0.3009860853904515,0.2903121336950377,0.2866777367514772,0.31519866919064704,0.3122323780660515,0.30963237173709623,0.2669971118713706,0.30677590899621965
sub-NORB00070,ses-3,20,0.2906453498995319,0.2907945534007025,0.2995714921599841,0.2812523769808116,0.3102143211506434,0.2665469218404856,0.3160806191792108,0.30024859753345895,0.283681517805849,0.29632286783372175,0.2996772465215543,0.2880796853947624,0.2900410050371947,0.28981453315668754,0.2780076930546042,0.286914191865769,0.28163192163336426,0.2887977691713892,0.32052455709470407
sub-NORB00074,ses-1,1,0.42524463731617124,0.19366571582648306,0.2065765888791277,0.2810862840493187,0.23352721402812804,0.2864184954195481,0.26095244981233595,0.38391136979499757,0.3351228458845147,0.2863938574486127,0.30817855206309286,0.21089417161636106,0.36347608069822573,0.2615646694115081,0.3751098448294075,0.18352603254374308,0.185138774940198,0.27641215430950417,0.3217242793950961
sub-NORB00074,ses-2,20,0.27343639477045456,0.2749000706630607,0.2911291281434951,0.2778479475013951,0.28566118640712634,0.27958423823014245,0.3066612694866627,0.2835510296204348,0.28938877288422976,0.2974383411839058,0.3045244408488347,0.25178239905406474,0.3018197698277544,0.2814623235569846,0.29635248261134306,0.25659183140616054,0.3027181340284227,0.28985548905344316,0.2940823451973277
sub-NORB00075,ses-1,20,0.33913212618559424,0.3414400616567598,0.34009176053026635,0.3331044549850997,0.29360553061928696,0.3345089708354939,0.31177442532403465,0.3352120437560885,0.36265146287769284,0.3694961044175721,0.32324916783183416,0.3615255968758746,0.3021954153093234,0.35020837306171215,0.34680110790722235,0.3567035798291081,0.3277940614187163,0.33533805922644455,0.3728080091501197
sub-NORB00075,ses-2,20,0.2981404214409843,0.2928806208955279,0.2807331904261932,0.2961152949914699,0.2813373167488947,0.28156901697813014,0.33066295644924215,0.29373938935930416,0.30329705347393104,0.30463758132893626,0.2912990311363004,0.27007975832158054,0.3007853458969572,0.32265208417818136,0.2851722211779032,0.2963391223979944,0.2667976917776581,0.2962464902171144,0.3335044047976659
sub-NORB00075,ses-3,20,0.3084940622089056,0.3162340427716895,0.33799566652553403,0.27226160098516117,0.29120397161829714,0.2767613414981642,0.286972217836028,0.31110255838236356,0.2815381643032048,0.28640537837378977,0.2638483386396355,0.2604836047944453,0.27981454874108913,0.25091398949033794,0.2739962326493235,0.2766698075821584,0.33079697538758246,0.3260934561337012,0.31260915566927927
sub-NORB00077,ses-1,20,0.34396058509935845,0.33602060103772935,0.3673684378735847,0.35833611479589733,0.3368643920658669,0.3135636771328774,0.3260816852111791,0.3321761040429746,0.32178562643616077,0.3580844048038101,0.32136212549519144,0.34742564744103577,0.33752870613978836,0.36932606995834677,0.3540388281890349,0.39633741634699726,0.3681553787839281,0.3375498872526764,0.3462201711513652
sub-NORB00077,ses-2,20,0.2970576371139148,0.30800179495011093,0.31272034488408557,0.32054682817571695,0.2965257891241676,0.28829068862909457,0.3056829015143513,0.3116588532884276,0.327789263507703,0.3411768113385656,0.29534701162752347,0.3254083343385417,0.3006964571884235,0.29000170648539914,0.2911831417934933,0.31309242285647343,0.3133565414778845,0.3221819757073471,0.3067060022146477
sub-NORB00078,ses-1,20,0.2977675265918255,0.2931656740439504,0.3238347694627001,0.2922181323032729,0.2968577533901796,0.2865535993375912,0.3209049319428782,0.335750012022705,0.30771078219139086,0.2715430418193866,0.31803332752882046,0.32131800227344354,0.32362948303535904,0.29869288636709374,0.2974289461334547,0.2751355485883851,0.3268038034283063,0.31369751719609856,0.34626353277862537
sub-NORB00078,ses-2,20,0.3023501825882779,0.28831426968904483,0.29741786282239085,0.3063606126104531,0.30628551252208636,0.35519281538569364,0.3138018942557105,0.3109537225741566,0.36795101408139064,0.32812416042626597,0.30418935285030013,0.27187908087843804,0.3223057205941499,0.2911227705265859,0.33843988829133564,0.286026485012089,0.31305860384550277,0.33370283895938374,0.31292081798330657
sub-NORB00079,ses-1,14,0.32583658858589937,0.3592343970695563,0.34381453334396095,0.3302955376392064,0.2750724916168075,0.2862721399650122,0.2949902154186216,0.31753846517607254,0.32065542079011855,0.3149068113163124,0.3173063721702166,0.3453490264368818,0.3141444952906614,0.32731403573634477,0.3063460850670617,0.30747311011673506,0.3405598657597814,0.32249923470480685,0.3058254235936297
sub-NORB00079,ses-2,20,0.3854812296851479,0.39775657822287325,0.4339981604443552,0.4078413475858384,0.3026049509316799,0.34605071166699686,0.3693545208122961,0.34130900524674124,0.3522499792506984,0.35416480904256725,0.36573240313876554,0.40552582518208863,0.37027167544184697,0.36421815970392996,0.3369211665996507,0.3677862094418606,0.42200367312461495,0.3153801143556811,0.3684620898847478
sub-NORB00080,ses-1,20,0.33001104684094484,0.3104762951139085,0.3612709235728472,0.3147251714342375,0.30375618460437565,0.27957490633294535,0.3125368124718223,0.3126497571451341,0.39723851083851125,0.39759787981864114,0.3039653500545712,0.3066754511452992,0.30267822000568406,0.3282999974065973,0.32120289114925893,0.33251875073120807,0.34070827676189863,0.2869089657087166,0.335692869860418
sub-NORB00080,ses-2,20,0.30804216449190863,0.2988990525348738,0.3043579271628479,0.2865362792848071,0.283357109183707,0.27284205950213924,0.29952082839891603,0.2905123780556578,0.29816391615530957,0.30929642213203995,0.2993134005832242,0.27641287924596203,0.2999728086607895,0.26596899207020486,0.3052172359926334,0.29267654951338706,0.30385484120542705,0.28032066503894126,0.3096032464503039
