Channel,Participation_Coefficient
Fp1,0.3695811269523458
Fp2,0.34719642081489865
F3,0.43248614846260147
F4,0.3991479213468485
C3,0.4768731927067035
C4,0.49135648148028
P3,0.49560492074789375
P4,0.5015543330038169
O1,0.30575350451424077
O2,0.2864780201320939
F7,0.40650271574819596
F8,0.3644269841283093
T3,0.4953576965123455
T4,0.468678286222148
T5,0.3503716933141173
T6,0.4844676388268714
FZ,0.41719222331936356
CZ,0.49366763960478177
PZ,0.5017247630730369
25+,0.6061923787375738
26+,0.6408197674387698
27+,0.6549553071359333
